Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
心防,5.880631568462131,0.6892827134460584,6,6,85
谋略战,5.880631568462131,0.6748607104556096,5,5,85
心战,5.015634130975527,0.6642613331632131,16,38,85
统筹规,5.880631568462131,0.658010424010357,4,4,85
认知作战,5.880631568462131,0.658010424010357,4,4,85
政战部队,5.880631568462131,0.658010424010357,4,4,85
刘戈仑,5.880631568462131,0.658010424010357,4,4,85
理战,5.59294949601035,0.6555628183632236,6,8,85
总政战部,5.321015780526708,0.645453447936153,8,14,85
组织战,5.880631568462131,0.6374896041361306,3,3,85
总政战局,5.657488017147921,0.6330418843040279,4,5,85
论战,4.676658764136195,0.596636173057627,12,40,85
专业机构,5.321015780526708,0.595392486189339,4,7,85
政训,5.033333708074927,0.5899689303080573,6,14,85
攻心,5.36980594469614,0.5821135750674818,3,5,85
王升,4.964340836587976,0.581882112912116,6,15,85
情报战,5.1874843879021855,0.5804510556207626,4,8,85
喊话,4.741197285273766,0.5751199134430232,8,25,85
轻快,5.475166460353967,0.5685451028451591,2,3,85
智能终端,5.475166460353967,0.5685451028451591,2,3,85
王昇,5.475166460353967,0.5685451028451591,2,3,85
奠边府,5.475166460353967,0.5685451028451591,2,3,85
国际会议,5.475166460353967,0.5685451028451591,2,3,85
炮兵排,5.475166460353967,0.5685451028451591,2,3,85
突贯,5.475166460353967,0.5685451028451591,2,3,85
功力,5.475166460353967,0.5685451028451591,2,3,85
装甲指挥车,5.475166460353967,0.5685451028451591,2,3,85
角色定位,5.475166460353967,0.5685451028451591,2,3,85
季刊,5.475166460353967,0.5685451028451591,2,3,85
阮庆,4.964340836587976,0.5554825159144333,4,10,85
战争形态,4.782019279794022,0.5487840703848369,5,15,85
政战处,5.1874843879021855,0.5386719958532243,2,4,85
园山,5.1874843879021855,0.5386719958532243,2,4,85
新闻局,5.1874843879021855,0.5386719958532243,2,4,85
第一次海湾战争,5.1874843879021855,0.5386719958532243,2,4,85
推文,5.1874843879021855,0.5386719958532243,2,4,85
信息分析,5.1874843879021855,0.5386719958532243,2,4,85
吨重,5.1874843879021855,0.5386719958532243,2,4,85
