Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
实行者,4.471080345177973,0.5002893718921267,4,4,348
海关总署,4.471080345177973,0.5002893718921267,4,4,348
司法解释,4.471080345177973,0.5002893718921267,4,4,348
军事职务,4.471080345177973,0.5002893718921267,4,4,348
审判程序,4.471080345177973,0.5002893718921267,4,4,348
全面依法治国,4.471080345177973,0.5002893718921267,4,4,348
认知作战,4.471080345177973,0.5002893718921267,4,4,348
刑法,3.60357977747325,0.4950815229191944,21,50,348
法规,3.3724680565098635,0.48952291239915013,31,93,348
第条,3.1800961638624075,0.48632066724827655,44,160,348
韩籍,4.471080345177973,0.48468726634641496,3,3,348
高材生,4.471080345177973,0.48468726634641496,3,3,348
规约,4.471080345177973,0.48468726634641496,3,3,348
军备转移,4.471080345177973,0.48468726634641496,3,3,348
政府行为,4.471080345177973,0.48468726634641496,3,3,348
引以为戒,4.471080345177973,0.48468726634641496,3,3,348
立法,3.292425348836327,0.48011707192267655,32,104,348
国家安全法,3.566624070950821,0.4761803718974384,17,42,348
总则,4.247936793863763,0.4753208321857975,4,5,348
美日两国,4.247936793863763,0.4753208321857975,4,5,348
主管机关,4.247936793863763,0.4753208321857975,4,5,348
预警机制,4.247936793863763,0.4753208321857975,4,5,348
悔过,4.13460810855676,0.47448722694352347,5,7,348
法律规范,4.13460810855676,0.47448722694352347,5,7,348
刑罚,3.777933164618028,0.47102300708389566,10,20,348
法律依据,3.6601501289616447,0.4669525992588453,12,27,348
法官,3.7779331646180276,0.46491583612833204,9,18,348
条文,3.515568900150537,0.4616495744516175,15,39,348
初审,4.065615237069808,0.45492004980459616,4,6,348
抗告,4.065615237069808,0.45492004980459616,4,6,348
留待,4.065615237069808,0.45492004980459616,4,6,348
疗养,4.065615237069808,0.45492004980459616,4,6,348
服务中心,4.065615237069808,0.45492004980459616,4,6,348
管教,4.065615237069808,0.45492004980459616,4,6,348
中者,4.065615237069808,0.45492004980459616,4,6,348
阴阳合同,4.183398272726192,0.4535011040525735,3,4,348
招牌,4.183398272726192,0.4535011040525735,3,4,348
国际公法,4.183398272726192,0.4535011040525735,3,4,348
违法行为,4.183398272726192,0.4535011040525735,3,4,348
罪行,3.2960950777252895,0.4528374204361041,21,68,348
审判,3.008800077080161,0.450035385650932,38,164,348
惩治,3.6601501289616443,0.44398600157287965,8,18,348
波茨坦公告,3.6601501289616443,0.44398600157287965,8,18,348
受理,3.7779331646180276,0.4428204679394272,6,12,348
裁判,3.7089402931310764,0.44273311414236266,7,15,348
犯罪,3.0670864069586816,0.4387143540468847,28,114,348
自杀事件,3.9114645572425504,0.4376714340711087,4,7,348
体例,3.9114645572425504,0.4376714340711087,4,7,348
似是而非,3.6978904569444917,0.43343847314950146,6,13,348
军事谈判,3.9602547214119825,0.42931123727776604,3,5,348
争端解决机制,3.9602547214119825,0.42931123727776604,3,5,348
公司员工,3.9602547214119825,0.42931123727776604,3,5,348
瞒天过海,3.9602547214119825,0.42931123727776604,3,5,348
话术,3.9602547214119825,0.42931123727776604,3,5,348
规定,2.4568648461478366,0.4273869948525494,97,727,348
该法,3.298360084356142,0.4251377049178128,13,42,348
结社,3.6237824847907696,0.424752102724928,6,14,348
审判机关,3.6237824847907696,0.424752102724928,6,14,348
戡乱,3.3184008352395877,0.423353097769637,12,38,348
外交权,3.777933164618028,0.4227300035025323,4,8,348
开发利用,3.777933164618028,0.4227300035025323,4,8,348
第七条,3.777933164618028,0.4227300035025323,4,8,348
申诫,3.777933164618028,0.4227300035025323,4,8,348
过失,3.777933164618028,0.4227300035025323,4,8,348
中国的主权和领土完整,3.777933164618028,0.4227300035025323,4,8,348
罚金,3.777933164618028,0.4227300035025323,4,8,348
第八条,3.777933164618028,0.4227300035025323,4,8,348
违宪,3.777933164618028,0.4227300035025323,4,8,348
也应该是,4.065615237069808,0.42217632099888036,2,3,348
无门,4.065615237069808,0.42217632099888036,2,3,348
停火协议,4.065615237069808,0.42217632099888036,2,3,348
空军军人,4.065615237069808,0.42217632099888036,2,3,348
大任,4.065615237069808,0.42217632099888036,2,3,348
自此以后,4.065615237069808,0.42217632099888036,2,3,348
赵少康,4.065615237069808,0.42217632099888036,2,3,348
超级大,4.065615237069808,0.42217632099888036,2,3,348
多边外交,4.065615237069808,0.42217632099888036,2,3,348
智能终端,4.065615237069808,0.42217632099888036,2,3,348
国际航空业,4.065615237069808,0.42217632099888036,2,3,348
操作规程,4.065615237069808,0.42217632099888036,2,3,348
水陆机动团,4.065615237069808,0.42217632099888036,2,3,348
战略行动,4.065615237069808,0.42217632099888036,2,3,348
规模经济,4.065615237069808,0.42217632099888036,2,3,348
准入协定,4.065615237069808,0.42217632099888036,2,3,348
起算,4.065615237069808,0.42217632099888036,2,3,348
台港,4.065615237069808,0.42217632099888036,2,3,348
理当,4.065615237069808,0.42217632099888036,2,3,348
日本防卫厅,4.065615237069808,0.42217632099888036,2,3,348
向学,4.065615237069808,0.42217632099888036,2,3,348
举证,4.065615237069808,0.42217632099888036,2,3,348
削除,4.065615237069808,0.42217632099888036,2,3,348
自由裁量权,4.065615237069808,0.42217632099888036,2,3,348
轻描淡写,4.065615237069808,0.42217632099888036,2,3,348
台美陆战队,4.065615237069808,0.42217632099888036,2,3,348
问话,4.065615237069808,0.42217632099888036,2,3,348
德国政府,4.065615237069808,0.42217632099888036,2,3,348
苗栗县,4.065615237069808,0.42217632099888036,2,3,348
许世楷,4.065615237069808,0.42217632099888036,2,3,348
聚众,4.065615237069808,0.42217632099888036,2,3,348
摆摆,4.065615237069808,0.42217632099888036,2,3,348
美国陆海空军,4.065615237069808,0.42217632099888036,2,3,348
犹太人,4.065615237069808,0.42217632099888036,2,3,348
缓征,4.065615237069808,0.42217632099888036,2,3,348
无可否认,4.065615237069808,0.42217632099888036,2,3,348
不赞同,4.065615237069808,0.42217632099888036,2,3,348
台湾之战,4.065615237069808,0.42217632099888036,2,3,348
后政,4.065615237069808,0.42217632099888036,2,3,348
六年后,4.065615237069808,0.42217632099888036,2,3,348
擅离,4.065615237069808,0.42217632099888036,2,3,348
警械,4.065615237069808,0.42217632099888036,2,3,348
实话,4.065615237069808,0.42217632099888036,2,3,348
概观,4.065615237069808,0.42217632099888036,2,3,348
副馆长,4.065615237069808,0.42217632099888036,2,3,348
科尔,4.065615237069808,0.42217632099888036,2,3,348
框框,4.065615237069808,0.42217632099888036,2,3,348
手推车,4.065615237069808,0.42217632099888036,2,3,348
拓殖,4.065615237069808,0.42217632099888036,2,3,348
组织战,4.065615237069808,0.42217632099888036,2,3,348
相互渗透,4.065615237069808,0.42217632099888036,2,3,348
中华人民共和国宪法,4.065615237069808,0.42217632099888036,2,3,348
一般程序,4.065615237069808,0.42217632099888036,2,3,348
轻重,3.5547896133038184,0.4166652853289867,6,15,348
司法院,3.5547896133038184,0.4166652853289867,6,15,348
羁押,3.4725515150668462,0.4145155825594174,7,19,348
外务省,3.595611607824073,0.4126320406114415,5,12,348
唯恐,3.595611607824073,0.4126320406114415,5,12,348
第项,3.3079295353722924,0.41242416132849335,10,32,348
现役军人,2.9396039742135844,0.41140794457859015,24,111,348
独台,3.6601501289616443,0.40955072771706563,4,9,348
守法,3.6601501289616443,0.40955072771706563,4,9,348
散播,3.7779331646180276,0.4095466770068262,3,6,348
危安,3.7779331646180276,0.4095466770068262,3,6,348
郭玺,3.7779331646180276,0.4095466770068262,3,6,348
假的,3.7779331646180276,0.4095466770068262,3,6,348
罪犯,3.3724680565098635,0.40908939663271543,8,24,348
法院,3.13984576124111,0.4086092688386589,14,53,348
刑事,3.0847859840580827,0.405080991800146,15,60,348
可预测性,3.515568900150537,0.40344634721465555,5,13,348
陆海,2.8463749606130846,0.40287330652246917,26,132,348
严苛,3.4296264703498123,0.40199461776643175,6,17,348
一机,3.5547896133038184,0.3977614637962031,4,10,348
法治建设,3.5547896133038184,0.3977614637962031,4,10,348
我国有,3.5547896133038184,0.3977614637962031,4,10,348
诉讼,3.5547896133038184,0.3977614637962031,4,10,348
共同开发,3.5547896133038184,0.3977614637962031,4,10,348
追诉,3.5547896133038184,0.3977614637962031,4,10,348
本法,3.5547896133038184,0.3977614637962031,4,10,348
保台,3.5547896133038184,0.3977614637962031,4,10,348
台海争端,3.5547896133038184,0.3977614637962031,4,10,348
绕开,3.5547896133038184,0.3977614637962031,4,10,348
台湾关系法,2.699123503246098,0.39710965992837016,34,200,348
扫除,3.325948040874971,0.3970156479303094,7,22,348
国内法,3.3724680565098635,0.3952949450987601,6,18,348
触犯,3.3724680565098635,0.3952949450987601,6,18,348
第九条,3.441460927996815,0.3949417234925535,5,14,348
处以,3.441460927996815,0.3949417234925535,5,14,348
戒严,3.0847859840580827,0.3935491121020821,12,48,348
构件,3.6237824847907696,0.3928359794029474,3,7,348
