Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
影响战,9.224670536284338,0.8935791736701576,1,3,1
新版本,9.224670536284338,0.8935791736701576,1,3,1
偷换,9.224670536284338,0.8935791736701576,1,3,1
关键词,8.713844912518347,0.8440963073738597,1,5,1
话术,8.713844912518347,0.8440963073738597,1,5,1
散播,8.531523355724392,0.8264351079389992,1,6,1
丑化,8.377372675897135,0.8115027765826734,1,7,1
研析,8.377372675897135,0.8115027765826734,1,7,1
勾勒出,8.243841283272612,0.7985678028065251,1,8,1
政治化,8.243841283272612,0.7985678028065251,1,8,1
潜移默化,8.243841283272612,0.7985678028065251,1,8,1
理战,8.243841283272612,0.7985678028065251,1,8,1
导入,8.243841283272612,0.7985678028065251,1,8,1
分辨,7.925387552154077,0.7677196960057698,1,11,1
内部矛盾,7.838376175164447,0.7592910422078408,1,12,1
香肠,7.615232623850238,0.7376754810440173,1,15,1
要务,7.550694102712666,0.7314237370753666,1,16,1
政治制度,7.490069480896231,0.72555112631342,1,17,1
补贴,7.490069480896231,0.72555112631342,1,17,1
可信度,7.490069480896231,0.72555112631342,1,17,1
交互,7.432911067056283,0.7200142816091568,1,18,1
非传统安全威胁,7.378843845786007,0.7147768758161479,1,19,1
裹挟,7.327550551398456,0.709808175911543,1,20,1
才得以,7.278760387229024,0.7050819502528308,1,21,1
叙事,7.187788609023298,0.6962696586835407,1,23,1
抹黑,7.145228994604501,0.6921469764766824,1,24,1
社会科学,7.065186286930966,0.6843933665997871,1,26,1
三战,7.065186286930966,0.6843933665997871,1,26,1
根本利益,7.027445958948118,0.6807375210104727,1,27,1
借由,6.991078314777243,0.6772146451203566,1,28,1
一章,6.955986994965974,0.6738154047424363,1,29,1
认知战,6.9220854432902925,0.6705314153128589,1,30,1
捆绑,6.8575469221527205,0.6642796713442082,1,32,1
破解,6.8575469221527205,0.6642796713442082,1,32,1
队形,6.826775263485968,0.6612988696759274,1,33,1
讯息,6.767934763463034,0.655599083956533,1,35,1
扭曲,6.739763886496338,0.6528702158779984,1,36,1
用心,6.659721178822801,0.645116606001103,1,39,1
论战,6.634403370838511,0.6426641101803846,1,40,1
大势,6.634403370838511,0.6426641101803846,1,40,1
失衡,6.58561320666908,0.6379378845216725,1,42,1
分化,6.562082709258886,0.6356585226356145,1,43,1
灰色,6.562082709258886,0.6356585226356145,1,43,1
新冠,6.4946414284633525,0.6291255929523824,1,46,1
出发点,6.431462526841821,0.6230055531653466,1,49,1
施加,6.352990911400326,0.6154041324959622,1,53,1
增设,6.14889555505681,0.595633739704805,1,65,1
信息战,6.133628082926022,0.594154803944769,1,66,1
知识,6.118590205561482,0.5926981086648342,1,67,1
形态,6.103775119776341,0.5912629948511032,1,68,1
转化,6.046616705936392,0.58572615014684,1,72,1
战法,5.86893552869894,0.5685144569044561,1,86,1
成就,5.86893552869894,0.5685144569044561,1,86,1
违背,5.834646455220308,0.5651929288537326,1,89,1
诸如,5.8234731546221825,0.5641105889830165,1,90,1
地带,5.812423318435597,0.5630402089136186,1,91,1
疫情,5.790683331799191,0.560934290960479,1,93,1
承受,5.790683331799191,0.560934290960479,1,93,1
不易,5.678891925811075,0.5501052351374703,1,104,1
在一起,5.595895006240107,0.5420654554493313,1,113,1
刻意,5.587084376557952,0.541211983755147,1,114,1
报告书,5.569692633846083,0.5395272732801195,1,116,1
警惕,5.519261780219191,0.5346421166412841,1,122,1
妄图,5.51109846958003,0.5338513497139817,1,123,1
涵盖,5.479095738493856,0.5307512960170299,1,127,1
渗透,5.432933696730694,0.5262796523988211,1,133,1
学界,5.432933696730694,0.5262796523988211,1,133,1
全民,5.319336519006988,0.5152756743377794,1,149,1
检讨,5.312647530856192,0.5146277226867185,1,150,1
合理,5.292844903560012,0.5127094736537351,1,153,1
对立,5.292844903560012,0.5127094736537351,1,153,1
渲染,5.260687791925481,0.5095944653584277,1,158,1
情势,5.241878459967984,0.507772435266214,1,161,1
建军,5.1874843879021855,0.5025033679561212,1,170,1
适合,5.169991230454668,0.5008088335968344,1,173,1
展现,5.050283266388701,0.48921291337496264,1,195,1
军民,5.04516816572193,0.48871742170302984,1,196,1
经济发展,4.971424691476381,0.4815740085566513,1,211,1
加剧,4.961990659243022,0.4806601488481334,1,213,1
损害,4.916111053492329,0.4762158643575644,1,223,1
包含,4.8939371959980065,0.4740679180239887,1,228,1
吓阻,4.8510121512809725,0.46990983716493484,1,238,1
巩固,4.76645476325291,0.461718897377479,1,259,1
反制,4.758762417629754,0.4609737520827513,1,261,1
理念,4.7435529989662255,0.45950043986982175,1,265,1
互动,4.71748075865645,0.45697486338878646,1,272,1
民间,4.71748075865645,0.45697486338878646,1,272,1
认知,4.710154718564377,0.4562652015286692,1,274,1
意图,4.586710527473255,0.4443073589330227,1,310,1
法律,4.471080345177973,0.43310644695027706,1,348,1
宣传,4.471080345177973,0.43310644695027706,1,348,1
风险,4.399027027537915,0.4261267565880313,1,374,1
年度,4.38838862933286,0.4250962318619876,1,378,1
意识,4.38838862933286,0.4250962318619876,1,378,1
专门,4.3674454554876165,0.4230674998975178,1,386,1
决心,4.339346544265257,0.42034560302625884,1,397,1
综合,4.283028113675034,0.4148901261643738,1,420,1
中共,4.283028113675034,0.4148901261643738,1,420,1
视为,4.241063914576001,0.41082512089322104,1,438,1
结合,4.23197294287475,0.409944492913207,1,442,1
态势,4.216259937210193,0.4084223990278611,1,449,1
压力,4.166303839366892,0.40358323122723155,1,472,1
企图,4.143266171299875,0.40135160893637156,1,483,1
媒体,4.139133934014964,0.40095132567813097,1,485,1
特别,4.100706556881079,0.3972289267295133,1,504,1
许多,4.0298635461059655,0.3903664768696801,1,541,1
领导人,4.028016823512801,0.3901875877871588,1,542,1
模式,3.9882285734543887,0.3863333632412382,1,564,1
军力,3.9568123772210098,0.3832901262432705,1,582,1
配合,3.9465558770538207,0.38229659537318744,1,588,1
当前,3.8280172690154393,0.37081394881119834,1,662,1
领域,3.7982531671089856,0.3679307475649329,1,682,1
手段,3.716632638754232,0.36002429670634856,1,740,1
展开,3.7058798469779703,0.35898269085687295,1,748,1
对抗,3.6794930918047752,0.3564266478208907,1,768,1
台独,3.6704197955991007,0.35554773203804074,1,775,1
战术,3.657599107170039,0.3543058123264086,1,785,1
网络,3.634928111005686,0.3521097089599916,1,803,1
参与,3.634928111005686,0.3521097089599916,1,803,1
民众,3.591072118485241,0.3478614486668182,1,839,1
控制,3.591072118485241,0.3478614486668182,1,839,1
强化,3.541090768945656,0.3430198347745033,1,882,1
战斗,3.5298166923724383,0.3419277328952477,1,892,1
统一,3.5286962440759484,0.3418191968495451,1,893,1
信息,3.526459106677592,0.34160248890534844,1,895,1
造成,3.526459106677592,0.34160248890534844,1,895,1
应对,3.5054522534982975,0.33956758842499746,1,914,1
全面,3.4752775503760844,0.3366446128915482,1,942,1
调整,3.4752775503760844,0.3366446128915482,1,942,1
持续,3.4699837317663693,0.3361318090965268,1,947,1
内容,3.4532294131543217,0.33450884488096244,1,963,1
最终,3.4501189907399294,0.3342075432052131,1,966,1
还是,3.40063893347656,0.3294144886989691,1,1015,1
和平,3.3918110193529944,0.3285593426884164,1,1024,1
活动,3.3544324466104993,0.3249385397542812,1,1063,1
冲突,3.3184008352395877,0.32144821482742564,1,1102,1
共同,3.2933099132460613,0.3190176970920325,1,1130,1
利用,3.2836224750903718,0.3180792903545678,1,1141,1
台湾地区,3.2836224750903718,0.3180792903545678,1,1141,1
随着,3.2382185309999,0.31368108245303417,1,1194,1
威胁,3.21014071624536,0.31096122916308333,1,1228,1
采取,3.20445657589037,0.31041061552095284,1,1235,1
所谓,3.1996100397478404,0.3099411392676418,1,1241,1
不断,3.1508582478276024,0.30521863066772237,1,1303,1
防务,3.1021777267699515,0.30050302596298784,1,1368,1
战争,3.0439639895378274,0.2948639537589971,1,1450,1
方式,3.011396660875283,0.2917092083921623,1,1498,1
支持,2.9883009460806336,0.2894719632070527,1,1533,1
之间,2.9746952940248548,0.2881540053164781,1,1554,1
攻击,2.947400676737435,0.2855100191203966,1,1597,1
军队,2.909312534762003,0.28182048134241683,1,1659,1
使用,2.821648367069034,0.2733285927465648,1,1811,1
系统,2.776836551206424,0.2689877433653684,1,1894,1
建立,2.766332252939548,0.26797020868720517,1,1914,1
政治,2.6533208294788704,0.25702297171065763,1,2143,1
作为,2.5909136026680595,0.25097768283607924,1,2281,1
认为,2.5210735087053298,0.2442123839338813,1,2446,1
国家,2.493254742418608,0.24151762425729073,1,2515,1
方面,2.4904753084275826,0.24124838490405834,1,2522,1
包括,2.4869130644073234,0.2409033159874489,1,2531,1
安全,2.473959006911887,0.23964847702632644,1,2564,1
同时,2.4704550126707034,0.23930905067323713,1,2573,1
