Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
就职演说,7.615232623850238,0.8521027698165456,4,15,4
颜色革命,7.838376175164447,0.8139424473972626,2,6,4
海警法,7.838376175164447,0.8139424473972626,2,6,4
认知战,6.9220854432902925,0.7745434014269512,4,30,4
任期,6.315949639719976,0.7067201289651694,4,55,4
维度,6.539093191034186,0.679023996390104,2,22,4
着重,5.979477403098763,0.6690707308504806,4,77,4
阐释,6.074787582903088,0.6308101783011079,2,35,4
到处,5.9925494846661165,0.6222705168390331,2,38,4
悬殊,5.779988042682444,0.6001979884933452,2,47,4
战略目标,5.339676203244111,0.59748048516046,4,146,4
重层,5.5030012593474105,0.5714354877806663,2,62,4
固守,4.98574474525113,0.5578774959180189,4,208,4
中国威胁论,5.312647530856192,0.5516690238885342,2,75,4
吓阻,4.8510121512809725,0.5428016575060738,4,238,4
反制,4.758762417629754,0.5324794181941906,4,261,4
颁布,4.859451019926837,0.5046087821988707,2,118,4
不对,4.346931915654514,0.48639784343979847,4,394,4
渲染,4.567540611365535,0.47429660183708344,2,158,4
军事实力,4.512141831975747,0.468543953958022,2,167,4
的同时,4.079115924288711,0.45643070266864977,4,515,4
并且,4.054186541246186,0.45364124141518475,4,528,4
第二,4.03356725404345,0.4513340562502736,4,539,4
机动,3.9829235212246954,0.4456673002704817,4,567,4
传统,3.882336284319527,0.4344121400660976,4,627,4
补充,4.1620755032573715,0.4321928222974608,2,237,4
战力,3.846310462062765,0.4303810481157659,4,650,4
现代,4.0694540133769745,0.42257494220723285,2,260,4
理念,4.05040581840628,0.42059696435997523,2,265,4
认知,4.017007538004432,0.41712886363583895,2,274,4
应用,3.949963035375435,0.41016691573554787,2,293,4
加速,3.9364035055898023,0.40875888470812116,2,297,4
蔡英文,3.6386710972845204,0.40714734186018015,4,800,4
网络,3.634928111005686,0.4067285222215533,4,803,4
总体,3.9164028388831333,0.40668200153168166,2,303,4
多个,3.877563005566869,0.40264884615874774,2,315,4
则是,3.8586945212624864,0.4006895295923845,2,321,4
强化,3.541090768945656,0.3962286382349303,4,882,4
防卫,3.3724680565098635,0.37736068141500173,4,1044,4
有效,3.3676902165561504,0.3768260673251382,4,1049,4
综合,3.5898809331150883,0.37277573916681306,2,420,4
当然,3.5804021891605444,0.371791459785446,2,424,4
能够,3.2871343312019112,0.36781230551037875,4,1137,4
实力,3.5032664602783172,0.36378163191483415,2,458,4
威胁,3.21014071624536,0.3591971422181646,4,1228,4
如此,3.208513376585984,0.3331742661853635,2,615,4
未来,2.9759831242092836,0.3329961917544041,4,1552,4
我国,3.151626002183933,0.32726704156229436,2,651,4
达成,3.1273455984768783,0.3247457475116552,2,667,4
意义,3.1139425683495383,0.3233539675178662,2,676,4
美方,2.9772726150391553,0.309162064271938,2,775,4
特别是,2.959369323546628,0.307302974000146,2,789,4
组织,2.8604936675399997,0.2970356569386047,2,871,4
不可,2.8490780184563227,0.2958502479781064,2,881,4
能力,2.528459672773059,0.2829207716901034,4,2428,4
达到,2.6491299036707723,0.2750874963234111,2,1076,4
以及,2.35912710611151,0.26397338607504667,4,2876,4
进一步,2.481789900492435,0.25771079371426586,2,1272,4
发展,2.207761943405678,0.24703645443208916,4,3346,4
方式,2.3182494803153375,0.24072864245325798,2,1498,4
实现,2.240571690714867,0.2326625266197078,2,1619,4
实施,2.1841341460683825,0.22680201263210395,2,1713,4
技术,2.086862297687056,0.2167012360726412,2,1888,4
情况,1.986173695389973,0.20624566140420827,2,2088,4
方面,1.7973281278676374,0.18663580599866186,2,2522,4
两岸,1.7444302531494826,0.18114285380447792,2,2659,4
作战,1.3865901364642426,0.1439844865811039,2,3803,4
美国,0.7284967120921758,0.07564760653359745,2,7344,4
