Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
法规,3.4984952735547763,0.5665591863849666,1778,3452,13310
立法,3.0494130858637245,0.4621293894297919,1164,3541,13310
规定,2.612372384479589,0.4564118424187155,2792,13149,13310
法律体系,3.466838394820582,0.4266961351009673,253,507,13310
行政法规,3.844424874082783,0.4241838024945373,99,136,13310
约束力,3.3417823555162354,0.4199386401652485,299,679,13310
效力,3.233706631282712,0.41440994258755787,349,883,13310
法律规范,3.6185870343517594,0.4127093819367968,133,229,13310
法院,2.933126298334777,0.40206234314578304,580,1982,13310
司法,2.9459777231470783,0.39970541769930895,538,1815,13310
条文,3.3575870940140753,0.38915944472174685,153,342,13310
公司法,3.306144110231739,0.3871255688665935,167,393,13310
徐祥,4.161959909684245,0.38447604528312185,17,17,13310
颁布,2.76438357711925,0.38403143123783384,639,2585,13310
权利,2.5911801775232206,0.3827638027136716,981,4719,13310
社会与管理年卷总第卷,4.161959909684245,0.3823348105602509,16,16,13310
刑法,3.3634522134664735,0.3812595432379296,126,280,13310
法域,3.9543205449060004,0.38021822000413674,26,32,13310
司法解释,3.69707138110528,0.3785496598174661,49,78,13310
私法,3.7564948015760806,0.3768043339334891,40,60,13310
适用,2.649966707255226,0.37586952959953057,741,3361,13310
同性恋者,3.8210333227136517,0.3748869490102064,32,45,13310
程序,2.619344493495546,0.3748633704558004,789,3690,13310
规范性文件,3.775186934588233,0.3747190965432834,36,53,13310
违法必究,4.161959909684245,0.37249075081703675,12,12,13310
宪法,2.634363011214945,0.37103531834843856,705,3248,13310
部门规章,3.6919562804385095,0.3703306408353137,40,64,13310
有法必依,4.161959909684245,0.3696124233457514,11,11,13310
当事人,3.115991354501557,0.36857212502462,182,518,13310
法官,3.144897487980243,0.36798596481996804,166,459,13310
证券法,3.4925292557416157,0.3676599017294408,64,125,13310
民法,3.5016025519472906,0.3673871705579383,62,120,13310
法律原则,3.544320281632445,0.36725291422320744,55,102,13310
诉讼程序,3.6785332601063687,0.3661211005999693,37,60,13310
