Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
关键设施,11.019173491458144,0.8067789771466276,1,7,2
这次疫情,10.567188367715087,0.7736864683389946,1,11,2
国际刑警组织,9.706987102491976,0.7107060372354361,1,26,2
心理战,9.53109643602831,0.6978280394355834,1,31,2
生物武器,9.381564702057346,0.6868799352535798,1,36,2
武器化,9.327497480787072,0.6829213536496685,1,38,2
频频发生,9.327497480787072,0.6829213536496685,1,38,2
未来战争,9.180894006595196,0.6721876447152961,1,44,2
新型冠状病毒,9.093882629605567,0.6658170262853177,1,48,2
散播,8.870739078291356,0.6494793648240749,1,60,2
欺凌,8.570634485841017,0.6275069295664055,1,81,2
深层次原因,8.546243032716859,0.6257210867699488,1,83,2
勒索,8.390372662010074,0.6143088934376841,1,97,2
兰德公司,8.320692741372085,0.6092072136117378,1,104,2
捕获,8.194399016047791,0.5999605017221251,1,118,2
伪造,8.11305337659384,0.5940047055052063,1,128,2
账号,8.105271236151784,0.5934349288962149,1,129,2
骚扰,8.097549190057874,0.5928695521504949,1,130,2
政治立场,7.9216585235942105,0.5799915543506422,1,155,2
泄露,7.702393451608572,0.5639378593400605,1,193,2
灰色,7.531361636959217,0.5514156068690107,1,229,2
谣言,7.527004331590262,0.5510965827270089,1,230,2
网络空间,7.125896528851053,0.5496221024432084,2,687,2
个人信息,7.488620088581946,0.5482862448793653,1,239,2
算法,7.447630744048749,0.5452851721145124,1,249,2
军事化,7.366661681515082,0.5393569473250515,1,270,2
论战,7.309091829693604,0.5351419173862798,1,286,2
散布,7.28491103149639,0.5333714978851022,1,293,2
新趋势,7.244771863906045,0.5304326716113206,1,305,2
隐私,7.1936425173834415,0.5266891892238568,1,321,2
恶意,7.145000710161096,0.5231278343266107,1,337,2
派别,7.121539223482097,0.5214100798834218,1,345,2
与日俱增,7.115758860566598,0.5209868652671789,1,347,2
美国国家安全,7.087347858733818,0.5189067274949467,1,357,2
阴谋,7.067929772876717,0.5174850143820638,1,364,2
虚假,7.040827843098925,0.5155007215309007,1,374,2
决定性,6.667974320579521,0.5143024530704415,2,1086,2
信息安全,6.924828929236043,0.5070077537825518,1,420,2
人工智能,6.562337599975871,0.5061546675618656,2,1207,2
社交媒体,6.855836057749092,0.5019563768955466,1,450,2
敌意,6.81661534459581,0.49908479611271434,1,468,2
医疗卫生,6.656985199003927,0.4873973273853892,1,549,2
中国制造,6.628257909367016,0.48529403230909085,1,565,2
急需,6.614197923798717,0.48426461746375044,1,573,2
军事领域,6.596896454162964,0.48299787436485225,1,583,2
经由,6.596896454162964,0.48299787436485225,1,583,2
越高,6.5516246833461,0.47968325979947135,1,610,2
研究人员,6.4942841367308555,0.47548501865342385,1,646,2
远高于,6.432749348291107,0.47097969221357444,1,687,2
反对派,6.399818670478096,0.46856864218488387,1,710,2
机器,6.033123672834503,0.4653362708731104,2,2049,2
自主性,6.330450282651771,0.4634897715218332,1,761,2
脆弱性,6.31351176692373,0.4622496024289294,1,774,2
生物,6.196590428864828,0.45368909854005796,1,870,2
识别,6.196590428864828,0.45368909854005796,1,870,2
度越,6.1727392130426475,0.45194280971724937,1,891,2
大数据,6.108621655918871,0.44724838347978607,1,950,2
警告,6.061336382928859,0.4437863484908141,1,996,2
数字化,5.977593393512466,0.4376550280794483,1,1083,2
针对性,5.890120442547413,0.4312506150840192,1,1182,2
到来,5.876674861838063,0.43026618445859693,1,1198,2
操纵,5.864231731569407,0.4293551491692052,1,1213,2
网络安全,5.827805203253071,0.42668814721312953,1,1258,2
宣传,5.519958182543217,0.4257556939543669,2,3423,2
如果说,5.768397069679107,0.4223385257759004,1,1335,2
危害,5.761678119430362,0.42184659162009613,1,1344,2
敌对,5.739602167731162,0.4202302804017252,1,1374,2
