Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
平湖油田,5.796118609410654,0.4884450008392178,6,6,2597
吸管,5.6625872167861315,0.4834726930175863,7,8,2597
哗然,4.929307934799868,0.4789951485525063,29,69,2597
国际舆论战,5.796118609410654,0.4723067649775471,4,4,2597
莫迪访华,5.796118609410654,0.4723067649775471,4,4,2597
漫画作者,5.796118609410654,0.4723067649775471,4,4,2597
中国外交论坛,5.796118609410654,0.4723067649775471,4,4,2597
描黑,5.796118609410654,0.4723067649775471,4,4,2597
宫迫,5.796118609410654,0.4723067649775471,4,4,2597
脑残,5.796118609410654,0.4723067649775471,4,4,2597
排华风暴,5.796118609410654,0.4723067649775471,4,4,2597
忧多于喜,5.796118609410654,0.4723067649775471,4,4,2597
连锁反,5.796118609410654,0.4723067649775471,4,4,2597
剿除,5.796118609410654,0.4723067649775471,4,4,2597
宗主义,5.796118609410654,0.4614884277301884,3,3,2597
反华雁形队列,5.796118609410654,0.4614884277301884,3,3,2597
务实之举,5.796118609410654,0.4614884277301884,3,3,2597
黑料,5.796118609410654,0.4614884277301884,3,3,2597
两轨,5.796118609410654,0.4614884277301884,3,3,2597
斯蒂法妮,5.796118609410654,0.4614884277301884,3,3,2597
丹尼尔沃尔曼,5.796118609410654,0.4614884277301884,3,3,2597
世维会东伊运,5.796118609410654,0.4614884277301884,3,3,2597
深记,5.796118609410654,0.4614884277301884,3,3,2597
台湾美,5.796118609410654,0.4614884277301884,3,3,2597
中国台湾国安会,5.796118609410654,0.4614884277301884,3,3,2597
学生会联合会,5.796118609410654,0.4614884277301884,3,3,2597
中国青联,5.796118609410654,0.4614884277301884,3,3,2597
研究大学院,5.796118609410654,0.4614884277301884,3,3,2597
北岗伸一,5.796118609410654,0.4614884277301884,3,3,2597
先日中韩三国,5.796118609410654,0.4614884277301884,3,3,2597
宣传量,5.796118609410654,0.4614884277301884,3,3,2597
欧洲籍,5.796118609410654,0.4614884277301884,3,3,2597
十八后,5.796118609410654,0.4614884277301884,3,3,2597
美韩美日,5.796118609410654,0.4614884277301884,3,3,2597
战机导弹坦克,5.796118609410654,0.4614884277301884,3,3,2597
中缅胞波,5.796118609410654,0.4614884277301884,3,3,2597
新闻媒,5.796118609410654,0.4614884277301884,3,3,2597
排球队,5.796118609410654,0.4614884277301884,3,3,2597
利剑军演,5.796118609410654,0.4614884277301884,3,3,2597
阿达尼集团,5.796118609410654,0.4614884277301884,3,3,2597
石油事件,5.796118609410654,0.4614884277301884,3,3,2597
议员数,5.796118609410654,0.4614884277301884,3,3,2597
日日月月,5.796118609410654,0.4614884277301884,3,3,2597
空间特征,5.796118609410654,0.4614884277301884,3,3,2597
中国驻瑞典大使馆,5.796118609410654,0.4614884277301884,3,3,2597
戴维梅休,5.796118609410654,0.4614884277301884,3,3,2597
瑞典电视台,5.796118609410654,0.4614884277301884,3,3,2597
月日瑞典电视台,5.796118609410654,0.4614884277301884,3,3,2597
构建发展新体制,5.796118609410654,0.4614884277301884,3,3,2597
替代用,5.796118609410654,0.4614884277301884,3,3,2597
猎户座反潜艇,5.796118609410654,0.4614884277301884,3,3,2597
新疆内蒙,5.796118609410654,0.4614884277301884,3,3,2597
乌苏里江事件,5.796118609410654,0.4614884277301884,3,3,2597
开放型经济新体制新格局,5.796118609410654,0.4614884277301884,3,3,2597
挖空,5.344133485667597,0.4562830574162189,7,11,2597
劣行,5.572975058096444,0.4541235261674061,4,5,2597
国际舆情,5.572975058096444,0.4541235261674061,4,5,2597
一天后,5.572975058096444,0.4541235261674061,4,5,2597
盼着,5.572975058096444,0.4541235261674061,4,5,2597
今日印度,5.572975058096444,0.4541235261674061,4,5,2597
战略演习,5.572975058096444,0.4541235261674061,4,5,2597
新闻事业,5.572975058096444,0.4541235261674061,4,5,2597
做减法,5.39065350130249,0.4392667382929809,4,6,2597
新编日本史,5.39065350130249,0.4392667382929809,4,6,2597
吴丁昂敏乌,5.39065350130249,0.4392667382929809,4,6,2597
李大维,5.5084365369588735,0.4385831084556,3,4,2597
舆论平台,5.5084365369588735,0.4385831084556,3,4,2597
大故事,5.5084365369588735,0.4385831084556,3,4,2597
医疗系统,5.5084365369588735,0.4385831084556,3,4,2597
务委员会,5.5084365369588735,0.4385831084556,3,4,2597
物理隔离,5.5084365369588735,0.4385831084556,3,4,2597
他信派,5.5084365369588735,0.4385831084556,3,4,2597
兰州军区,5.5084365369588735,0.4385831084556,3,4,2597
国民经济和社会发展第十三个五年规划纲要草案,5.5084365369588735,0.4385831084556,3,4,2597
直接竞争者,5.5084365369588735,0.4385831084556,3,4,2597
聚旗效应,5.5084365369588735,0.4385831084556,3,4,2597
孟加拉湾地区,5.5084365369588735,0.4385831084556,3,4,2597
补充利用,5.5084365369588735,0.4385831084556,3,4,2597
吸走,5.102971428850709,0.43569259856778175,7,14,2597
舆情,4.43354077490808,0.4349809159050332,32,125,2597
恒常化,5.236502821475232,0.4267055031260379,4,7,2597
妥帖,5.236502821475232,0.4267055031260379,4,7,2597
如潮,5.236502821475232,0.4267055031260379,4,7,2597
缅甸新光报,5.236502821475232,0.4267055031260379,4,7,2597
