Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
先入为主,9.787029810165512,0.7548759484730879,2,48,2
电子战,9.615179553238852,0.7416210970821058,2,57,2
二手,9.354165727869233,0.7214890383459786,2,74,2
这本书,8.854209776340145,0.6829273163091982,2,122,2
一手,8.540237008656646,0.6587105216945925,2,167,2
印方,8.173433887582748,0.6304189092959106,2,241,2
当成,8.101402759373864,0.6248631311608741,2,259,2
这篇,8.045102714685331,0.620520695257676,2,274,2
书籍,7.664269393766833,0.5911469301915977,2,401,2
可供,7.608497365841445,0.586845220347543,2,424,2
摧毁,7.2629692229579526,0.5601945521016567,2,599,2
偏见,6.998936901389765,0.5398296760322778,2,780,2
两位,6.93319717890656,0.5347591555245828,2,833,2
军人,6.81875438284456,0.5259321553111489,2,934,2
作品,6.704546610202866,0.5171232825102966,2,1047,2
研究者,6.638040112761477,0.5119936204668086,2,1119,2
下面,6.582421957095016,0.5077037788268624,2,1183,2
中文,6.4054684030202145,0.4940553089070961,2,1412,2
中国威胁论,6.346344656996237,0.4894950802449973,2,1498,2
缺陷,6.323248942201588,0.48771370224273913,2,1533,2
例子,6.266815586398044,0.48336098402137717,2,1622,2
由此可见,6.213397547181208,0.47924083788904415,2,1711,2
兴趣,6.208151251265903,0.4788361898311704,2,1720,2
怀疑,6.203510871709401,0.47847827624687217,2,1728,2
美方,6.093473808167674,0.4699910912357487,2,1929,2
材料,5.9845426918056726,0.46158920819493193,2,2151,2
中印,5.983148963357069,0.4614817095865737,2,2154,2
意图,5.86093954752593,0.4520556681340328,2,2434,2
感到,5.825423304548537,0.44931629182438754,2,2522,2
攻击,5.806569643184137,0.4478621044171049,2,2570,2
容易,5.791891898026859,0.4467300064249707,2,2608,2
文章,5.747273438227814,0.44328857395633464,2,2727,2
担忧,5.739238332908156,0.44266882436254495,2,2749,2
提到,5.696860619353891,0.4394002211873334,2,2868,2
塑造,5.661240415235753,0.4366528263300544,2,2972,2
认知,5.427653603926948,0.41863621974381615,2,3754,2
笔者,5.420751532459769,0.41810386132187655,2,3780,2
担心,5.367938229849087,0.4140303586685153,2,3985,2
看法,5.364931462362079,0.4137984459735896,2,3997,2
准备,5.3616843007727875,0.4135479916240979,2,4010,2
现代化,5.182276377673762,0.39971021563487025,2,4798,2
大多数,5.17749416666778,0.3993413625569743,2,4821,2
会谈,5.157776953661463,0.39782056920515163,2,4917,2
并非,5.15209857701659,0.3973825946573339,2,4945,2
现象,5.078626369535768,0.39171566573361793,2,5322,2
专家,5.058536408145422,0.3901661222098439,2,5430,2
互动,4.98096168181053,0.3841827650263634,2,5868,2
往往,4.9369545810816975,0.38078848682893485,2,6132,2
特别,4.8893454949385395,0.37711638663558256,2,6431,2
符合,4.879135010192871,0.37632884950672346,2,6497,2
观点,4.8528556821637325,0.3743019186547681,2,6670,2
中方,4.794615062182784,0.3698098057154456,2,7070,2
发现,4.613590904874938,0.35584736919539267,2,8473,2
强化,4.613354888824751,0.35582916522103114,2,8475,2
所谓,4.606300185844861,0.3552850342940354,2,8535,2
缺乏,4.580165488407038,0.35326925883415666,2,8761,2
反映,4.534865463111626,0.34977525705588364,2,9167,2
一方面,4.532794956187663,0.3496155583619629,2,9186,2
另一方面,4.495086883928194,0.3467071257359181,2,9539,2
讨论,4.476084183468002,0.345241442907555,2,9722,2
针对,4.431721867935636,0.3418197669074294,2,10163,2
上述,4.326558163929694,0.33370846528209125,2,11290,2
发表,4.256443984526265,0.32830054186659274,2,12110,2
威胁,4.21948078811051,0.3254495616924077,2,12566,2
军事,4.180232528476367,0.3224223340460314,2,13069,2
应对,4.180003003973618,0.32240463076627535,2,13072,2
来自,4.164291702083075,0.3211928142962721,2,13279,2
挑战,4.163538916741895,0.3211347517829824,2,13289,2
信息,4.160533429469384,0.32090293783130686,2,13329,2
代表,4.132204180235841,0.3187178960669006,2,13712,2
意义,4.11313396925951,0.31724700613629186,2,13976,2
还是,4.078121605647329,0.3145464941625184,2,14474,2
网络,3.966885061743708,0.3059667929443922,2,16177,2
面临,3.914383991108171,0.30191737281790104,2,17049,2
明显,3.8587158589202524,0.29762367647690974,2,18025,2
自己,3.8413365511223696,0.29628320631260047,2,18341,2
印度,3.7948363621037187,0.2926966356195008,2,19214,2
比较,3.7938479884180354,0.2926204021208912,2,19233,2
他们,3.769095774761675,0.29071125796550645,2,19715,2
虽然,3.6872248168064514,0.28439653141029997,2,21397,2
扩大,3.637982977928575,0.28059849660827174,2,22477,2
方式,3.593773037654355,0.27718857334822644,2,23493,2
研究,3.414634793907117,0.26337159779185865,2,28102,2
一些,3.39162910096964,0.2615971631969604,2,28756,2
安全,3.258645570175896,0.2513401116822138,2,32846,2
由于,3.1626049746108125,0.24393247759144912,2,36157,2
战略,3.1511652788401463,0.24305013112243604,2,36573,2
这些,3.083177296010933,0.23780620175689277,2,39146,2
之间,3.0520914009630826,0.2354085392419582,2,40382,2
其他,2.9730359109978486,0.22931097040574952,2,43704,2
通过,2.6883098782333996,0.2073499834457631,2,58100,2
重要,2.635642313441849,0.20328772158522454,2,61242,2
美国,2.2131025141689995,0.1706971258753371,2,93445,2
中国,1.7044537993247526,0.1314649289263861,2,155403,2
