Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
错乱,6.934473488434882,0.726748253252618,8,14,62
极限思维,7.494089276370305,0.7121891145556692,3,3,62
理战,6.983263652604315,0.6636435961790248,3,5,62
宣传战,5.907124219788264,0.6268171470610293,9,44,62
详加,6.80094209581036,0.6223366122779899,2,4,62
台北站,6.57779854449615,0.601917323329461,2,5,62
张杨,6.395476987702195,0.5852335494637347,2,6,62
心理战略,6.395476987702195,0.5852335494637347,2,6,62
小将,6.80094209581036,0.5852173827779203,1,2,62
顾宁,6.80094209581036,0.5852173827779203,1,2,62
上千万,6.80094209581036,0.5852173827779203,1,2,62
小战,6.80094209581036,0.5852173827779203,1,2,62
标靶,6.80094209581036,0.5852173827779203,1,2,62
四海为家,6.80094209581036,0.5852173827779203,1,2,62
西方公司,6.80094209581036,0.5852173827779203,1,2,62
行政部,6.80094209581036,0.5852173827779203,1,2,62
虽胜犹败,6.80094209581036,0.5852173827779203,1,2,62
麦克卢尔,6.80094209581036,0.5852173827779203,1,2,62
人造岛屿,6.80094209581036,0.5852173827779203,1,2,62
美国新闻总署,6.80094209581036,0.5852173827779203,1,2,62
五份,6.80094209581036,0.5852173827779203,1,2,62
心理反击,6.80094209581036,0.5852173827779203,1,2,62
外心,6.107794915250414,0.5804447868396156,3,12,62
总体战,6.027752207576878,0.5728380526518606,3,13,62
心理状态,5.953644235423156,0.5657953168205578,3,14,62
脱敏,6.107794915250414,0.5589085074532983,2,8,62
物理,5.133235275252284,0.5508567842353708,10,106,62
第二十届,6.395476987702195,0.5503273298952465,1,3,62
靶心,6.395476987702195,0.5503273298952465,1,3,62
人造岛礁,6.395476987702195,0.5503273298952465,1,3,62
郭又新,6.395476987702195,0.5503273298952465,1,3,62
国际秩序主张,6.395476987702195,0.5503273298952465,1,3,62
曼迪昂特,6.395476987702195,0.5503273298952465,1,3,62
共同目标,6.395476987702195,0.5503273298952465,1,3,62
意外感,6.395476987702195,0.5503273298952465,1,3,62
维尔纽斯,6.395476987702195,0.5503273298952465,1,3,62
生性,6.395476987702195,0.5503273298952465,1,3,62
测评,6.395476987702195,0.5503273298952465,1,3,62
海外学生,6.395476987702195,0.5503273298952465,1,3,62
投诚,6.395476987702195,0.5503273298952465,1,3,62
数位,6.395476987702195,0.5503273298952465,1,3,62
战绩,6.395476987702195,0.5503273298952465,1,3,62
法治思维,6.395476987702195,0.5503273298952465,1,3,62
用尽,6.395476987702195,0.5503273298952465,1,3,62
准战争,6.395476987702195,0.5503273298952465,1,3,62
战术武器,6.395476987702195,0.5503273298952465,1,3,62
代理机构,6.395476987702195,0.5503273298952465,1,3,62
张少书,6.395476987702195,0.5503273298952465,1,3,62
韦布,6.395476987702195,0.5503273298952465,1,3,62
战法,5.548179127314992,0.5272625711222527,3,21,62
广告宣传,6.107794915250414,0.5255724434191399,1,4,62
剪裁,6.107794915250414,0.5255724434191399,1,4,62
美国驻台大使,6.107794915250414,0.5255724434191399,1,4,62
高音喇叭,6.107794915250414,0.5255724434191399,1,4,62
出蓝,6.107794915250414,0.5255724434191399,1,4,62
社会主体,6.107794915250414,0.5255724434191399,1,4,62
空虚,6.107794915250414,0.5255724434191399,1,4,62
史学集刊,6.107794915250414,0.5255724434191399,1,4,62
送回,6.107794915250414,0.5255724434191399,1,4,62
站长,6.107794915250414,0.5255724434191399,1,4,62
七份,6.107794915250414,0.5255724434191399,1,4,62
这几份,6.107794915250414,0.5255724434191399,1,4,62
军事官员,6.107794915250414,0.5255724434191399,1,4,62
底层,4.985652129172111,0.5152961837157015,7,86,62
资本主义精神,5.884651363936205,0.5063710617216955,1,5,62
信息平台,5.884651363936205,0.5063710617216955,1,5,62
风高浪急,5.884651363936205,0.5063710617216955,1,5,62
萨德导弹,5.884651363936205,0.5063710617216955,1,5,62
快感,5.884651363936205,0.5063710617216955,1,5,62
小规模战争,5.884651363936205,0.5063710617216955,1,5,62
艾立信,5.884651363936205,0.5063710617216955,1,5,62
美国战争,5.884651363936205,0.5063710617216955,1,5,62
文安立,5.884651363936205,0.5063710617216955,1,5,62
比尔盖茨,5.884651363936205,0.5063710617216955,1,5,62
前哨战,5.884651363936205,0.5063710617216955,1,5,62
社会生产,5.884651363936205,0.5063710617216955,1,5,62
反潜演习,5.884651363936205,0.5063710617216955,1,5,62
