Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
法规,3.4070828936036373,0.4896792737180336,106,207,1891
规定,2.4981230511787,0.4204850335649344,293,1420,1891
法院,3.1499537307171996,0.4175616058109404,59,149,1891
国内法,3.179120055853479,0.41552063991961924,53,130,1891
裁决,3.1063676819109234,0.4108527710764763,58,153,1891
司法,2.9605825004664643,0.406817693172018,77,235,1891
选举委员会,3.670897484648775,0.4017918248652036,12,18,1891
何春超,3.922211912929681,0.3990260136505849,6,7,1891
约束力,2.9725554872117255,0.39834090338265016,64,193,1891
是否合法,4.076362592756939,0.398279506692757,4,4,1891
国际法,2.4143623502319835,0.3963302309264708,252,1328,1891
有法可依,3.8250481644760335,0.3953410046702451,7,9,1891
效力,2.862314136442262,0.39470527107447134,79,266,1891
诉讼,3.277854896539168,0.3937180310163983,27,60,1891
权利,2.419604024132767,0.39049340993864956,227,1190,1891
法律体系,3.2841245095527634,0.3889681926648583,24,53,1891
日华和约,3.8940410359629847,0.38894570195523864,5,6,1891
豁免权,3.8940410359629847,0.38894570195523864,5,6,1891
联合国海洋法公约,2.8652723206621395,0.3886312037665585,70,235,1891
公司制,4.076362592756939,0.38739077671483607,3,3,1891
日本海洋,4.076362592756939,0.38739077671483607,3,3,1891
待查,4.076362592756939,0.38739077671483607,3,3,1891
魁北克分离主义,4.076362592756939,0.38739077671483607,3,3,1891
证据材料,4.076362592756939,0.38739077671483607,3,3,1891
应诉,4.076362592756939,0.38739077671483607,3,3,1891
法人机构,4.076362592756939,0.38739077671483607,3,3,1891
诏敕,4.076362592756939,0.38739077671483607,3,3,1891
帕尔马斯岛,4.076362592756939,0.38739077671483607,3,3,1891
要紧,4.076362592756939,0.38739077671483607,3,3,1891
部门规章,4.076362592756939,0.38739077671483607,3,3,1891
开发者,4.076362592756939,0.38739077671483607,3,3,1891
判决,3.120851147729503,0.3796643759420181,30,78,1891
长臂,3.04476101437179,0.37880976215443546,36,101,1891
検索,3.85321904144273,0.37647734814655515,4,5,1891
联合组织,3.85321904144273,0.37647734814655515,4,5,1891
反间谍法,3.85321904144273,0.37647734814655515,4,5,1891
海床,3.85321904144273,0.37647734814655515,4,5,1891
蒙大拿州,3.85321904144273,0.37647734814655515,4,5,1891
法律化,3.383215412196994,0.37357695876326574,13,26,1891
法律责任,3.739890356135726,0.3735487803977689,5,7,1891
赫尔姆斯伯顿,3.670897484648775,0.3734585540854281,6,9,1891
公职人员,3.5009984478533775,0.37149817361166065,9,16,1891
管辖权,2.7973137619906465,0.3708152329424561,59,212,1891
管辖,2.6218002605080457,0.3692970256579293,92,394,1891
公约,2.6177475700574226,0.36758817467070765,90,387,1891
第条,2.7086216395327964,0.3659450937521534,68,267,1891
刑法,3.5373660920242522,0.36560738703767215,7,12,1891
司法机构,3.309107440043272,0.3653939058138462,13,28,1891
法治国家,3.4403738260369425,0.3650651698225523,9,17,1891
国际法院,3.106962035568836,0.3642316569587281,22,58,1891
可采性,3.5655369689909486,0.36273970780878473,6,10,1891
国际私法,3.606358963511204,0.3602113602838687,5,8,1891
中华人民共和国专属经济区和大陆架法,3.606358963511204,0.3602113602838687,5,8,1891
立法行动,3.606358963511204,0.3602113602838687,5,8,1891
可持续发展战略,3.7886805203051583,0.36005135855511444,3,4,1891
标的,3.7886805203051583,0.36005135855511444,3,4,1891
情报法,3.7886805203051583,0.36005135855511444,3,4,1891
台北法案,3.7886805203051583,0.36005135855511444,3,4,1891
罗马法,3.7886805203051583,0.36005135855511444,3,4,1891
本法,3.7886805203051583,0.36005135855511444,3,4,1891
罚没,3.7886805203051583,0.36005135855511444,3,4,1891
执法者,3.7886805203051583,0.36005135855511444,3,4,1891
原告,3.7886805203051583,0.36005135855511444,3,4,1891
张卫彬,3.7886805203051583,0.36005135855511444,3,4,1891
拘束,3.1853896688670744,0.3599865618553636,16,39,1891
编选,3.670897484648775,0.3586636875491448,4,6,1891
有章可循,3.670897484648775,0.3586636875491448,4,6,1891
照顾各方舒适度,3.670897484648775,0.3586636875491448,4,6,1891
大陆架法,3.670897484648775,0.3586636875491448,4,6,1891
当事方,2.861918488563708,0.35847300030321305,38,128,1891
审理,3.334425248027562,0.3578232188688094,10,21,1891
规章,3.043347586574643,0.354838941826236,21,59,1891
礁石,3.383215412196994,0.3545685040532822,8,16,1891
罚金,3.383215412196994,0.3545685040532822,8,16,1891
沿海国,3.1353792482924128,0.35433479512315835,16,41,1891
条文,3.0467431755757812,0.3532254614343992,20,56,1891
立法,2.4728829899064695,0.35296125947297663,101,502,1891
案件,2.8195262988739356,0.3495623338028929,35,123,1891
美国法院,3.4885759278548205,0.34844692198989424,5,9,1891
提起诉讼,3.322590790380559,0.34821490877561984,8,17,1891
明文规定,3.277854896539168,0.3478199506700661,9,20,1891
修正案,2.8428309861894587,0.3458420799933012,30,103,1891
大法官,3.516746804821517,0.3436024521165945,4,7,1891
阮晋勇,3.516746804821517,0.3436024521165945,4,7,1891
共同开发区,3.516746804821517,0.3436024521165945,4,7,1891
措置,3.516746804821517,0.3436024521165945,4,7,1891
断续,2.7456380827918596,0.3427632064123216,37,140,1891
詹宁斯,3.5655369689909486,0.33884525833819173,3,5,1891
宪法原则,3.5655369689909486,0.33884525833819173,3,5,1891
