Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
国际舆论,3.3446554809683433,0.46818427455948614,88,300,1153
子场域,4.370430445684187,0.4637553979676796,9,11,1153
涉外事件,4.571101141146338,0.45657200980468937,5,5,1153
社交媒体平台,4.41695046131908,0.44935821271211934,6,7,1153
质化,4.571101141146338,0.4344074849124544,3,3,1153
占得,4.571101141146338,0.4344074849124544,3,3,1153
媒体,2.6508005862953485,0.42750099718426543,226,1542,1153
清零,4.347957589832128,0.4248155959129676,4,5,1153
哗然,4.165636033038173,0.4237907531469626,6,9,1153
国际传媒,4.234628904525125,0.4229643952334877,5,7,1153
公众,2.8483345434052345,0.40881683613174574,105,588,1153
澳大利亚媒体,4.283419068694557,0.4070680667527327,3,4,1153
子场,4.283419068694557,0.4070680667527327,3,4,1153
下端,4.283419068694557,0.4070680667527327,3,4,1153
噤声,4.283419068694557,0.4070680667527327,3,4,1153
识别系统,4.283419068694557,0.4070680667527327,3,4,1153
惯习,3.8779539605863924,0.4064182048933502,8,16,1153
宣传,2.8017139696728157,0.40640857043881545,113,663,1153
舆论斗争,3.688711960947864,0.4037416779927185,12,29,1153
公众舆论,3.291904915582814,0.4036429227798374,32,115,1153
表达意见,3.9833144762442187,0.397862536825613,5,9,1153
舆论场,3.695632403792438,0.3965850136430934,10,24,1153
噱头,4.011485353210915,0.3919406998830069,4,7,1153
反复发作,4.060275517380347,0.38586196653581,3,5,1153
受动,4.165636033038173,0.38118657389850974,2,3,1153
加强国际传播能力建设,4.165636033038173,0.38118657389850974,2,3,1153
野村综合研究所,4.165636033038173,0.38118657389850974,2,3,1153
新闻发言人制度,4.165636033038173,0.38118657389850974,2,3,1153
番茄,4.165636033038173,0.38118657389850974,2,3,1153
邮件门事件,4.165636033038173,0.38118657389850974,2,3,1153
二元制,4.165636033038173,0.38118657389850974,2,3,1153
说不出,4.165636033038173,0.38118657389850974,2,3,1153
显要性,4.165636033038173,0.38118657389850974,2,3,1153
热点话题,4.165636033038173,0.38118657389850974,2,3,1153
国内竞争,4.165636033038173,0.38118657389850974,2,3,1153
张传杰,4.165636033038173,0.38118657389850974,2,3,1153
美新处,4.165636033038173,0.38118657389850974,2,3,1153
不管不顾,4.165636033038173,0.38118657389850974,2,3,1153
群殴,4.165636033038173,0.38118657389850974,2,3,1153
暴民,4.165636033038173,0.38118657389850974,2,3,1153
综合评价,4.165636033038173,0.38118657389850974,2,3,1153
归咎为,4.165636033038173,0.38118657389850974,2,3,1153
新兴媒体,4.165636033038173,0.38118657389850974,2,3,1153
变化机制,4.165636033038173,0.38118657389850974,2,3,1153
义愤,4.165636033038173,0.38118657389850974,2,3,1153
瓜德尔港,4.165636033038173,0.38118657389850974,2,3,1153
新闻素材,4.165636033038173,0.38118657389850974,2,3,1153
恨不得,4.165636033038173,0.38118657389850974,2,3,1153
社会舆论,3.225080679164387,0.3716907584168,19,73,1153
竞争机制,3.695632403792438,0.3691281951542431,5,12,1153
施动国,3.8779539605863924,0.3685353210544276,3,6,1153
万澳元,3.8779539605863924,0.3685353210544276,3,6,1153
数据挖掘,3.8779539605863924,0.3685353210544276,3,6,1153
移花接木,3.8779539605863924,0.3685353210544276,3,6,1153
后援,3.8779539605863924,0.3685353210544276,3,6,1153
传播好中国声音,3.760170924930009,0.367386116171945,4,9,1153
讲好中国故事,3.760170924930009,0.367386116171945,4,9,1153
先声夺人,3.760170924930009,0.367386116171945,4,9,1153
奥运火炬,3.760170924930009,0.367386116171945,4,9,1153
氛围,2.8624082706168963,0.36732474208200966,46,254,1153
西巴尔干,3.2981354653334503,0.3671870842178518,14,50,1153
传播,2.583678498186754,0.3633679572384178,91,664,1153
抹黑,2.9917406839495153,0.35935155416425274,27,131,1153
传媒,3.2016138983428286,0.35920022342192043,15,59,1153
博客,3.529647266318177,0.35908847087754925,6,17,1153
愉悦,3.529647266318177,0.35908847087754925,6,17,1153
社交媒体,3.024464129951268,0.3564176950704042,23,108,1153
舆论力量,3.8779539605863924,0.35486153188807346,2,4,1153
新基调,3.8779539605863924,0.35486153188807346,2,4,1153
旅美,3.8779539605863924,0.35486153188807346,2,4,1153
宇航员,3.8779539605863924,0.35486153188807346,2,4,1153
反扑,3.8779539605863924,0.35486153188807346,2,4,1153
不出所料,3.8779539605863924,0.35486153188807346,2,4,1153
苍白,3.8779539605863924,0.35486153188807346,2,4,1153
宣传机构,3.8779539605863924,0.35486153188807346,2,4,1153
传媒界,3.8779539605863924,0.35486153188807346,2,4,1153
印人党政府,3.8779539605863924,0.35486153188807346,2,4,1153
四人帮,3.8779539605863924,0.35486153188807346,2,4,1153
大而化之,3.8779539605863924,0.35486153188807346,2,4,1153
社会主体,3.8779539605863924,0.35486153188807346,2,4,1153
反问,3.8779539605863924,0.35486153188807346,2,4,1153
内宣,3.8779539605863924,0.35486153188807346,2,4,1153
破例,3.8779539605863924,0.35486153188807346,2,4,1153
培训体系,3.8779539605863924,0.35486153188807346,2,4,1153
史诗级,3.8779539605863924,0.35486153188807346,2,4,1153
跟帖,3.8779539605863924,0.35486153188807346,2,4,1153
见顶,3.8779539605863924,0.35486153188807346,2,4,1153
越顶外交,3.8779539605863924,0.35486153188807346,2,4,1153
换人,3.8779539605863924,0.35486153188807346,2,4,1153
东方化,3.8779539605863924,0.35486153188807346,2,4,1153
电视媒体,3.8779539605863924,0.35486153188807346,2,4,1153
宣传册,3.8779539605863924,0.35486153188807346,2,4,1153
张宁,3.8779539605863924,0.35486153188807346,2,4,1153
加快推进社会主义现代化,3.8779539605863924,0.35486153188807346,2,4,1153
胡佛研究所,3.8779539605863924,0.35486153188807346,2,4,1153
德古赫特,3.8779539605863924,0.35486153188807346,2,4,1153
新闻专业主义,3.8779539605863924,0.35486153188807346,2,4,1153
新闻联播,3.8779539605863924,0.35486153188807346,2,4,1153
中日岛争,3.8779539605863924,0.35486153188807346,2,4,1153
民意,2.779341671918283,0.3546420319430339,44,264,1153
宣传片,3.723803280759134,0.35388585103536974,3,7,1153
间点,3.723803280759134,0.35388585103536974,3,7,1153
媒体平台,3.723803280759134,0.35388585103536974,3,7,1153
口味,3.723803280759134,0.35388585103536974,3,7,1153
论战,2.7881523016004377,0.34923332891937775,38,226,1153
报道,2.505306513307684,0.3478441086313656,83,655,1153
混合战,3.4184216312079525,0.34777293699538414,6,19,1153
水产品,3.4724888524782282,0.3468401082026306,5,15,1153
眼球,3.4724888524782282,0.3468401082026306,5,15,1153
拉锯战,3.4724888524782282,0.3468401082026306,5,15,1153
外宣,3.184806780026447,0.3452990770617012,11,44,1153
炒作,2.745725061119298,0.3450416788052919,39,242,1153
舆情,3.210124588010737,0.34448428967822464,10,39,1153
新闻报道,3.143984785506192,0.344119493829404,12,50,1153
大数据,2.884702187576109,0.34332096738826856,25,135,1153
西方政府,3.5902718881346116,0.3411959028947059,3,8,1153
传播平台,3.5902718881346116,0.3411959028947059,3,8,1153
新闻发言人,3.1403550174556134,0.34047958449915794,11,46,1153
混淆视听,3.4724888524782282,0.33927824517341504,4,12,1153
污名化,2.97349768635924,0.33835846556593296,17,84,1153
东方主义,3.1848067800264475,0.33794642291581206,9,36,1153
报纸,2.910369934324687,0.3354203245677801,19,100,1153
政策性银行,3.6548104092721827,0.3344422429395446,2,5,1153
首席财务官,3.6548104092721827,0.3344422429395446,2,5,1153
失明,3.6548104092721827,0.3344422429395446,2,5,1153
韩流,3.6548104092721827,0.3344422429395446,2,5,1153
平易近人,3.6548104092721827,0.3344422429395446,2,5,1153
同友会,3.6548104092721827,0.3344422429395446,2,5,1153
可敬,3.6548104092721827,0.3344422429395446,2,5,1153
心理需要,3.6548104092721827,0.3344422429395446,2,5,1153
大正,3.6548104092721827,0.3344422429395446,2,5,1153
最重,3.6548104092721827,0.3344422429395446,2,5,1153
藏民,3.6548104092721827,0.3344422429395446,2,5,1153
邮件门,3.6548104092721827,0.3344422429395446,2,5,1153
可取之处,3.6548104092721827,0.3344422429395446,2,5,1153
印度空军,3.6548104092721827,0.3344422429395446,2,5,1153
晨报,3.6548104092721827,0.3344422429395446,2,5,1153
颁行,3.6548104092721827,0.3344422429395446,2,5,1153
新加坡政府,3.6548104092721827,0.3344422429395446,2,5,1153
最热门,3.6548104092721827,0.3344422429395446,2,5,1153
前一个月,3.6548104092721827,0.3344422429395446,2,5,1153
锐评,3.6548104092721827,0.3344422429395446,2,5,1153
密松,3.6548104092721827,0.3344422429395446,2,5,1153
本特利,3.6548104092721827,0.3344422429395446,2,5,1153
传播途径,3.6548104092721827,0.3344422429395446,2,5,1153
宣传材料,3.6548104092721827,0.3344422429395446,2,5,1153
炸弹袭击,3.6548104092721827,0.3344422429395446,2,5,1153
添油加醋,3.6548104092721827,0.3344422429395446,2,5,1153
新闻传播学,3.6548104092721827,0.3344422429395446,2,5,1153
竹内好,3.6548104092721827,0.3344422429395446,2,5,1153
上百名,3.6548104092721827,0.3344422429395446,2,5,1153
职业培训,3.6548104092721827,0.3344422429395446,2,5,1153
疑点重重,3.8779539605863924,0.33369583733784536,1,2,1153
北野充,3.8779539605863924,0.33369583733784536,1,2,1153
工业级,3.8779539605863924,0.33369583733784536,1,2,1153
公开反对,3.8779539605863924,0.33369583733784536,1,2,1153
调查局长,3.8779539605863924,0.33369583733784536,1,2,1153
六问,3.8779539605863924,0.33369583733784536,1,2,1153
科伦坡港,3.8779539605863924,0.33369583733784536,1,2,1153
来者居上,3.8779539605863924,0.33369583733784536,1,2,1153
不急不躁,3.8779539605863924,0.33369583733784536,1,2,1153
护持者,3.8779539605863924,0.33369583733784536,1,2,1153
海保厅,3.8779539605863924,0.33369583733784536,1,2,1153
国际金融风险,3.8779539605863924,0.33369583733784536,1,2,1153
选举口号,3.8779539605863924,0.33369583733784536,1,2,1153
施乐伯,3.8779539605863924,0.33369583733784536,1,2,1153
变化范围,3.8779539605863924,0.33369583733784536,1,2,1153
美国夏威夷东西方研究中心,3.8779539605863924,0.33369583733784536,1,2,1153
交谈判,3.8779539605863924,0.33369583733784536,1,2,1153
打起,3.8779539605863924,0.33369583733784536,1,2,1153
引导机制,3.8779539605863924,0.33369583733784536,1,2,1153
康伦学社,3.8779539605863924,0.33369583733784536,1,2,1153
树形象,3.8779539605863924,0.33369583733784536,1,2,1153
归罪,3.8779539605863924,0.33369583733784536,1,2,1153
几十种,3.8779539605863924,0.33369583733784536,1,2,1153
新闻史,3.8779539605863924,0.33369583733784536,1,2,1153
有素,3.8779539605863924,0.33369583733784536,1,2,1153
鲍勃多尔,3.8779539605863924,0.33369583733784536,1,2,1153
首站,3.8779539605863924,0.33369583733784536,1,2,1153
克莱因,3.8779539605863924,0.33369583733784536,1,2,1153
宣传性,3.8779539605863924,0.33369583733784536,1,2,1153
美中战略经济对话,3.8779539605863924,0.33369583733784536,1,2,1153
新独立,3.8779539605863924,0.33369583733784536,1,2,1153
后排,3.8779539605863924,0.33369583733784536,1,2,1153
参考文献,3.8779539605863924,0.33369583733784536,1,2,1153
投稿,3.8779539605863924,0.33369583733784536,1,2,1153
理政,3.8779539605863924,0.33369583733784536,1,2,1153
第九位,3.8779539605863924,0.33369583733784536,1,2,1153
出了事,3.8779539605863924,0.33369583733784536,1,2,1153
哪类,3.8779539605863924,0.33369583733784536,1,2,1153
大国首脑,3.8779539605863924,0.33369583733784536,1,2,1153
战略制高点,3.8779539605863924,0.33369583733784536,1,2,1153
提纯,3.8779539605863924,0.33369583733784536,1,2,1153
约晤,3.8779539605863924,0.33369583733784536,1,2,1153
科尔政府,3.8779539605863924,0.33369583733784536,1,2,1153
误国,3.8779539605863924,0.33369583733784536,1,2,1153
声誉损失,3.8779539605863924,0.33369583733784536,1,2,1153
寡断,3.8779539605863924,0.33369583733784536,1,2,1153
新闻大学,3.8779539605863924,0.33369583733784536,1,2,1153
线人,3.8779539605863924,0.33369583733784536,1,2,1153
假身份证件,3.8779539605863924,0.33369583733784536,1,2,1153
道德革命,3.8779539605863924,0.33369583733784536,1,2,1153
乱纷纷,3.8779539605863924,0.33369583733784536,1,2,1153
力陈,3.8779539605863924,0.33369583733784536,1,2,1153
新冠肺炎疫,3.8779539605863924,0.33369583733784536,1,2,1153
华秀,3.8779539605863924,0.33369583733784536,1,2,1153
观点分歧,3.8779539605863924,0.33369583733784536,1,2,1153
乔治斯塔内希,3.8779539605863924,0.33369583733784536,1,2,1153
梅朗雄,3.8779539605863924,0.33369583733784536,1,2,1153
吕克,3.8779539605863924,0.33369583733784536,1,2,1153
道具,3.8779539605863924,0.33369583733784536,1,2,1153
家基金会,3.8779539605863924,0.33369583733784536,1,2,1153
万条,3.8779539605863924,0.33369583733784536,1,2,1153
数据研究实验室,3.8779539605863924,0.33369583733784536,1,2,1153
史达伟,3.8779539605863924,0.33369583733784536,1,2,1153
单向度的人,3.8779539605863924,0.33369583733784536,1,2,1153
