Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
速率,8.037704722959287,0.6916401367995305,1,36,1
算法,8.037704722959287,0.6916401367995305,1,36,1
战役,7.510349797242085,0.6462615311482068,1,61,1
无人机,6.948394826953491,0.5979056104068835,1,107,1
网络攻击,6.777036574956806,0.5831603256598369,1,127,1
计算机,6.777036574956806,0.5831603256598369,1,127,1
从军,6.76919339749578,0.5824854244885371,1,128,1
贯穿,6.417216974338602,0.5521980439671722,1,182,1
大幅度,6.079960116256971,0.5231772740458958,1,255,1
限于,5.875020470875244,0.5055423285915573,1,313,1
人工智能,5.7776792443840375,0.49716616878883385,1,345,1
全部,5.054551231612156,0.4349413950610207,1,711,1
新型,5.0145734752171816,0.43150133078210073,1,740,1
自主,4.89499025905665,0.42121125981844054,1,834,1
学习,4.857338752852962,0.4179713681081813,1,866,1
武器,4.398657642593226,0.37850210707135595,1,1370,1
形式,3.936899593734242,0.3387680771350674,1,2174,1
提高,3.9182159789361606,0.3371603622039699,1,2215,1
决策,3.868029391531056,0.33284183354749686,1,2329,1
控制,3.758726464184852,0.323436375866727,1,2598,1
模式,3.5622636436459794,0.3065308565976017,1,3162,1
环境,3.480033867957705,0.29945502894949505,1,3433,1
而是,3.450189472209916,0.2968869348642846,1,3537,1
行动,3.2583478303835167,0.28037906551973796,1,4285,1
不仅,3.133047419069652,0.26959703301055515,1,4857,1
战争,3.132841551853279,0.2695793182481196,1,4858,1
由于,2.8570141542733936,0.24584452012219735,1,6401,1
军事,2.855141202266534,0.24568335361672183,1,6413,1
一种,2.8130039962969886,0.24205746987184146,1,6689,1
这种,2.566251376672911,0.2208245406370878,1,8561,1
可以,2.5380350750996974,0.21839654317354215,1,8806,1
进行,2.2863674147416466,0.1967406773464663,1,11326,1
