Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
污名化,4.439960436464169,0.5095294305830143,5,5,359
高压态势,4.439960436464169,0.4968072247639589,4,4,359
余千克,4.439960436464169,0.48131371402371714,3,3,359
万剑空地导弹,4.439960436464169,0.48131371402371714,3,3,359
导航信号,4.439960436464169,0.48131371402371714,3,3,359
日美欧,4.439960436464169,0.48131371402371714,3,3,359
恩格尔,4.439960436464169,0.48131371402371714,3,3,359
解码器,4.439960436464169,0.48131371402371714,3,3,359
中山泰秀,4.439960436464169,0.48131371402371714,3,3,359
初岸信夫,4.439960436464169,0.48131371402371714,3,3,359
关键节点,4.439960436464169,0.48131371402371714,3,3,359
惊吓,4.216816885149959,0.4718386850576296,4,5,359
鲁莽,4.034495328356004,0.45143790267642825,4,6,359
禁飞区,4.034495328356004,0.45143790267642825,4,6,359
粉红,4.152278364012387,0.45012755172987556,3,4,359
史文,4.152278364012387,0.45012755172987556,3,4,359
更胜一筹,4.152278364012387,0.45012755172987556,3,4,359
中心线,4.152278364012387,0.45012755172987556,3,4,359
实操性,4.152278364012387,0.45012755172987556,3,4,359
武统,3.592662576076965,0.4421162717029341,9,21,359
美日同盟,3.319369241077284,0.43588546864363825,15,46,359
先岛,3.929134812698178,0.4259376849550682,3,5,359
焦躁,3.929134812698178,0.4259376849550682,3,5,359
劝止,3.929134812698178,0.4259376849550682,3,5,359
雷德福,3.929134812698178,0.4259376849550682,3,5,359
应急计划,3.929134812698178,0.4259376849550682,3,5,359
美日安保条约,3.5526572414632662,0.4240777364106953,7,17,359
第五条,3.746813255904223,0.41924785637436435,4,8,359
哪一方,4.034495328356004,0.41894480797944283,2,3,359
忍耐,4.034495328356004,0.41894480797944283,2,3,359
下架,4.034495328356004,0.41894480797944283,2,3,359
巴里,4.034495328356004,0.41894480797944283,2,3,359
忠心,4.034495328356004,0.41894480797944283,2,3,359
政府磋商,4.034495328356004,0.41894480797944283,2,3,359
一本正经,4.034495328356004,0.41894480797944283,2,3,359
卡特勒,4.034495328356004,0.41894480797944283,2,3,359
台海战事,4.034495328356004,0.41894480797944283,2,3,359
心怀鬼胎,4.034495328356004,0.41894480797944283,2,3,359
盖有,4.034495328356004,0.41894480797944283,2,3,359
不首先使用核武器政策,4.034495328356004,0.41894480797944283,2,3,359
全民国防观念,4.034495328356004,0.41894480797944283,2,3,359
导弹飞机,4.034495328356004,0.41894480797944283,2,3,359
卑劣,4.034495328356004,0.41894480797944283,2,3,359
浜田靖一,4.034495328356004,0.41894480797944283,2,3,359
联合战役,4.034495328356004,0.41894480797944283,2,3,359
坦克飞机,4.034495328356004,0.41894480797944283,2,3,359
关机,4.034495328356004,0.41894480797944283,2,3,359
从商,4.034495328356004,0.41894480797944283,2,3,359
蜿蜒,4.034495328356004,0.41894480797944283,2,3,359
得寸进尺,4.034495328356004,0.41894480797944283,2,3,359
安全庇护,4.034495328356004,0.41894480797944283,2,3,359
日美防卫合作指针,4.034495328356004,0.41894480797944283,2,3,359
评论文章,4.034495328356004,0.41894480797944283,2,3,359
麻生,4.034495328356004,0.41894480797944283,2,3,359
新疆军区,4.034495328356004,0.41894480797944283,2,3,359
开放透明,4.034495328356004,0.41894480797944283,2,3,359
威慑战,4.034495328356004,0.41894480797944283,2,3,359
第岸舰导弹,4.034495328356004,0.41894480797944283,2,3,359
葛莱仪,4.034495328356004,0.41894480797944283,2,3,359
伯克级驱逐舰,4.034495328356004,0.41894480797944283,2,3,359
遏阻,4.034495328356004,0.41894480797944283,2,3,359
普天间,4.034495328356004,0.41894480797944283,2,3,359
多路,4.034495328356004,0.41894480797944283,2,3,359
大发,4.034495328356004,0.41894480797944283,2,3,359
地地,3.5644916991102686,0.40906072289506834,5,12,359
菅义伟,3.1871974679688004,0.4066145074878259,12,42,359
第二份,3.7468132559042235,0.40617312468412836,3,6,359
不韪,3.7468132559042235,0.40617312468412836,3,6,359
冒天下之大,3.7468132559042235,0.40617312468412836,3,6,359
美制导弹,3.7468132559042235,0.40617312468412836,3,6,359
军事安全政策,3.7468132559042235,0.40617312468412836,3,6,359
双边对话,3.6290302202478397,0.40606858058889767,4,9,359
康德,3.6290302202478397,0.40606858058889767,4,9,359
不见得,3.6290302202478397,0.40606858058889767,4,9,359
无端,3.6290302202478397,0.40606858058889767,4,9,359
嘉手纳基地,3.523669704590014,0.3942793166680351,4,10,359
歼灭战,3.523669704590014,0.3942793166680351,4,10,359
美俄,3.41034101928301,0.3913704057761803,5,14,359
军事打击,3.2235651121396756,0.3910270711640867,8,27,359
台海战争,3.2235651121396756,0.3910270711640867,8,27,359
愈来愈多,3.592662576076965,0.38946242708024953,3,7,359
官方文件,3.592662576076965,0.38946242708024953,3,7,359
乏力,3.592662576076965,0.38946242708024953,3,7,359
极端主义,3.746813255904223,0.3890717009875081,2,4,359
町村信孝,3.746813255904223,0.3890717009875081,2,4,359
称竞争,3.746813255904223,0.3890717009875081,2,4,359
独立行动,3.746813255904223,0.3890717009875081,2,4,359
海洋争端,3.746813255904223,0.3890717009875081,2,4,359
从南往北,3.746813255904223,0.3890717009875081,2,4,359
核竞赛,3.746813255904223,0.3890717009875081,2,4,359
游击部队,3.746813255904223,0.3890717009875081,2,4,359
安大维,3.746813255904223,0.3890717009875081,2,4,359
东扩,3.746813255904223,0.3890717009875081,2,4,359
民族地区,3.746813255904223,0.3890717009875081,2,4,359
增加投资,3.746813255904223,0.3890717009875081,2,4,359
创见,3.746813255904223,0.3890717009875081,2,4,359
声调,3.746813255904223,0.3890717009875081,2,4,359
界碑,3.746813255904223,0.3890717009875081,2,4,359
对陆,3.746813255904223,0.3890717009875081,2,4,359
尼米兹级,3.746813255904223,0.3890717009875081,2,4,359
鲁德,3.746813255904223,0.3890717009875081,2,4,359
滨海战斗舰,3.746813255904223,0.3890717009875081,2,4,359
苏比克,3.746813255904223,0.3890717009875081,2,4,359
海海,3.746813255904223,0.3890717009875081,2,4,359
试验性,3.746813255904223,0.3890717009875081,2,4,359
变化莫测,3.746813255904223,0.3890717009875081,2,4,359
征兆,3.746813255904223,0.3890717009875081,2,4,359
政企,3.746813255904223,0.3890717009875081,2,4,359
台湾研究中心,3.746813255904223,0.3890717009875081,2,4,359
勇者,3.746813255904223,0.3890717009875081,2,4,359
众参,3.746813255904223,0.3890717009875081,2,4,359
百枚,3.746813255904223,0.3890717009875081,2,4,359
两周以上,3.746813255904223,0.3890717009875081,2,4,359
过期,3.746813255904223,0.3890717009875081,2,4,359
份量,3.746813255904223,0.3890717009875081,2,4,359
磋商委员会,3.746813255904223,0.3890717009875081,2,4,359
中美战争,3.746813255904223,0.3890717009875081,2,4,359
切莫,3.746813255904223,0.3890717009875081,2,4,359
延展,3.746813255904223,0.3890717009875081,2,4,359
福建号,3.746813255904223,0.3890717009875081,2,4,359
夏洛号,3.746813255904223,0.3890717009875081,2,4,359
出乎意料,3.746813255904223,0.3890717009875081,2,4,359
上佳,3.746813255904223,0.3890717009875081,2,4,359
险胜,3.746813255904223,0.3890717009875081,2,4,359
弱者,3.746813255904223,0.3890717009875081,2,4,359
减少至,3.746813255904223,0.3890717009875081,2,4,359
安全可靠,3.746813255904223,0.3890717009875081,2,4,359
极大程度,3.746813255904223,0.3890717009875081,2,4,359
这轮,3.746813255904223,0.3890717009875081,2,4,359
占得先机,3.746813255904223,0.3890717009875081,2,4,359
导弹预警,3.746813255904223,0.3890717009875081,2,4,359
近期目标,3.746813255904223,0.3890717009875081,2,4,359
大陆武统,3.746813255904223,0.3890717009875081,2,4,359
反复无常,3.746813255904223,0.3890717009875081,2,4,359
