Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
骑虎难下,6.826775263485968,0.7088971033820388,2,3,22
本会,6.826775263485968,0.7088971033820388,2,3,22
一两个月,6.826775263485968,0.7088971033820388,2,3,22
凡此种种,6.315949639719977,0.7067201289651696,4,10,22
虚张声势,6.315949639719977,0.7067201289651696,4,10,22
操切,6.539093191034186,0.679023996390104,2,4,22
威克岛,6.539093191034186,0.679023996390104,2,4,22
共匪,6.539093191034186,0.679023996390104,2,4,22
临别,6.539093191034186,0.679023996390104,2,4,22
扩修,6.539093191034186,0.679023996390104,2,4,22
冲昏头脑,6.539093191034186,0.679023996390104,2,4,22
潘尼迦,6.1336280829260215,0.6649156800559973,3,9,22
懈怠,6.315949639719977,0.6558526144330761,2,5,22
吓唬,6.315949639719977,0.6558526144330761,2,5,22
民用航线,6.133628082926022,0.6369202168504814,2,6,22
御用,6.539093191034186,0.6334315645434531,1,2,22
手腕,6.539093191034186,0.6334315645434531,1,2,22
张目,6.539093191034186,0.6334315645434531,1,2,22
一般地,6.539093191034186,0.6334315645434531,1,2,22
警卫部队,6.539093191034186,0.6334315645434531,1,2,22
复会,6.539093191034186,0.6334315645434531,1,2,22
亚洲局势,6.539093191034186,0.6334315645434531,1,2,22
防卫条约,6.539093191034186,0.6334315645434531,1,2,22
哪方,6.539093191034186,0.6334315645434531,1,2,22
台湾法理独立,6.539093191034186,0.6334315645434531,1,2,22
显荣,6.539093191034186,0.6334315645434531,1,2,22
无动于衷,5.979477403098763,0.6209131027744695,2,7,22
拥堵,5.845946010474241,0.6070471098585467,2,8,22
诺言,5.845946010474241,0.6070471098585467,2,8,22
决策者们,5.845946010474241,0.6070471098585467,2,8,22
午夜,5.845946010474241,0.6070471098585467,2,8,22
轰轰炸机,5.845946010474241,0.6070471098585467,2,8,22
事实力,5.845946010474241,0.6070471098585467,2,8,22
奢望,5.845946010474241,0.6070471098585467,2,8,22
一意孤行,5.322697866709693,0.5955807024089069,4,27,22
飞安,5.728162974817858,0.5948164373108586,2,9,22
小心翼翼,5.728162974817858,0.5948164373108586,2,9,22
不屑一顾,5.728162974817858,0.5948164373108586,2,9,22
小题大做,6.133628082926022,0.594154803944769,1,3,22
若干架,6.133628082926022,0.594154803944769,1,3,22
自食其果,6.133628082926022,0.594154803944769,1,3,22
决定性作用,5.622802459160032,0.5838757279015186,2,10,22
此意,5.622802459160032,0.5838757279015186,2,10,22
美国第七舰队,5.527492279355706,0.5739786523748802,2,11,22
何必,5.527492279355706,0.5739786523748802,2,11,22
应询,5.527492279355706,0.5739786523748802,2,11,22
诡计,5.845946010474241,0.5662874988122947,1,4,22
陈斌华,5.440480902366077,0.564943330318924,2,12,22
罔顾,5.440480902366077,0.564943330318924,2,12,22
溃退,5.440480902366077,0.564943330318924,2,12,22
共党,5.440480902366077,0.564943330318924,2,12,22
软弱,5.195358444333092,0.5632026015344026,3,23,22
真有,5.360438194692541,0.5566316397437093,2,13,22
土地改革,5.360438194692541,0.5566316397437093,2,13,22
助益,5.360438194692541,0.5566316397437093,2,13,22
北朝鲜,4.954973086584376,0.554434316060365,4,39,22
误入,5.622802459160032,0.5446719376484711,1,5,22
毫不畏惧,5.622802459160032,0.5446719376484711,1,5,22
正中,5.622802459160032,0.5446719376484711,1,5,22
自保,5.152798829914295,0.5350702233269893,2,16,22
指使,5.152798829914295,0.5350702233269893,2,16,22
复员,5.092174208097861,0.528774920326586,2,17,22
中美八一七公报,5.092174208097861,0.528774920326586,2,17,22
驻华大使,4.8651167574625145,0.5274027661287256,3,32,22
台湾东北,5.440480902366077,0.5270107382136107,1,6,22
公益,5.440480902366077,0.5270107382136107,1,6,22
多样性,5.440480902366077,0.5270107382136107,1,6,22
袖手旁观,5.035015794257912,0.5228395507793012,2,18,22
今年月日,5.035015794257912,0.5228395507793012,2,18,22
螳臂当车,5.035015794257912,0.5228395507793012,2,18,22
安全稳定,4.980948572987637,0.5172251728238092,2,19,22
直指,4.980948572987637,0.5172251728238092,2,19,22
既无,4.980948572987637,0.5172251728238092,2,19,22
绝不会,4.747333721806132,0.5146345013768199,3,36,22
分化瓦解,5.286330222538819,0.5120784068572848,1,7,22
财产损失,5.286330222538819,0.5120784068572848,1,7,22
禁忌,5.286330222538819,0.5120784068572848,1,7,22
给以,5.286330222538819,0.5120784068572848,1,7,22
要不要,5.286330222538819,0.5120784068572848,1,7,22
促统,5.286330222538819,0.5120784068572848,1,7,22
拘捕,5.286330222538819,0.5120784068572848,1,7,22
开城,5.286330222538819,0.5120784068572848,1,7,22
纯属,4.9296552786000865,0.5118988413699612,2,20,22
全线,4.9296552786000865,0.5118988413699612,2,20,22
坚信,4.880865114430654,0.5068324367032895,2,21,22
平壤,4.880865114430654,0.5068324367032895,2,21,22
屠杀,4.880865114430654,0.5068324367032895,2,21,22
金马外岛,5.152798829914295,0.4991434330811363,1,8,22
文协,5.152798829914295,0.4991434330811363,1,8,22
拨付,5.152798829914295,0.4991434330811363,1,8,22
流氓,5.152798829914295,0.4991434330811363,1,8,22
最有可能,4.789893336224927,0.4973858638236334,2,23,22
包装,4.789893336224927,0.4973858638236334,2,23,22
首要任务,4.747333721806132,0.4929664437873666,2,24,22
陆委会,4.706511727285876,0.48872745941293305,2,25,22
区内,4.706511727285876,0.48872745941293305,2,25,22
更容易,4.706511727285876,0.48872745941293305,2,25,22
象征性,4.706511727285876,0.48872745941293305,2,25,22
台湾局势,4.706511727285876,0.48872745941293305,2,25,22
麦克阿瑟,4.164187436460515,0.4880942432943669,6,129,22
监狱,5.035015794257912,0.48773397761492654,1,9,22
字眼,5.035015794257912,0.48773397761492654,1,9,22
叠加,5.035015794257912,0.48773397761492654,1,9,22
武警部队,5.035015794257912,0.48773397761492654,1,9,22
部属,4.667291014132595,0.4846547532121519,2,26,22
愈演愈烈,4.667291014132595,0.4846547532121519,2,26,22
核大战,4.9296552786000865,0.4775278719173128,1,10,22
太少,4.9296552786000865,0.4775278719173128,1,10,22
横行,4.9296552786000865,0.4775278719173128,1,10,22
理会,4.9296552786000865,0.4775278719173128,1,10,22
扣上,4.9296552786000865,0.4775278719173128,1,10,22
面子,4.5931830419788735,0.47695932971135485,2,28,22
束缚,4.5931830419788735,0.47695932971135485,2,28,22
无非,4.5931830419788735,0.47695932971135485,2,28,22
实上,4.5931830419788735,0.47695932971135485,2,28,22
严正,4.249086880247001,0.47544952054518075,4,79,22
要是,4.558091722167603,0.4733154225944594,2,29,22
定论,4.558091722167603,0.4733154225944594,2,29,22
手脚,4.558091722167603,0.4733154225944594,2,29,22
告诫,4.558091722167603,0.4733154225944594,2,29,22
再说,4.524190170491922,0.4697950618303385,2,30,22
扬言,4.524190170491922,0.4697950618303385,2,30,22
纠缠,4.834345098795762,0.46829532628038123,1,11,22
挑拨,4.834345098795762,0.46829532628038123,1,11,22
分界线,4.834345098795762,0.46829532628038123,1,11,22
三八线,4.070993659562567,0.46718683892504903,5,118,22
征兵制,4.491400347668931,0.46639014376544247,2,31,22
起初,4.491400347668931,0.46639014376544247,2,31,22
之举,4.152626614059439,0.46465614573240893,4,87,22
杜鲁门,3.955095638601955,0.4635860998901452,6,159,22
不管是,4.428879990687597,0.45989798630370016,2,33,22
溃败,4.428879990687597,0.45989798630370016,2,33,22
板门店,4.747333721806132,0.4598666724824523,1,12,22
用语,4.747333721806132,0.4598666724824523,1,12,22
懂得,4.747333721806132,0.4598666724824523,1,12,22
上次,4.747333721806132,0.4598666724824523,1,12,22
内部矛盾,4.747333721806132,0.4598666724824523,1,12,22
公报,4.236508098040141,0.45925847230817096,3,60,22
非但,4.399027027537916,0.4567980337950287,2,34,22
决不,4.399027027537916,0.4567980337950287,2,34,22
多半,4.399027027537916,0.4567980337950287,2,34,22
史慕德,4.667291014132595,0.45211306260555684,1,13,22
纯粹,4.314469639509853,0.44801753566390423,2,37,22
窜访,4.314469639509853,0.44801753566390423,2,37,22
约见,4.314469639509853,0.44801753566390423,2,37,22
缓解,3.9838057444843864,0.44576601621526124,4,103,22
越过,3.9838057444843864,0.44576601621526124,4,103,22
不当,4.287801392427691,0.4452482862922518,2,38,22
并重,4.287801392427691,0.4452482862922518,2,38,22
玩弄,4.5931830419788735,0.4449343411261264,1,14,22
开打,4.5931830419788735,0.4449343411261264,1,14,22
奋起,4.5931830419788735,0.4449343411261264,1,14,22
俄国,4.261825906024431,0.44255097367252916,2,39,22
很小,4.261825906024431,0.44255097367252916,2,39,22
总价,4.261825906024431,0.44255097367252916,2,39,22
灌输,4.261825906024431,0.44255097367252916,2,39,22
政务院,4.524190170491922,0.43825111131862865,1,15,22
故而,4.187717933870709,0.4348555501717321,2,42,22
自行榴弹炮,4.164187436460515,0.4324121269138369,2,43,22
野蛮,4.459651649354351,0.431999367349978,1,16,22
艾奇逊,4.118725062383757,0.4276912822907158,2,45,22
谈判桌,4.399027027537916,0.4261267565880314,1,17,22
反日,4.399027027537916,0.4261267565880314,1,17,22
正在进行,4.096746155664982,0.42540897729207605,2,46,22
释放,3.7822528257625443,0.42321334989623055,4,126,22
愈发,4.075239950444018,0.4231757579465639,2,47,22
回击,4.075239950444018,0.4231757579465639,2,47,22
伊始,4.054186541246186,0.4209895572558092,2,48,22
反华势力,4.03356725404345,0.4188484360957202,2,49,22
一场,3.4979779116323777,0.4175507103434166,7,293,22
东部战区,4.013364546725931,0.41675057288137574,2,50,22
反独,4.287801392427691,0.41535250609075924,1,19,22
赤裸裸,4.287801392427691,0.41535250609075924,1,19,22
谣言,4.287801392427691,0.41535250609075924,1,19,22
挑衅,3.5227416302774595,0.41290886555609174,6,245,22
事先,3.9741438335726498,0.41267786668059453,2,52,22
强力,3.9741438335726498,0.41267786668059453,2,52,22
警告,3.5841829120004505,0.41132048458326337,5,192,22
单边,4.236508098040141,0.4103838061861544,1,20,22
迎合,3.936403505589803,0.4087588847081212,2,54,22
当面,3.936403505589803,0.4087588847081212,2,54,22
恐惧,3.936403505589803,0.4087588847081212,2,54,22
多大,3.918054366921606,0.4068534973547373,2,55,22
共产党,3.634928111005686,0.4067285222215533,4,146,22
有限战争,4.187717933870709,0.4056575805274423,1,21,22
荒谬,4.187717933870709,0.4056575805274423,1,21,22
毅然,4.187717933870709,0.4056575805274423,1,21,22
进逼,4.187717933870709,0.4056575805274423,1,21,22
太过,4.187717933870709,0.4056575805274423,1,21,22
置之不理,4.187717933870709,0.4056575805274423,1,21,22
前述,3.8649445416076578,0.401338536062902,2,58,22
共同安全,4.141197918235816,0.40115126054922284,1,22,22
陈述,4.141197918235816,0.40115126054922284,1,22,22
所在地,4.141197918235816,0.40115126054922284,1,22,22
改观,4.141197918235816,0.40115126054922284,1,22,22
关联,3.8478501082483576,0.39956343818364687,2,59,22
其他地区,3.8310429899319765,0.3978181752987811,2,60,22
空对空导弹,4.096746155664982,0.396845288958152,1,23,22
进军,3.6580238258003352,0.3965479104551059,3,107,22
激化,3.814513687980766,0.39610176105898426,2,61,22
抛出,3.7982531671089856,0.3944132572338851,2,62,22
无需,3.7982531671089856,0.3944132572338851,2,62,22
就这样,4.054186541246186,0.3927226067512939,1,24,22
危及,3.766504468794405,0.39111645026387454,2,64,22
白宫,3.766504468794405,0.39111645026387454,2,64,22
模糊,3.6034648415499007,0.39063344618932727,3,113,22
中型,3.7510002822584396,0.38950648472356636,2,65,22
新闻媒体,4.013364546725931,0.3887682450223307,1,25,22
敏锐,4.013364546725931,0.3887682450223307,1,25,22
既定,3.720694932763111,0.386359556101333,2,67,22
屡屡,3.720694932763111,0.386359556101333,2,67,22
启用,3.7058798469779703,0.3848211472634713,2,68,22
插手,3.6912810475568176,0.38330519775245336,2,69,22
最强,3.676892310104718,0.38181106122276925,2,70,22
宣扬,3.676892310104718,0.38181106122276925,2,70,22
对照,3.936403505589803,0.38131315128508414,1,27,22
约束,3.6627076751127614,0.38033811883485846,2,71,22
大为,3.9000358614189277,0.37779027539496796,1,28,22
聂荣臻,3.9000358614189277,0.37779027539496796,1,28,22
三者,3.9000358614189277,0.37779027539496796,1,28,22
罪名,3.9000358614189277,0.37779027539496796,1,28,22
台独分裂势力,3.634928111005686,0.3774534695284646,2,73,22
图谋,3.471040255900569,0.37627796486037873,3,129,22
倾斜,3.621322458949907,0.3760406491323468,2,74,22
实兵演练,3.621322458949907,0.3760406491323468,2,74,22
破裂,3.8649445416076578,0.3743910350170476,1,29,22
台海形势,3.8649445416076578,0.3743910350170476,1,29,22
拉拢,3.594654211867746,0.3732713997606944,2,76,22
不成,3.581582130300393,0.37191398569613093,2,77,22
宣传,3.1717973610477124,0.3717738589931343,6,348,22
常规武器,3.8310429899319765,0.37110704558747026,1,30,22
中央人民政府,3.8310429899319765,0.37110704558747026,1,30,22
精心,3.5559396996870554,0.3692512578218596,2,79,22
近几年,3.5559396996870554,0.3692512578218596,2,79,22
等到,3.5433609174801957,0.3679450683068465,2,80,22
核弹,3.7982531671089856,0.3679307475649329,1,31,22
停止,3.1132031967816594,0.36490589862744677,6,369,22
展现了,3.766504468794405,0.36485530161881957,1,32,22
伎俩,3.766504468794405,0.36485530161881957,1,32,22
金门炮战,3.766504468794405,0.36485530161881957,1,32,22
世界和平,3.766504468794405,0.36485530161881957,1,32,22
此类,3.506546944357479,0.3641222796689571,2,83,22
阻止,3.1024214211783714,0.36364214124746447,6,373,22
规律,3.4945707533107635,0.3628786636401747,2,84,22
联合国大会,3.7357328101276517,0.3618744999505388,1,33,22
一下,3.471040255900569,0.3604352403822795,2,86,22
中美建交,3.459479433499493,0.35923475652327924,2,87,22
会晤,3.4367511824219372,0.35687463908393763,2,89,22
违背,3.4367511824219372,0.35687463908393763,2,89,22
掩盖,3.676892310104718,0.35617471423114433,1,35,22
那里,3.425577881823812,0.35571439575915836,2,90,22
研判,3.425577881823812,0.35571439575915836,2,90,22
而已,3.2746068549139333,0.3549836107461603,3,157,22
炒作,3.414528045637227,0.35456697306496,2,91,22
尊重,3.414528045637227,0.35456697306496,2,91,22
志愿,3.414528045637227,0.35456697306496,2,91,22
挫败,3.6487214331380216,0.3534458461526098,1,36,22
强行,3.4035989751050364,0.3534320907605187,2,92,22
不存在,3.392788059000821,0.3523094776942624,2,93,22
航路,3.382092769884073,0.3511988714150065,2,94,22
严重威胁,3.382092769884073,0.3511988714150065,2,94,22
参战,3.137895809372031,0.351113333319261,4,240,22
重地,3.621322458949907,0.35079175106941707,1,37,22
渐渐,3.621322458949907,0.35079175106941707,1,37,22
疑虑,3.371510660553536,0.3501000178036663,2,95,22
频繁,3.1213665074208206,0.3492637950751306,4,244,22
高涨,3.594654211867746,0.34820844035960086,1,38,22
敢于,3.594654211867746,0.34820844035960086,1,38,22
中国政府,3.2068886808589823,0.3476426250937635,3,168,22
国安,3.330267702019487,0.34581732023252,2,99,22
施压,3.330267702019487,0.34581732023252,2,99,22
口头,3.568678725464485,0.3456922362757144,1,39,22
这一切,3.568678725464485,0.3456922362757144,1,39,22
第七,3.3202173661659855,0.3447736863498183,2,100,22
策划,3.3202173661659855,0.3447736863498183,2,100,22
认定,3.3202173661659855,0.3447736863498183,2,100,22
电报,3.3102670353128176,0.3437404370560805,2,101,22
强国,3.3102670353128176,0.3437404370560805,2,101,22
拥护,3.5433609174801957,0.343239740454996,1,40,22
中国时报,3.5433609174801957,0.343239740454996,1,40,22
军演,3.300414738869806,0.3427173677238486,2,102,22
承担,3.054014325391329,0.3417274552552839,4,261,22
此项,3.2906585639244414,0.3417042797149537,2,103,22
有事,3.2906585639244414,0.3417042797149537,2,103,22
国家安全战略,3.518668304889824,0.3408478063184356,1,41,22
不难,3.518668304889824,0.3408478063184356,1,41,22
国防政策,3.518668304889824,0.3408478063184356,1,41,22
精准,3.2809966530127044,0.3407009801490371,2,104,22
斯大林,3.271427201996554,0.33970728168314657,2,105,22
信号,3.035038423932323,0.3396041559430156,4,266,22
关切,3.26194845804201,0.3387230023017795,2,106,22
筹码,3.26194845804201,0.3387230023017795,2,106,22
产量,3.4945707533107635,0.3385135147962839,1,42,22
暴力,3.4945707533107635,0.3385135147962839,1,42,22
介入,2.8255211243298786,0.3372801036367041,7,574,22
猜测,3.471040255900569,0.33623415291022585,1,43,22
不允许,3.471040255900569,0.33623415291022585,1,43,22
变得,3.0997440434076546,0.3360276154270351,3,187,22
阿富汗,3.2249071863616607,0.33487661082317993,2,110,22
全新,3.2249071863616607,0.33487661082317993,2,110,22
履行,3.1979997334417365,0.3320825221505461,2,113,22
刻意,3.1891891037595816,0.3311676202210717,2,114,22
可能会,2.9521080446015904,0.330324701273655,4,289,22
过于,3.180455423790827,0.3302607088034906,2,115,22
新华社,3.4035989751050364,0.3297012232269937,1,46,22
派出,2.934954965375341,0.32840536577314866,4,294,22
朝鲜问题,3.382092769884073,0.3276179513080087,1,47,22
国共两党,3.382092769884073,0.3276179513080087,1,47,22
颁布,3.154702927688412,0.3275865516520895,2,118,22
台岛,3.154702927688412,0.3275865516520895,2,118,22
面前,3.137895809372031,0.32584128876722374,2,120,22
派兵,3.137895809372031,0.32584128876722374,2,120,22
革新,3.3610393606862408,0.32557854102013556,1,48,22
主轴,3.3610393606862408,0.32557854102013556,1,48,22
周恩来,2.904801927204653,0.3250314061565826,4,303,22
警惕,3.1213665074208206,0.3241248745274269,2,122,22
快捷,3.340420073483505,0.32358118343995795,1,49,22
镇压,3.340420073483505,0.32358118343995795,1,49,22
总参谋长,3.340420073483505,0.32358118343995795,1,49,22
阻挠,3.1132031967816594,0.3232771906587251,2,123,22
防守,3.1132031967816594,0.3232771906587251,2,123,22
经常,2.9648766452403903,0.3214073211155172,3,214,22
促成,3.0812004656954857,0.319954004748586,2,127,22
震惊,3.300414738869806,0.3197059302581889,1,51,22
承诺,2.775570193924484,0.31852416720626825,5,431,22
表面,3.065575147792405,0.3183314608426568,2,129,22
进攻性,3.0578531016984947,0.317529598192009,2,130,22
次日,3.26194845804201,0.3159797627705735,1,53,22
后果,3.0425856295677063,0.31594421324058536,2,132,22
接到,3.0425856295677063,0.31594421324058536,2,132,22
地域,3.035038423932323,0.31516050614505986,2,133,22
军事部署,3.0275477522031657,0.3143826695697756,2,134,22
