Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
临机,5.93502564052793,0.664096822385596,4,7,46
乌龙,6.089176320355188,0.632304314830792,2,3,46
离散,5.801494247903407,0.6024312078388573,2,4,46
汉光号,5.801494247903407,0.6024312078388573,2,4,46
台外岛,5.801494247903407,0.6024312078388573,2,4,46
拐点,5.801494247903407,0.6024312078388573,2,4,46
适切性,5.801494247903407,0.6024312078388573,2,4,46
报告报告,5.801494247903407,0.6024312078388573,2,4,46
几百次,5.801494247903407,0.6024312078388573,2,4,46
暧昧,5.315986432121706,0.5948297296830107,4,13,46
贻误,5.578350696589197,0.5792598258818292,2,5,46
此法,5.578350696589197,0.5792598258818292,2,5,46
战国,5.578350696589197,0.5792598258818292,2,5,46
不绝于耳,5.578350696589197,0.5792598258818292,2,5,46
摊牌,5.172885588481033,0.5788175300231596,4,15,46
戴维森,5.801494247903407,0.561981527221224,1,2,46
菲利普,5.801494247903407,0.561981527221224,1,2,46
势必将,5.801494247903407,0.561981527221224,1,2,46
壁垒分明,5.801494247903407,0.561981527221224,1,2,46
填充,5.801494247903407,0.561981527221224,1,2,46
灾民,5.801494247903407,0.561981527221224,1,2,46
挺身而出,5.801494247903407,0.561981527221224,1,2,46
社会帝国主义,5.801494247903407,0.561981527221224,1,2,46
名目,5.801494247903407,0.561981527221224,1,2,46
定额,5.801494247903407,0.561981527221224,1,2,46
联合导弹,5.801494247903407,0.561981527221224,1,2,46
美国第二,5.801494247903407,0.561981527221224,1,2,46
授时,5.801494247903407,0.561981527221224,1,2,46
马汉式,5.801494247903407,0.561981527221224,1,2,46
休怀特,5.801494247903407,0.561981527221224,1,2,46
水上舰艇,5.801494247903407,0.561981527221224,1,2,46
帕帕罗,5.801494247903407,0.561981527221224,1,2,46
山雨欲来风满楼,5.801494247903407,0.561981527221224,1,2,46
性能参数,5.801494247903407,0.561981527221224,1,2,46
遏独,5.3960291397952425,0.5603274282992345,2,6,46
机制保障,5.3960291397952425,0.5603274282992345,2,6,46
流畅,5.3960291397952425,0.5603274282992345,2,6,46
以攻为守,5.3960291397952425,0.5603274282992345,2,6,46
满满,5.3960291397952425,0.5603274282992345,2,6,46
指参,5.3960291397952425,0.5603274282992345,2,6,46
何来,5.3960291397952425,0.5603274282992345,2,6,46
威慑能力,4.771874830722249,0.5476198943897834,5,28,46
传感,5.241878459967984,0.5443203142232228,2,7,46
战略预警,5.241878459967984,0.5443203142232228,2,7,46
帅化民,5.241878459967984,0.5443203142232228,2,7,46
渐行渐远,5.108347067343462,0.5304543213073,2,8,46
吹牛,5.108347067343462,0.5304543213073,2,8,46
夺台,5.108347067343462,0.5304543213073,2,8,46
外逃,5.108347067343462,0.5304543213073,2,8,46
重型直升机,5.3960291397952425,0.5227047666225398,1,3,46
迈克尔吉尔迪,5.3960291397952425,0.5227047666225398,1,3,46
作战潜艇,5.3960291397952425,0.5227047666225398,1,3,46
战战略,5.3960291397952425,0.5227047666225398,1,3,46
反潜潜艇,5.3960291397952425,0.5227047666225398,1,3,46
卸责,5.3960291397952425,0.5227047666225398,1,3,46
海马斯高机动火箭炮,5.3960291397952425,0.5227047666225398,1,3,46
几周后,5.3960291397952425,0.5227047666225398,1,3,46
单体,5.3960291397952425,0.5227047666225398,1,3,46
直趋,5.3960291397952425,0.5227047666225398,1,3,46
窗口期,5.3960291397952425,0.5227047666225398,1,3,46
接任者,5.3960291397952425,0.5227047666225398,1,3,46
美国卡托研究所,5.3960291397952425,0.5227047666225398,1,3,46
耸人听闻,5.3960291397952425,0.5227047666225398,1,3,46
阻遏,4.820664994891681,0.5225839747804616,3,16,46
评说,4.990564031687079,0.5182236487596119,2,9,46
军事战略指导,4.990564031687079,0.5182236487596119,2,9,46
数据链路,4.990564031687079,0.5182236487596119,2,9,46
意指,4.990564031687079,0.5182236487596119,2,9,46
顶层,4.885203516029252,0.5072829393502718,2,10,46
不堪一击,4.885203516029252,0.5072829393502718,2,10,46
憧憬,4.885203516029252,0.5072829393502718,2,10,46
研究项目,4.885203516029252,0.5072829393502718,2,10,46
等方,4.885203516029252,0.5072829393502718,2,10,46
争取时间,4.597521443577471,0.4983941080056541,3,20,46
看点,4.789893336224927,0.4973858638236334,2,11,46
胜仗,4.789893336224927,0.4973858638236334,2,11,46
成事,4.3198897069791915,0.49575012527170637,5,44,46
远程弹道导弹,5.108347067343462,0.4948374614900656,1,4,46
可以做到,5.108347067343462,0.4948374614900656,1,4,46
称竞争,5.108347067343462,0.4948374614900656,1,4,46
少于,5.108347067343462,0.4948374614900656,1,4,46
亿亿美元,5.108347067343462,0.4948374614900656,1,4,46
空海,5.108347067343462,0.4948374614900656,1,4,46
貌似,4.702881959235297,0.48835054176767717,2,12,46
强制性,4.702881959235297,0.48835054176767717,2,12,46
炮制,4.297416851127133,0.48085737925236394,4,36,46
长远目标,4.885203516029252,0.47322190032624195,1,5,46
合金,4.885203516029252,0.47322190032624195,1,5,46
手重,4.885203516029252,0.47322190032624195,1,5,46
台海大战,4.885203516029252,0.47322190032624195,1,5,46
阿奎利诺,4.885203516029252,0.47322190032624195,1,5,46
接入,4.548731279408039,0.4723434276916654,2,14,46
减缓,4.548731279408039,0.4723434276916654,2,14,46
情报系统,4.548731279408039,0.4723434276916654,2,14,46
分布式,4.297416851127133,0.4658612829828085,3,27,46
新世纪以来,4.479738407921087,0.46517915981064906,2,15,46
新闻稿,4.479738407921087,0.46517915981064906,2,15,46
复归,4.479738407921087,0.46517915981064906,2,15,46
收敛,4.479738407921087,0.46517915981064906,2,15,46
优势互补,4.415199886783516,0.45847743477574254,2,16,46
微调,4.415199886783516,0.45847743477574254,2,16,46
采办,4.225957887144988,0.4581147771644089,3,29,46
交融,4.702881959235297,0.45556070089138145,1,6,46
伯恩斯,4.702881959235297,0.45556070089138145,1,6,46
偏移,4.702881959235297,0.45556070089138145,1,6,46
弹出,4.702881959235297,0.45556070089138145,1,6,46
政治承诺,4.702881959235297,0.45556070089138145,1,6,46
禀赋,4.702881959235297,0.45556070089138145,1,6,46
制海,4.702881959235297,0.45556070089138145,1,6,46
广袤,4.702881959235297,0.45556070089138145,1,6,46
倾全力,4.702881959235297,0.45556070089138145,1,6,46
权变,4.702881959235297,0.45556070089138145,1,6,46
安全格局,4.702881959235297,0.45556070089138145,1,6,46
蜂群,4.354575264967082,0.4521821317753393,2,17,46
岸基型,4.354575264967082,0.4521821317753393,2,17,46
空中打击,4.159266512646316,0.45088510167233065,3,31,46
宙斯盾舰,4.297416851127133,0.44624676222805454,2,18,46
打靶,4.297416851127133,0.44624676222805454,2,18,46
交互,4.297416851127133,0.44624676222805454,2,18,46
击退,3.9689127841550973,0.44409957562517205,4,50,46
组网,4.243349629856858,0.44063238427256246,2,19,46
事力量,4.243349629856858,0.44063238427256246,2,19,46
信息共享,4.243349629856858,0.44063238427256246,2,19,46
阵位,4.243349629856858,0.44063238427256246,2,19,46
组织法,4.243349629856858,0.44063238427256246,2,19,46
栅栏,4.548731279408039,0.4406283695350556,1,7,46
量级,4.548731279408039,0.4406283695350556,1,7,46
策源地,4.548731279408039,0.4406283695350556,1,7,46
两栖登陆舰,4.548731279408039,0.4406283695350556,1,7,46
回升,4.548731279408039,0.4406283695350556,1,7,46
抱负,4.548731279408039,0.4406283695350556,1,7,46
液体燃料,4.548731279408039,0.4406283695350556,1,7,46
过低,4.548731279408039,0.4406283695350556,1,7,46
撤掉,4.548731279408039,0.4406283695350556,1,7,46
两栖战舰,4.548731279408039,0.4406283695350556,1,7,46
很长时间,4.548731279408039,0.4406283695350556,1,7,46
突发,3.9296920710018157,0.4397109929038219,4,52,46
评论员,4.192056335469307,0.43530605281871443,2,20,46
鱼叉反舰导弹系统,4.192056335469307,0.43530605281871443,2,20,46
立案,4.192056335469307,0.43530605281871443,2,20,46
武统,4.143266171299875,0.43023964815204274,2,21,46
离岸,4.143266171299875,0.43023964815204274,2,21,46
重在,4.143266171299875,0.43023964815204274,2,21,46
开发利用,4.415199886783516,0.4276933957589072,1,8,46
约翰,4.415199886783516,0.4276933957589072,1,8,46
屏蔽,4.415199886783516,0.4276933957589072,1,8,46
征询,4.415199886783516,0.4276933957589072,1,8,46
李洪兴,4.415199886783516,0.4276933957589072,1,8,46
驻沪,4.415199886783516,0.4276933957589072,1,8,46
导弹部队,4.052294393094148,0.42079307527238674,2,23,46
超视距,4.052294393094148,0.42079307527238674,2,23,46
封控,4.052294393094148,0.42079307527238674,2,23,46
弱小,4.0097347786753526,0.4163736552361199,2,24,46
人机,4.0097347786753526,0.4163736552361199,2,24,46
泡沫,4.297416851127133,0.41628394029269744,1,9,46
英国公司,4.297416851127133,0.41628394029269744,1,9,46
至年,4.297416851127133,0.41628394029269744,1,9,46
迫近,4.297416851127133,0.41628394029269744,1,9,46
现役军官,4.297416851127133,0.41628394029269744,1,9,46
险境,4.297416851127133,0.41628394029269744,1,9,46
潜水艇,4.297416851127133,0.41628394029269744,1,9,46
存活率,4.297416851127133,0.41628394029269744,1,9,46
待在,4.297416851127133,0.41628394029269744,1,9,46
攻入,4.297416851127133,0.41628394029269744,1,9,46
武统台湾,4.297416851127133,0.41628394029269744,1,9,46
远距,3.9689127841550973,0.41213467086168637,2,25,46
有生力量,3.9689127841550973,0.41213467086168637,2,25,46
作战系统,3.9689127841550973,0.41213467086168637,2,25,46
分量,3.9689127841550973,0.41213467086168637,2,25,46
无形,3.9689127841550973,0.41213467086168637,2,25,46
慑止,3.9689127841550973,0.41213467086168637,2,25,46
外军,3.9296920710018157,0.4080619646609051,2,26,46
预备役部队,4.192056335469307,0.40607783459508356,1,10,46
甚或,4.192056335469307,0.40607783459508356,1,10,46
敦促,3.4889588240561933,0.4003925774538333,5,101,46
旺盛,3.8555840988480936,0.400366541160108,2,28,46
火箭军,3.8555840988480936,0.400366541160108,2,28,46
击溃,3.8555840988480936,0.400366541160108,2,28,46
诟病,3.8555840988480936,0.400366541160108,2,28,46
东北亚,3.5768706963790735,0.40023221590297997,4,74,46
无人武器,3.6614280844071363,0.39691694895826013,3,51,46
分界线,4.096746155664982,0.396845288958152,1,11,46
总体战略,4.096746155664982,0.396845288958152,1,11,46
呼之欲出,4.096746155664982,0.396845288958152,1,11,46
军事学院,4.096746155664982,0.396845288958152,1,11,46
此消彼长,4.096746155664982,0.396845288958152,1,11,46
微乎其微,4.096746155664982,0.396845288958152,1,11,46
坦克营,4.096746155664982,0.396845288958152,1,11,46
佳作,4.096746155664982,0.396845288958152,1,11,46
水雷战,4.096746155664982,0.396845288958152,1,11,46
顾忌,3.8204927790368237,0.3967226340432126,2,29,46
提法,3.8204927790368237,0.3967226340432126,2,29,46
支点,3.8204927790368237,0.3967226340432126,2,29,46
放心,3.8204927790368237,0.3967226340432126,2,29,46
变相,3.8204927790368237,0.3967226340432126,2,29,46
布林肯,3.8204927790368237,0.3967226340432126,2,29,46
