Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
空海一体战,7.766487955866206,0.7521274614291242,28,93,109
一体战,8.050592206970103,0.7395606188295233,16,40,109
美国联合部队,8.96688293884426,0.7306819887884448,4,4,109
全维,8.273735758284314,0.697236399344416,6,12,109
作战理念,7.902172201851831,0.6958804801660865,10,29,109
天基,7.580588577724368,0.6675612078122232,10,40,109
太空发射,8.561417830736094,0.6603442035640454,2,3,109
栅格,8.561417830736094,0.6603442035640454,2,3,109
黄水,8.561417830736094,0.6603442035640454,2,3,109
防空网,8.561417830736094,0.6603442035640454,2,3,109
天罗地网,8.561417830736094,0.6603442035640454,2,3,109
机动战,8.561417830736094,0.6603442035640454,2,3,109
迫敌,8.561417830736094,0.6603442035640454,2,3,109
多域战,8.561417830736094,0.6603442035640454,2,3,109
太空战场,8.561417830736094,0.6603442035640454,2,3,109
海上部队,8.561417830736094,0.6603442035640454,2,3,109
常规战,8.561417830736094,0.6603442035640454,2,3,109
制天权,7.9552820271657785,0.6482499361959632,4,11,109
利昂帕内塔,7.9552820271657785,0.6482499361959632,4,11,109
制权,8.119585078457055,0.6464834148829895,3,7,109
二炮,8.273735758284314,0.638155216556447,2,4,109
常规弹道导弹,8.273735758284314,0.638155216556447,2,4,109
侦察局,8.273735758284314,0.638155216556447,2,4,109
一口咬定,8.273735758284314,0.638155216556447,2,4,109
水面部队,8.273735758284314,0.638155216556447,2,4,109
陆海空战场,8.273735758284314,0.638155216556447,2,4,109
战略准备,8.273735758284314,0.638155216556447,2,4,109
置敌,8.273735758284314,0.638155216556447,2,4,109
联合作战,6.581461840271063,0.6228205281528595,22,239,109
友方,8.050592206970103,0.6209441011096536,2,5,109
罗伯特威拉德,8.050592206970103,0.6209441011096536,2,5,109
反导弹系统,8.050592206970103,0.6209441011096536,2,5,109
几百万个,8.050592206970103,0.6209441011096536,2,5,109
隐形飞机,8.050592206970103,0.6209441011096536,2,5,109
地空导弹系统,8.050592206970103,0.6209441011096536,2,5,109
制宜,8.050592206970103,0.6209441011096536,2,5,109
可以承受,8.050592206970103,0.6209441011096536,2,5,109
海天,8.050592206970103,0.6209441011096536,2,5,109
反舰武器,8.050592206970103,0.6209441011096536,2,5,109
机械化战争,8.050592206970103,0.6209441011096536,2,5,109
