Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
威慑能力,5.375760154416363,0.5405675837850717,41,136,1192
战斗航空旅,6.574842973448107,0.5357624686946117,4,4,1192
五味睦佳,6.574842973448107,0.5357624686946117,4,4,1192
次导弹发射,6.574842973448107,0.5357624686946117,4,4,1192
比亚松,6.574842973448107,0.52349065829382,3,3,1192
菲美盟国,6.574842973448107,0.52349065829382,3,3,1192
保持战略威慑,6.574842973448107,0.52349065829382,3,3,1192
棉兰老岛海区,6.574842973448107,0.52349065829382,3,3,1192
印太盟国,6.574842973448107,0.52349065829382,3,3,1192
台湾美,6.574842973448107,0.52349065829382,3,3,1192
克拉克运河,6.574842973448107,0.52349065829382,3,3,1192
投子,6.574842973448107,0.52349065829382,3,3,1192
中印日俄,6.574842973448107,0.52349065829382,3,3,1192
铀矿石,6.574842973448107,0.52349065829382,3,3,1192
私人诉讼案件,6.574842973448107,0.52349065829382,3,3,1192
利剑军演,6.574842973448107,0.52349065829382,3,3,1192
中国台湾国安会,6.574842973448107,0.52349065829382,3,3,1192
安东尼奥特里兰尼斯,6.574842973448107,0.52349065829382,3,3,1192
印马拉巴尔,6.574842973448107,0.52349065829382,3,3,1192
地区基建集团,6.574842973448107,0.52349065829382,3,3,1192
帕尔梅委员会,6.574842973448107,0.52349065829382,3,3,1192
黑料,6.574842973448107,0.52349065829382,3,3,1192
双边盟友,6.574842973448107,0.52349065829382,3,3,1192
月日岸田,6.574842973448107,0.52349065829382,3,3,1192
核威慑,5.137546057875844,0.5190997391857307,43,181,1192
上百位,6.351699422133898,0.5175792298844708,4,5,1192
私人诉讼,6.104839344202372,0.5066764272979613,5,8,1192
三策,6.104839344202372,0.5066764272979613,5,8,1192
战略进攻武器,6.169377865339943,0.5027224420100456,4,6,1192
医疗系统,6.2871609009963265,0.5005853390192315,3,4,1192
务委员会,6.2871609009963265,0.5005853390192315,3,4,1192
李大维,6.2871609009963265,0.5005853390192315,3,4,1192
敢于亮剑,6.2871609009963265,0.5005853390192315,3,4,1192
怀恨在心,6.2871609009963265,0.5005853390192315,3,4,1192
北村滋,5.987056308545988,0.4969009222702393,5,9,1192
美国盟友,5.748164400263639,0.4907792880019569,7,16,1192
美国印太司令部,6.015227185512685,0.4901612068431025,4,7,1192
损害赔偿制度,5.881695792888162,0.48815643504593986,5,10,1192
封锁战,6.064017349682117,0.48281859309948305,3,5,1192
内将,6.064017349682117,0.48281859309948305,3,5,1192
卡兰,6.064017349682117,0.48281859309948305,3,5,1192
台湾保证法,6.064017349682117,0.48281859309948305,3,5,1192
以己度人,6.064017349682117,0.48281859309948305,3,5,1192
独步天下,6.064017349682117,0.48281859309948305,3,5,1192
盎格鲁萨克逊,6.064017349682117,0.48281859309948305,3,5,1192
非对称竞争,6.064017349682117,0.48281859309948305,3,5,1192
伊申格尔,5.881695792888162,0.4792801700107925,4,8,1192
张仪,5.881695792888162,0.4792801700107925,4,8,1192
绵绵,6.169377865339943,0.4758455893074066,2,3,1192
这个世纪,6.169377865339943,0.4758455893074066,2,3,1192
美日中三国,6.169377865339943,0.4758455893074066,2,3,1192
希瓦汗国,6.169377865339943,0.4758455893074066,2,3,1192
阴魂未散,6.169377865339943,0.4758455893074066,2,3,1192
加特霍夫,6.169377865339943,0.4758455893074066,2,3,1192
康复训练,6.169377865339943,0.4758455893074066,2,3,1192
恶狼,6.169377865339943,0.4758455893074066,2,3,1192
常规战,6.169377865339943,0.4758455893074066,2,3,1192
造事,6.169377865339943,0.4758455893074066,2,3,1192
核导武器,6.169377865339943,0.4758455893074066,2,3,1192
府组织,6.169377865339943,0.4758455893074066,2,3,1192
朝外,6.169377865339943,0.4758455893074066,2,3,1192
辽宁号航空母舰,6.169377865339943,0.4758455893074066,2,3,1192
