Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
致盲,9.994669174943756,0.81443293057774,4,6,26
置敌,9.706987102491976,0.7487022352990813,2,4,26
友方,9.483843551177765,0.7314911198522878,2,5,26
国陆军,9.483843551177765,0.7314911198522878,2,5,26
夺控,9.483843551177765,0.7314911198522878,2,5,26
网电,9.483843551177765,0.7314911198522878,2,5,26
终止时间,9.706987102491976,0.7107060372354361,1,2,26
老辣,9.706987102491976,0.7107060372354361,1,2,26
美国参谋长,9.147371314556553,0.705538935820879,2,7,26
空天,9.01383992193203,0.6952396275921792,2,8,26
先声夺人,8.896056886275646,0.686154993900474,2,9,26
航行和飞越自由,8.695386190813496,0.6706772151968262,2,11,26
单兵,8.695386190813496,0.6706772151968262,2,11,26
混合战争,8.608374813823865,0.6639660068928754,2,12,26
等领域,8.608374813823865,0.6639660068928754,2,12,26
参联会,7.979766154401491,0.6502450677153946,4,45,26
慑止,7.9362810424617525,0.6467016080436759,4,47,26
火眼,8.79069637061782,0.6436189639623441,1,5,26
不降反增,8.320692741372085,0.641777019885277,2,16,26
信息化战争,8.26006811955565,0.637101028314579,2,17,26
战法,8.26006811955565,0.637101028314579,2,17,26
频繁不断,8.454224133996608,0.6189838380057622,1,7,26
灵活机动,8.00223901025355,0.6172146074899242,2,22,26
电磁,7.566920938995704,0.6166036602037922,4,68,26
邓福德,7.91522763326392,0.6105033991859734,2,24,26
小步,8.320692741372085,0.6092072136117378,1,8,26
战役,7.222080452703975,0.6086123025595873,6,144,26
环境监测,7.8744056387436645,0.6073547889916902,2,25,26
支撑性,7.797444597607536,0.6014187654942682,2,27,26
作战理念,7.725985633625392,0.5959071185227941,2,29,26
澳新美同盟,8.097549190057874,0.5928695521504949,1,10,26
多份,7.659294259126719,0.5907631968676901,2,31,26
藏南,8.00223901025355,0.5858913291981291,1,11,26
弄错,8.00223901025355,0.5858913291981291,1,11,26
败下阵来,8.00223901025355,0.5858913291981291,1,11,26
极速,8.00223901025355,0.5858913291981291,1,11,26
际研究中心,7.537933402122452,0.5814026049602814,2,35,26
跨域,7.537933402122452,0.5814026049602814,2,35,26
对敌,7.482363550967641,0.5771164890588639,2,37,26
条令,7.429719817482219,0.5730560653126631,2,39,26
天基,7.404402009497929,0.5711032967315814,2,40,26
窘迫,7.404402009497929,0.5711032967315814,2,40,26
一体战,7.404402009497929,0.5711032967315814,2,40,26
窥见,7.379709396907558,0.5691987496206617,2,41,26
常规战争,7.379709396907558,0.5691987496206617,2,41,26
可塑,7.3556118453284975,0.5673400997077711,2,42,26
分队,7.3556118453284975,0.5673400997077711,2,42,26
未来战争,7.309091829693604,0.5637519997830219,2,44,26
增效,7.286618973841546,0.5620186630398764,2,45,26
暴力极端主义,7.243133861901807,0.558664645962512,2,47,26
棋局,7.142037745030438,0.5508670783050645,2,52,26
袭击者,7.45569530388548,0.5458756263206522,1,19,26
竞争战略,6.950146737220333,0.5360664790084675,2,63,26
统筹考虑,6.934398380252194,0.5348518044714727,2,64,26
价值目标,6.918894193716229,0.5336559628582712,2,65,26
铜像,7.181258458183719,0.5257824788774028,1,25,26
冲绳岛,7.181258458183719,0.5257824788774028,1,25,26
联合部队,6.802822022463475,0.5247032885469346,2,73,26
实战能力,7.104297417047591,0.5201477050809764,1,27,26
情报交流,6.723833611144844,0.5186108935027711,2,79,26
作战指挥,6.711254828937984,0.5176406890246794,2,80,26
战略分析,7.067929772876717,0.5174850143820638,1,28,26
