Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
水上舰艇,6.617277355469938,0.6465386483205977,4,4,149
空海一体战,5.438622359128291,0.6305289883869141,20,65,149
致盲,6.211812247361774,0.6069228291769855,4,6,149
战力,5.332079111221415,0.5887718207578467,13,47,149
反舰弹道导弹,5.828819995105667,0.5821958381099748,5,11,149
反舰导弹,5.5186650668018284,0.5783683799892478,8,24,149
美国联合部队,6.211812247361774,0.5684268643474494,2,3,149
空海,6.211812247361774,0.5684268643474494,2,3,149
远程武器,6.211812247361774,0.5684268643474494,2,3,149
空中支援,6.211812247361774,0.5684268643474494,2,3,149
全维,6.211812247361774,0.5684268643474494,2,3,149
介入,3.8824697051981785,0.5667393009889169,118,1818,149
拒止,4.774224591854332,0.5502296952950191,19,120,149
第一岛链,4.685755943866724,0.5432451014281872,20,138,149
远程反舰导弹,5.924130174909992,0.542101822337013,2,4,149
音速导弹,5.3645143869745695,0.524137903602293,4,14,149
常规导弹,5.7009866235957825,0.5216825333884841,2,5,149
地对空导弹,5.413304551144002,0.5144449756230686,3,10,149
战域,5.924130174909992,0.5097681920174375,1,2,149
半永久性,5.924130174909992,0.5097681920174375,1,2,149
大喜,5.924130174909992,0.5097681920174375,1,2,149
兵棋,5.924130174909992,0.5097681920174375,1,2,149
无人水面舰艇,5.924130174909992,0.5097681920174375,1,2,149
纵向一体化,5.924130174909992,0.5097681920174375,1,2,149
第九大,5.924130174909992,0.5097681920174375,1,2,149
相乘,5.924130174909992,0.5097681920174375,1,2,149
自外而内,5.924130174909992,0.5097681920174375,1,2,149
争夺性,5.924130174909992,0.5097681920174375,1,2,149
准备活动,5.924130174909992,0.5097681920174375,1,2,149
保罗科尼什,5.924130174909992,0.5097681920174375,1,2,149
支援行动,5.924130174909992,0.5097681920174375,1,2,149
潜舰,5.924130174909992,0.5097681920174375,1,2,149
空间战,5.924130174909992,0.5097681920174375,1,2,149
陆海空战场,5.924130174909992,0.5097681920174375,1,2,149
海天,5.924130174909992,0.5097681920174375,1,2,149
登陆艇,5.924130174909992,0.5097681920174375,1,2,149
中美军事,5.924130174909992,0.5097681920174375,1,2,149
导弹防御系,5.924130174909992,0.5097681920174375,1,2,149
大跨度,5.924130174909992,0.5097681920174375,1,2,149
独立调查组,5.924130174909992,0.5097681920174375,1,2,149
进攻性导弹,5.924130174909992,0.5097681920174375,1,2,149
导航定位,5.924130174909992,0.5097681920174375,1,2,149
反舰武器,5.924130174909992,0.5097681920174375,1,2,149
烈性,5.924130174909992,0.5097681920174375,1,2,149
可以承受,5.924130174909992,0.5097681920174375,1,2,149
国陆军,5.924130174909992,0.5097681920174375,1,2,149
联合行,5.924130174909992,0.5097681920174375,1,2,149
苍龙,5.924130174909992,0.5097681920174375,1,2,149
爱德华马基,5.924130174909992,0.5097681920174375,1,2,149
两栖作战,5.924130174909992,0.5097681920174375,1,2,149
涂上,5.924130174909992,0.5097681920174375,1,2,149
森本,5.924130174909992,0.5097681920174375,1,2,149
水下舰艇,5.924130174909992,0.5097681920174375,1,2,149
一网打尽,5.924130174909992,0.5097681920174375,1,2,149
厚厚,5.924130174909992,0.5097681920174375,1,2,149
濒海作战团,5.924130174909992,0.5097681920174375,1,2,149
服务设施,5.924130174909992,0.5097681920174375,1,2,149
冈田充,5.924130174909992,0.5097681920174375,1,2,149
战化,5.924130174909992,0.5097681920174375,1,2,149
此波,5.924130174909992,0.5097681920174375,1,2,149
多道,5.924130174909992,0.5097681920174375,1,2,149
宗谷津,5.924130174909992,0.5097681920174375,1,2,149
日本国际大学,5.924130174909992,0.5097681920174375,1,2,149
框架报告,5.924130174909992,0.5097681920174375,1,2,149
火控,5.924130174909992,0.5097681920174375,1,2,149
集束,5.924130174909992,0.5097681920174375,1,2,149
火箭导弹,5.924130174909992,0.5097681920174375,1,2,149
电磁炮,5.924130174909992,0.5097681920174375,1,2,149
起算,5.924130174909992,0.5097681920174375,1,2,149
美中战争,5.924130174909992,0.5097681920174375,1,2,149
莱尔戈尔茨坦,5.924130174909992,0.5097681920174375,1,2,149
火器,5.924130174909992,0.5097681920174375,1,2,149
特别任务,5.924130174909992,0.5097681920174375,1,2,149
巡航导弹,4.505045990967111,0.5054368133893374,15,124,149
联合作战,4.577056526943383,0.5054017108277181,13,100,149
令人生畏,5.5186650668018284,0.5049987595227579,2,6,149
空防,5.5186650668018284,0.5049987595227579,2,6,149
精确制导,5.048661437556093,0.5042718216447847,5,24,149
第二岛链,4.804898599039147,0.5035640657840035,8,49,149
潜水艇,5.059132737423388,0.4943007019381481,4,19,149
激光武器,5.3645143869745695,0.49089282971001263,2,7,149
鱼鹰运输机,5.3645143869745695,0.49089282971001263,2,7,149
撒手锏,5.15094028667651,0.4895115959539311,3,13,149
武器系统,4.457793106116565,0.48792014336228967,12,104,149
一体战,4.912529263231512,0.4799768634542181,4,22,149
作战,3.6668977647733763,0.47927466687929277,53,1013,149
制天权,5.230982994350047,0.47867371751232146,2,8,149
中程弹道导弹,4.868077500660679,0.47563372035409424,4,23,149
机场跑道,5.5186650668018284,0.4748781391347636,1,3,149
金融集团,5.5186650668018284,0.4748781391347636,1,3,149
另一份,5.5186650668018284,0.4748781391347636,1,3,149
孙崎,5.5186650668018284,0.4748781391347636,1,3,149
智能武器,5.5186650668018284,0.4748781391347636,1,3,149
十项战略,5.5186650668018284,0.4748781391347636,1,3,149
俄称,5.5186650668018284,0.4748781391347636,1,3,149
迈克加拉格尔,5.5186650668018284,0.4748781391347636,1,3,149
空地一体战,5.5186650668018284,0.4748781391347636,1,3,149
美国空,5.5186650668018284,0.4748781391347636,1,3,149
陆基反舰导弹,5.5186650668018284,0.4748781391347636,1,3,149
柳宗元,5.5186650668018284,0.4748781391347636,1,3,149
军需品,5.5186650668018284,0.4748781391347636,1,3,149
不讲道理,5.5186650668018284,0.4748781391347636,1,3,149
型潜艇,5.5186650668018284,0.4748781391347636,1,3,149
歼歼,5.5186650668018284,0.4748781391347636,1,3,149
鸡肋,5.5186650668018284,0.4748781391347636,1,3,149
编辑委员,5.5186650668018284,0.4748781391347636,1,3,149
宇宙空间,5.5186650668018284,0.4748781391347636,1,3,149
新技术开发,5.5186650668018284,0.4748781391347636,1,3,149
安德鲁克,5.5186650668018284,0.4748781391347636,1,3,149
使用年限,5.5186650668018284,0.4748781391347636,1,3,149
无人能及,5.5186650668018284,0.4748781391347636,1,3,149
美国飞机,5.5186650668018284,0.4748781391347636,1,3,149
作战舰艇,5.5186650668018284,0.4748781391347636,1,3,149
帮衬,5.5186650668018284,0.4748781391347636,1,3,149
风灾,5.5186650668018284,0.4748781391347636,1,3,149
梅赫塔,5.5186650668018284,0.4748781391347636,1,3,149
沙漠盾牌,5.5186650668018284,0.4748781391347636,1,3,149
远遁,5.5186650668018284,0.4748781391347636,1,3,149
导弹部队,5.5186650668018284,0.4748781391347636,1,3,149
以攻代守,5.5186650668018284,0.4748781391347636,1,3,149
易如反掌,5.5186650668018284,0.4748781391347636,1,3,149
集成系统,5.5186650668018284,0.4748781391347636,1,3,149
欧亚大陆地区,5.5186650668018284,0.4748781391347636,1,3,149
残骸,5.5186650668018284,0.4748781391347636,1,3,149
科科斯群岛,5.5186650668018284,0.4748781391347636,1,3,149
美国波士顿学院,5.5186650668018284,0.4748781391347636,1,3,149
领有,5.5186650668018284,0.4748781391347636,1,3,149
战略红利,5.5186650668018284,0.4748781391347636,1,3,149
侦察飞机,5.5186650668018284,0.4748781391347636,1,3,149
传感器,4.825517886241883,0.4714754488927011,4,24,149
分布式,4.943300921898266,0.4697789119819645,3,16,149
军种,4.420052778133718,0.4690209261162724,9,81,149
政策储备,5.113199958693664,0.4678956967085027,2,9,149
作战能力,4.745475178568347,0.46365490560167655,4,26,149
下作,4.745475178568347,0.46365490560167655,4,26,149
射程,4.285133460234348,0.4598454408088801,10,103,149
