Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
性威慑,6.833731918633351,0.6825687334877982,5,5,120
拒止性威慑,6.651410361839396,0.6643580404740663,5,6,120
常规战,6.32290629486736,0.6008875621162991,3,5,120
布建,6.428266810525186,0.5882340612995033,2,3,120
戈兰施奈德,6.428266810525186,0.5882340612995033,2,3,120
武装力量委员会,6.428266810525186,0.5882340612995033,2,3,120
国威,5.22429400619925,0.5768701157735899,13,65,120
埃尔布里奇科尔比,6.1405847380734055,0.561909019289067,2,4,120
区域拒止,4.774224591854332,0.5502296952950191,19,149,120
岸基,5.735119629965241,0.5450281709366116,3,9,120
威慑,3.9159611865490715,0.5331786379155787,72,1332,120
成事,4.900893851145391,0.5313584906283756,11,76,120
惩罚,4.388284105585898,0.5294093336639629,28,323,120
丹尼罗伊,6.1405847380734055,0.5283939899084188,1,2,120
重器,6.1405847380734055,0.5283939899084188,1,2,120
初步性,6.1405847380734055,0.5283939899084188,1,2,120
两到三倍,6.1405847380734055,0.5283939899084188,1,2,120
火器,6.1405847380734055,0.5283939899084188,1,2,120
年度报告报告,6.1405847380734055,0.5283939899084188,1,2,120
最容易发生,6.1405847380734055,0.5283939899084188,1,2,120
潜地,6.1405847380734055,0.5283939899084188,1,2,120
战略委员会,6.1405847380734055,0.5283939899084188,1,2,120
框架报告,6.1405847380734055,0.5283939899084188,1,2,120
评估委员会,6.1405847380734055,0.5283939899084188,1,2,120
集束,6.1405847380734055,0.5283939899084188,1,2,120
火箭导弹,6.1405847380734055,0.5283939899084188,1,2,120
无人水面舰艇,6.1405847380734055,0.5283939899084188,1,2,120
大杀器,6.1405847380734055,0.5283939899084188,1,2,120
濒海地区,6.1405847380734055,0.5283939899084188,1,2,120
纵向一体化,6.1405847380734055,0.5283939899084188,1,2,120
争夺性,6.1405847380734055,0.5283939899084188,1,2,120
登陆艇,6.1405847380734055,0.5283939899084188,1,2,120
夺控,6.1405847380734055,0.5283939899084188,1,2,120
保罗科尼什,6.1405847380734055,0.5283939899084188,1,2,120
侦探,6.1405847380734055,0.5283939899084188,1,2,120
美苏海,6.1405847380734055,0.5283939899084188,1,2,120
美军航空母舰,6.1405847380734055,0.5283939899084188,1,2,120
烈性,6.1405847380734055,0.5283939899084188,1,2,120
六维,6.1405847380734055,0.5283939899084188,1,2,120
单兵,6.1405847380734055,0.5283939899084188,1,2,120
管辖能力,6.1405847380734055,0.5283939899084188,1,2,120
战派,6.1405847380734055,0.5283939899084188,1,2,120
战战略,6.1405847380734055,0.5283939899084188,1,2,120
避不开,6.1405847380734055,0.5283939899084188,1,2,120
堡垒区,6.1405847380734055,0.5283939899084188,1,2,120
均势性,6.1405847380734055,0.5283939899084188,1,2,120
水下舰艇,6.1405847380734055,0.5283939899084188,1,2,120
永暑岛,6.1405847380734055,0.5283939899084188,1,2,120
中程常规导弹,6.1405847380734055,0.5283939899084188,1,2,120
第一第二岛链,6.1405847380734055,0.5283939899084188,1,2,120
供给体系,6.1405847380734055,0.5283939899084188,1,2,120
军售额,6.1405847380734055,0.5283939899084188,1,2,120
美济岛,6.1405847380734055,0.5283939899084188,1,2,120
克里斯托弗皮尔逊,6.1405847380734055,0.5283939899084188,1,2,120
惹恼,6.1405847380734055,0.5283939899084188,1,2,120
破格,5.735119629965241,0.4935039370257449,1,3,120
高寒,5.735119629965241,0.4935039370257449,1,3,120
亘古不变,5.735119629965241,0.4935039370257449,1,3,120
转身亚洲战略,5.735119629965241,0.4935039370257449,1,3,120
迈克加拉格尔,5.735119629965241,0.4935039370257449,1,3,120
什么地方,5.735119629965241,0.4935039370257449,1,3,120
凤凰涅槃,5.735119629965241,0.4935039370257449,1,3,120
心理影响,5.735119629965241,0.4935039370257449,1,3,120
机库,5.735119629965241,0.4935039370257449,1,3,120
