Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
北部印度洋,8.020697731958402,0.7769522416427013,1,2,5
倒打一耙,8.020697731958402,0.7769522416427013,1,2,5
小马科斯,8.020697731958402,0.7769522416427013,1,2,5
东帝汶,8.020697731958402,0.7769522416427013,1,2,5
高压水枪,8.020697731958402,0.7769522416427013,1,2,5
擅闯,8.020697731958402,0.7769522416427013,1,2,5
仁爱,8.020697731958402,0.7769522416427013,1,2,5
巴布亚新几内亚,8.020697731958402,0.7769522416427013,1,2,5
路人皆知,7.327550551398456,0.709808175911543,1,4,5
司马昭之心,7.327550551398456,0.709808175911543,1,4,5
义举,7.1044070000842465,0.6881926147477193,1,5,5
最近几年,7.1044070000842465,0.6881926147477193,1,5,5
逼退,7.1044070000842465,0.6881926147477193,1,5,5
美菲,6.634403370838511,0.6426641101803846,1,8,5
中国力量,6.634403370838511,0.6426641101803846,1,8,5
实弹演习,6.634403370838511,0.6426641101803846,1,8,5
责无旁贷,6.634403370838511,0.6426641101803846,1,8,5
七国集团,6.516620335182128,0.6312546547141749,1,9,5
文莱,6.516620335182128,0.6312546547141749,1,9,5
漂浮,6.411259819524302,0.621048549016561,1,10,5
搅局,6.315949639719977,0.6118160033796295,1,11,5
纠集,6.228938262730347,0.6033873495817006,1,12,5
合法权益,6.005794711416137,0.5817717884178769,1,15,5
浮标,6.005794711416137,0.5817717884178769,1,15,5
实现祖国完全统一,5.880631568462131,0.5696474336872795,1,17,5
跟上,5.880631568462131,0.5696474336872795,1,17,5
严阵以待,5.8234731546221825,0.5641105889830165,1,18,5
黄岩岛,5.769405933351907,0.5588731831900074,1,19,5
直指,5.769405933351907,0.5588731831900074,1,19,5
很近,5.718112638964357,0.5539044832854026,1,20,5
海上自卫队,5.578350696589197,0.5403659660574003,1,23,5
执法,5.1874843879021855,0.5386719958532243,2,68,5
走出,5.535791082170402,0.5362432838505422,1,24,5
两周,5.455748374496865,0.5284896739736468,1,26,5
巴西,5.455748374496865,0.5284896739736468,1,26,5
维护国家主权和领土完整,5.381640402343143,0.5213109524942162,1,28,5
备用,5.248109009718621,0.508375978718068,1,32,5
吕宋岛,5.1874843879021855,0.5025033679561212,1,34,5
四处,5.1874843879021855,0.5025033679561212,1,34,5
国旗,5.158496851028934,0.49969539133039265,1,35,5
无效,5.130325974062237,0.4969665232518581,1,36,5
空识别区,5.102926999874123,0.4943124281686654,1,37,5
行列,5.000272845814039,0.4843684834176838,1,41,5
专属,4.952644796824785,0.47975483000947416,1,43,5
超级,4.9296552786000865,0.4775278719173128,1,44,5
相关国家,4.885203516029252,0.47322190032624195,1,46,5
回击,4.863697310808289,0.47113862840725695,1,47,5
作对,4.863697310808289,0.47113862840725695,1,47,5
保安,4.842643901610456,0.4690992181193838,1,48,5
悬挂,4.706511727285876,0.45591231075348904,1,55,5
自信,4.670793644683798,0.4524523568601651,1,57,5
印度尼西亚,4.653401901971928,0.4507676463851375,1,58,5
拆除,4.619500350296247,0.44748365695556014,1,60,5
即是,4.586710527473255,0.4443073589330227,1,62,5
急剧,4.53945764262271,0.4397300470786647,1,65,5
地点,4.214035242188082,0.4375883578173541,2,180,5
巡逻,4.214035242188082,0.4375883578173541,2,180,5
插手,4.479738407921087,0.4339451397275578,1,69,5
诉求,4.479738407921087,0.4339451397275578,1,69,5
海洋,3.842471685755599,0.42995151009826693,4,522,5
五个,4.409779819314178,0.427168362437507,1,74,5
某种程度,4.409779819314178,0.427168362437507,1,74,5
西北,4.383111572232016,0.42458505172769073,1,76,5
钓鱼岛,4.0694540133769745,0.42257494220723285,2,208,5
新西兰,4.3443970600513255,0.4208348384634456,1,79,5
马来西亚,4.331818277844466,0.4196163518230859,1,80,5
南沙群岛,4.331818277844466,0.4196163518230859,1,80,5
对策,4.319395757845909,0.41841300205448995,1,81,5
契机,4.283028113675034,0.4148901261643738,1,84,5
管控,4.27119365602803,0.41374374106113915,1,85,5
欧盟,4.25949761626484,0.4126107642783158,1,86,5
屏障,4.247936793863763,0.41149088578645343,1,87,5
渔民,4.247936793863763,0.41149088578645343,1,87,5
次数,4.236508098040141,0.4103838061861544,1,88,5
器材,4.192056335469307,0.40607783459508356,1,92,5
拿大,4.128877433847776,0.3999577948080479,1,98,5
起到,4.118725062383757,0.3989743507199445,1,99,5
远洋,4.108674726530256,0.39800079065926225,1,100,5
军演,4.088872099234076,0.3960825416262788,1,102,5
有事,4.079115924288711,0.3951374764652446,1,103,5
觉得,4.059884562360824,0.39327456500055014,1,105,5
为期,4.05040581840628,0.39235637413866337,1,106,5
一体化,4.031713685394128,0.3905456969220157,1,108,5
主流,4.022497030289204,0.3896528941904421,1,109,5
现状,3.7405654049658605,0.38842291978970633,2,289,5
刻意,3.977646464123852,0.38530829112900666,1,114,5
步伐,3.918054366921606,0.37953569938539916,1,121,5
多个,3.6544194542526593,0.3794774642017196,2,315,5
单方面,3.9098238677850907,0.37873842401514374,1,122,5
指责,3.86181464859873,0.37408784725575117,1,128,5
后果,3.8310429899319765,0.37110704558747026,1,132,5
印太地区,3.8310429899319765,0.37110704558747026,1,132,5
军事部署,3.816005112567436,0.36965035030753546,1,134,5
驻军,3.7793709793876555,0.36610166005066946,1,139,5
为其,3.758017854917086,0.36403321682067713,1,142,5
强硬,3.758017854917086,0.36403321682067713,1,142,5
菲律宾,3.4934890874400226,0.3627663427019571,2,370,5
增大,3.7440316129423463,0.3626783917895413,1,144,5
平衡,3.4907900304708575,0.36248607074434075,2,371,5
第一岛链,3.730238290810011,0.36134225459692315,1,146,5
南部,3.723412325739611,0.36068103420936376,1,147,5
借口,3.7032096184220915,0.3587240300605781,1,150,5
海域,3.303688064214775,0.35813615794949444,3,671,5
权利,3.6965650757034227,0.35808038376788837,1,151,5
为首,3.676892310104718,0.35617471423114433,1,154,5
巡航,3.6512498794913806,0.3536907727322873,1,158,5
警戒,3.6512498794913806,0.3536907727322873,1,158,5
渲染,3.6512498794913806,0.3536907727322873,1,158,5
北部,3.6324405475338843,0.3518687426400736,1,161,5
近海,3.6324405475338843,0.3518687426400736,1,161,5
的行为,3.601857124161804,0.34890617502561694,1,166,5
设立,3.338566504834182,0.34667907370320217,2,432,5
南海,3.183093947749008,0.34506315810723215,3,757,5
不要,3.520888061628137,0.34106283062571774,1,180,5
荷兰,3.504358759676926,0.33946166341645967,1,183,5
跟踪,3.488098238805146,0.33788653260318025,1,186,5
呼吁,3.488098238805146,0.33788653260318025,1,186,5
力度,3.488098238805146,0.33788653260318025,1,186,5
警告,3.4563495404905655,0.33481108665706705,1,192,5
中国台湾,3.40063893347656,0.3294144886989691,1,203,5
争议,3.390834933379939,0.32846479079154345,1,205,5
新加坡,3.390834933379939,0.32846479079154345,1,205,5
加剧,3.352552746808922,0.32475645622199306,1,213,5
无论是,3.352552746808922,0.32475645622199306,1,213,5
联盟,3.2801229089641075,0.31774029294593287,1,229,5
维护,2.9249046295218393,0.31707415652591747,3,980,5
支撑,3.2585237971606458,0.3156480213139618,1,234,5
海空,3.2415742388468725,0.3140061445387945,1,238,5
频繁,3.2166766872251453,0.31159435828398535,1,244,5
挑衅,3.21258670197362,0.3111981679130658,1,245,5
澳大利亚,3.1963920160536397,0.30962941442693287,1,249,5
正常,3.180455423790827,0.30808566206317006,1,253,5
出于,3.1686674680387847,0.3069437815245928,1,256,5
公开,2.947087638700758,0.30602763528225146,2,639,5
德国,3.1570168508188092,0.30581520475133855,1,259,5
还在,3.1493245051956538,0.305070059456611,1,261,5
船只,3.1455004087572505,0.3046996253124296,1,262,5
以此,3.0508844323824014,0.295534326058383,1,288,5
走向,3.0405216453468547,0.2945304993482885,1,291,5
予以,3.0370911102500657,0.29419818886576476,1,292,5
监视,3.0370911102500657,0.29419818886576476,1,292,5
士兵,3.03367230350128,0.29386701448967173,1,293,5
表现,3.0167514260129424,0.29222791598048065,1,298,5
编队,3.013401339127661,0.2919033983883457,1,299,5
海上,2.684763501839058,0.2910416682394026,3,1246,5
掩护,3.0034178951434773,0.29093631803673,1,302,5
亚太地区,2.974052000339113,0.28809169047955563,1,311,5
宣称,2.964451926610094,0.2871617465952503,1,314,5
安装,2.9517935297381706,0.28593554780882097,1,318,5
方向,2.745137352532981,0.28505697675519637,2,782,5
加快,2.9269475311516397,0.28352875541459577,1,326,5
改变,2.7149083505716645,0.28191797611412867,2,806,5
作业,2.9027039195416466,0.28118031528938736,1,334,5
但在,2.896733752555143,0.28060199470205704,1,336,5
加大,2.896733752555143,0.28060199470205704,1,336,5
北约,2.88489929490814,0.2794556095988225,1,340,5
法国,2.8703004954869873,0.2780414471014175,1,345,5
纳入,2.867406137460623,0.27776107523953564,1,346,5
宣传,2.861642432743873,0.2772027543241367,1,348,5
至于,2.8559117580348876,0.2766476329730938,1,350,5
军事力量,2.8277408810681917,0.27391876489455935,1,360,5
强化,2.624800037071501,0.2725610660115558,2,882,5
加入,2.773673659797916,0.2686813591015504,1,380,5
意见,2.7710455373916463,0.26842677706104706,1,381,5
干涉,2.7658099233377014,0.26791961144883597,1,383,5
干扰,2.7632023599306206,0.2676670209259087,1,384,5
更为,2.7273929072339094,0.2641982161567363,1,398,5
亚太,2.7273929072339094,0.2641982161567363,1,398,5
周边,2.7223803654103653,0.2637126591969455,1,400,5
领土,2.719883485211778,0.26347079038051124,1,401,5
自由,2.7124300345571974,0.2627487864617031,1,404,5
更是,2.7025777381141856,0.26179441016396204,1,408,5
派遣,2.6903973195573143,0.2606145123772396,1,413,5
军队,2.3984869109960125,0.26000786711696633,3,1659,5
观察,2.6831596522570837,0.2599134110490132,1,416,5
东海,2.680758690719546,0.25968083372082706,1,417,5
一方面,2.671212078835966,0.2587560686005201,1,421,5
当然,2.6641114572863893,0.25806824267634665,1,424,5
来说,2.629345499443176,0.25470051959515966,1,439,5
另一方面,2.609051680103362,0.2527346895695828,1,448,5
印度,2.602377573015669,0.2520881794234536,1,451,5
日益,2.600162732686116,0.25187363136087415,1,452,5
日本,2.2496460927670974,0.2517230610592457,4,2567,5
西方,2.5935474935673968,0.251232823661338,1,455,5
实力,2.586975728404162,0.2505962272147745,1,458,5
开放,2.5826184230352065,0.2501741419689432,1,460,5
立场,2.573960360292092,0.24933544919166242,1,464,5
现实,2.5589868185019298,0.24788498599656622,1,471,5
媒体,2.529696021580864,0.24504763305199062,1,485,5
反对,2.529696021580864,0.24504763305199062,1,485,5
上台,2.5276362886178534,0.24484810999348908,1,486,5
海防,2.5113093953304246,0.24326654978979448,1,494,5
局势,2.5032448354936943,0.2424853486957745,1,498,5
英国,2.4992368140961556,0.24209709803312185,1,500,5
总统,2.4992368140961556,0.24209709803312185,1,500,5
建设,2.3303382776343415,0.24198395159587044,2,1184,5
主张,2.4972388114334825,0.24190355469070332,1,501,5
增长,2.4755202874788393,0.2397997157934344,1,512,5
的同时,2.469678011854611,0.23923378383910426,1,515,5
这样,2.460016100942874,0.2382978498851896,1,520,5
积极,2.2897865899139482,0.23777303606800806,2,1233,5
大规模,2.4542634484534243,0.23774059958148339,1,523,5
韩国,2.4542634484534243,0.23774059958148339,1,523,5
并且,2.4447486288120857,0.23681891412515352,1,528,5
附近,2.4315781656223407,0.23554311228836664,1,535,5
以来,2.2594328218888386,0.23462107963188203,2,1271,5
领导人,2.418578911078701,0.2342838951610184,1,542,5
努力,2.4148956656624048,0.23392710503148778,1,544,5
主权,2.409396110096366,0.23339437182449416,1,547,5
讨论,2.3841240069956506,0.23094630336320685,1,561,5
一旦,2.3823430626246562,0.2307737861125228,1,562,5
紧张,2.359474871720997,0.22855858080511957,1,575,5
态度,2.3560026460102477,0.22822223181908227,1,577,5
配合,2.33711796461972,0.22639290274704704,1,588,5
之一,2.2728983718854265,0.22017205286593478,1,627,5
另外,2.2492566088283863,0.2178819128535062,1,642,5
迅速,2.2338003505916944,0.2163846896834374,1,652,5
推进,2.22312137801584,0.2153502345825811,1,659,5
原则,2.2035865719951975,0.21345792897089866,1,672,5
尽管,2.184426074256122,0.2116018820075468,1,685,5
形势,2.174258956900678,0.21061700950837733,1,692,5
只是,2.164194170284537,0.20964204962528535,1,699,5
沿海,2.1584880207076824,0.20908930398481312,1,703,5
演习,2.129053520132631,0.20623803069567054,1,724,5
支援,2.1153358839038314,0.20490922507623688,1,734,5
制造,2.1139744133055105,0.2047773415832234,1,735,5
报道,2.095105929001128,0.20294958149718026,1,749,5
中国,1.7493312997176014,0.20075309088924737,5,5292,5
正在,2.071358111151091,0.20064916812551173,1,767,5
对抗,2.070055179370675,0.20052295519475033,1,768,5
舰艇,2.0456166641009443,0.1981556350617922,1,787,5
需要,1.9075688024860642,0.19808327451719912,2,1807,5
特别是,2.043078591672473,0.19790977601951776,1,789,5
举行,2.016810664851863,0.1953652436971912,1,810,5
基地,1.9650853650266682,0.19035469611244718,1,853,5
参加,1.9639137187297775,0.19024120059781702,1,854,5
然而,1.9627434435815871,0.19012783790418222,1,855,5
太平洋,1.9615745363766053,0.1900146077210319,1,856,5
海军,1.7465636542221832,0.18933615540546908,3,3184,5
导致,1.951115405586468,0.18900144834455368,1,865,5
兵力,1.9384788215819557,0.1877773625359223,1,876,5
区域,1.9271279619132664,0.18667782280024314,1,886,5
造成,1.9170211942434918,0.18569879627920804,1,895,5
