Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
海警,5.829338274074581,0.7900069978311933,19,25,68
行政执法,5.59294949601035,0.6063034418422892,3,5,68
台海巡署,5.292844903560012,0.5922403195416253,4,9,68
武装袭击,5.698310011668177,0.5917164848021872,2,3,68
警械,5.698310011668177,0.5917164848021872,2,3,68
罂粟,5.698310011668177,0.5917164848021872,2,3,68
事权,5.698310011668177,0.5917164848021872,2,3,68
海上长城,5.698310011668177,0.5917164848021872,2,3,68
过去五年,5.698310011668177,0.5917164848021872,2,3,68
自由裁量权,5.698310011668177,0.5917164848021872,2,3,68
一般程序,5.698310011668177,0.5917164848021872,2,3,68
以习近平同志为核心的党中央,5.698310011668177,0.5917164848021872,2,3,68
操作规程,5.698310011668177,0.5917164848021872,2,3,68
社会安定,5.698310011668177,0.5917164848021872,2,3,68
警政署,5.410627939216395,0.5865388815713494,3,6,68
法治建设,5.1874843879021855,0.5804510556207626,4,10,68
渔政,5.256477259389137,0.5698281839674706,3,7,68
暂定,5.092174208097861,0.569786369167374,4,11,68
复合性,5.410627939216395,0.5618433778102525,2,4,68
分散化,5.410627939216395,0.5618433778102525,2,4,68
组队,5.410627939216395,0.5618433778102525,2,4,68
情报院,5.410627939216395,0.5618433778102525,2,4,68
人机交互,5.410627939216395,0.5618433778102525,2,4,68
中国海警局,5.410627939216395,0.5618433778102525,2,4,68
中国驻南联盟大使馆,5.410627939216395,0.5618433778102525,2,4,68
全面依法治国,5.410627939216395,0.5618433778102525,2,4,68
今非昔比,5.410627939216395,0.5618433778102525,2,4,68
高分,5.410627939216395,0.5618433778102525,2,4,68
台北总统府,5.410627939216395,0.5618433778102525,2,4,68
南界,5.410627939216395,0.5618433778102525,2,4,68
总体国家安全观,5.410627939216395,0.5618433778102525,2,4,68
频繁出现,5.410627939216395,0.5618433778102525,2,4,68
既具有,5.410627939216395,0.5618433778102525,2,4,68
险胜,5.410627939216395,0.5618433778102525,2,4,68
生发,5.410627939216395,0.5618433778102525,2,4,68
台湾海巡署,4.925120123434695,0.5510939331930832,4,13,68
联合行动,4.925120123434695,0.5510939331930832,4,13,68
渔业,4.417376166206112,0.5507471187456815,10,54,68
多维,4.8510121512809725,0.5428016575060738,4,14,68
维权,4.599697723000067,0.5391414324516629,6,27,68
专攻,5.1874843879021855,0.5386719958532243,2,5,68
成立时间,5.1874843879021855,0.5386719958532243,2,5,68
两个单位,5.1874843879021855,0.5386719958532243,2,5,68
重掌,5.1874843879021855,0.5386719958532243,2,5,68
祖权,5.1874843879021855,0.5386719958532243,2,5,68
中国海警,5.1874843879021855,0.5386719958532243,2,5,68
改扩建,5.1874843879021855,0.5386719958532243,2,5,68
国台湾,5.1874843879021855,0.5386719958532243,2,5,68
研修,5.1874843879021855,0.5386719958532243,2,5,68
大学毕业生,5.1874843879021855,0.5386719958532243,2,5,68
美国海岸警卫队,4.782019279794022,0.5350817335332321,4,15,68
停摆,4.782019279794022,0.5350817335332321,4,15,68
英阿马岛,5.410627939216395,0.5241189291199448,1,2,68
