Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
执法,5.829338274074581,0.7900069978311933,19,68,25
海警法,6.698941891976083,0.7495748617206219,4,6,25
以习近平同志为核心的党中央,6.698941891976083,0.6956227969516491,2,3,25
一般程序,6.698941891976083,0.6956227969516491,2,3,25
社会安定,6.698941891976083,0.6956227969516491,2,3,25
警械,6.698941891976083,0.6956227969516491,2,3,25
自由裁量权,6.698941891976083,0.6956227969516491,2,3,25
操作规程,6.698941891976083,0.6956227969516491,2,3,25
海巡,5.572930629119859,0.6760113929446657,8,37,25
总体国家安全观,6.411259819524302,0.6657496899597144,2,4,25
朱凤莲,6.411259819524302,0.6657496899597144,2,4,25
复合性,6.411259819524302,0.6657496899597144,2,4,25
中国海警局,6.411259819524302,0.6657496899597144,2,4,25
人机交互,6.411259819524302,0.6657496899597144,2,4,25
专攻,6.188116268210091,0.6425783080026862,2,5,25
大学毕业生,6.188116268210091,0.6425783080026862,2,5,25
英杰,6.188116268210091,0.6425783080026862,2,5,25
行政执法,6.188116268210091,0.6425783080026862,2,5,25
研修,6.188116268210091,0.6425783080026862,2,5,25
成立时间,6.188116268210091,0.6425783080026862,2,5,25
高素质,5.657488017147921,0.6330418843040279,4,17,25
法律体系,6.005794711416137,0.6236459104200917,2,6,25
通才,6.005794711416137,0.6236459104200917,2,6,25
包括但不限于,6.005794711416137,0.6236459104200917,2,6,25
百年未有之大变局,6.005794711416137,0.6236459104200917,2,6,25
成倍增加,6.005794711416137,0.6236459104200917,2,6,25
发力,6.005794711416137,0.6236459104200917,2,6,25
治理体系,6.005794711416137,0.6236459104200917,2,6,25
周遭,6.005794711416137,0.6236459104200917,2,6,25
里约米,6.411259819524302,0.621048549016561,1,2,25
毗连区,5.8516440315888785,0.6076387963440798,2,7,25
路程,5.8516440315888785,0.6076387963440798,2,7,25
海巡署,5.182594402607994,0.6074641287983618,6,41,25
本科,5.718112638964357,0.593772803428157,2,8,25
主要区别,5.718112638964357,0.593772803428157,2,8,25
三沙市,6.005794711416137,0.5817717884178769,1,3,25
核心力量,5.600329603307973,0.5815421308804689,2,9,25
维权,5.194864495199808,0.5812768491559662,4,27,25
法治建设,5.494969087650147,0.5706014214711289,2,10,25
应询,5.399658907845821,0.5607043459444905,2,11,25
规程,5.399658907845821,0.5607043459444905,2,11,25
日本海上保安厅,5.718112638964357,0.5539044832854026,1,4,25
法治,4.935353299714723,0.5522389695016162,4,35,25
迭代,5.312647530856192,0.5516690238885342,2,12,25
最前沿,5.232604823182656,0.5433573333133196,2,13,25
台湾海巡署,5.232604823182656,0.5433573333133196,2,13,25
必由之路,5.158496851028934,0.5356619098125225,2,14,25
候选,5.158496851028934,0.5356619098125225,2,14,25
武警,5.158496851028934,0.5356619098125225,2,14,25
多维,5.158496851028934,0.5356619098125225,2,14,25
量子,5.024965458404411,0.5217959168965997,2,16,25
大数据,4.964340836587977,0.5155006138961963,2,17,25
主权安全,4.964340836587977,0.5155006138961963,2,17,25
综合能力,5.312647530856192,0.5146277226867185,1,6,25
利剑,5.312647530856192,0.5146277226867185,1,6,25
深度参与,5.312647530856192,0.5146277226867185,1,6,25
专业化,4.578678355775992,0.5123289992267106,4,50,25
至关,4.214035242188082,0.5111737474541975,8,144,25
要重视,4.907182422748027,0.5095652443489115,2,18,25
交互,4.907182422748027,0.5095652443489115,2,18,25
培养,4.079115924288711,0.508573700269929,10,206,25
复合,4.53945764262271,0.5079404165053604,4,52,25
人才,4.0694540133769745,0.5073690780245053,10,208,25
息息相关,4.853115201477752,0.5039508663934195,2,19,25
平战,4.853115201477752,0.5039508663934195,2,19,25
重要任务,4.853115201477752,0.5039508663934195,2,19,25
首份,4.853115201477752,0.5039508663934195,2,19,25
谋划,4.483368175971666,0.5016643127733219,4,55,25
乌丘屿,5.158496851028934,0.49969539133039265,1,7,25
实务,4.8018219070902015,0.4986245349395715,2,20,25
队伍,4.251775570170929,0.49836065528884915,6,104,25
选拔,4.753031742920769,0.49355813027289974,2,21,25
资质,4.753031742920769,0.49355813027289974,2,21,25
发展利益,4.706511727285876,0.48872745941293305,2,22,25
异化,4.706511727285876,0.48872745941293305,2,22,25
重中之重,4.662059964715042,0.4841115573932437,2,23,25
密切合作,4.662059964715042,0.4841115573932437,2,23,25
预留,4.662059964715042,0.4841115573932437,2,23,25
更新换代,4.662059964715042,0.4841115573932437,2,23,25
要强化,4.619500350296247,0.47969213735697686,2,24,25
意涵,4.619500350296247,0.47969213735697686,2,24,25
海洋,3.6193281344413895,0.4793371424146434,16,522,25
肩负,4.578678355775992,0.47545315298254337,2,25,25
多变,4.578678355775992,0.47545315298254337,2,25,25
国际合作,4.578678355775992,0.47545315298254337,2,25,25
公务员,4.578678355775992,0.47545315298254337,2,25,25
保安厅,4.907182422748027,0.4753509620880344,1,9,25
领导体制,4.907182422748027,0.4753509620880344,1,9,25
全面提升,4.53945764262271,0.47138044678176216,2,26,25
保安,4.331818277844466,0.46959056811901123,3,48,25
网络空间,4.186636267999968,0.46846163950451847,4,74,25
救难,4.501717314639863,0.4674614648092888,2,27,25
出卖,4.501717314639863,0.4674614648092888,2,27,25
中华民族伟大复兴,4.501717314639863,0.4674614648092888,2,27,25
愈加,4.501717314639863,0.4674614648092888,2,27,25
细化,4.465349670468989,0.46368502328096506,2,28,25
长期性,4.465349670468989,0.46368502328096506,2,28,25
巡逻舰,4.465349670468989,0.46368502328096506,2,28,25
借由,4.465349670468989,0.46368502328096506,2,28,25
巡防舰,4.465349670468989,0.46368502328096506,2,28,25
前瞻性,4.430258350657718,0.4600411161640696,2,29,25
蓝图,4.430258350657718,0.4600411161640696,2,29,25
演进,4.396356798982037,0.45652075539994874,2,30,25
生态,4.363566976159046,0.45311583733505273,2,31,25
台湾东部,4.363566976159046,0.45311583733505273,2,31,25
素养,4.331818277844466,0.4498190303650422,2,32,25
层次,3.820992654078475,0.4478675723854996,6,160,25
东引岛,4.619500350296247,0.44748365695556014,1,12,25
海洋权益,3.9689127841550973,0.44409957562517205,4,92,25
二代,4.271193656028031,0.44352372736463896,2,34,25
海陆,4.271193656028031,0.44352372736463896,2,34,25
也应,4.271193656028031,0.44352372736463896,2,34,25
一流,4.242206119154778,0.4405136413239369,2,35,25
神经,4.242206119154778,0.4405136413239369,2,35,25
造舰,4.214035242188082,0.4375883578173541,2,36,25
脉络,4.214035242188082,0.4375883578173541,2,36,25
头等,4.214035242188082,0.4375883578173541,2,36,25
相较于,4.214035242188082,0.4375883578173541,2,36,25
海洋战略,4.214035242188082,0.4375883578173541,2,36,25
倚美谋独,4.186636267999968,0.4347432292335145,2,37,25
水文,4.186636267999968,0.4347432292335145,2,37,25
划归,4.186636267999968,0.4347432292335145,2,37,25
多元化,4.186636267999968,0.4347432292335145,2,37,25
平战结合,4.465349670468989,0.43255132559923426,1,14,25
兼具,4.159968020917806,0.43197397986186203,2,38,25
战略规划,4.159968020917806,0.43197397986186203,2,38,25
着眼,3.8367410110466142,0.4293102790244912,4,105,25
其三,4.133992534514546,0.4292766672421394,2,39,25
海陆空,4.133992534514546,0.4292766672421394,2,39,25
多层次,4.108674726530256,0.4266476484080141,2,40,25
卫士,4.396356798982037,0.4258680957917365,1,15,25
划入,4.396356798982037,0.4258680957917365,1,15,25
入伍,4.059884562360824,0.4215812437413423,2,42,25
救助,4.059884562360824,0.4215812437413423,2,42,25
专属,4.03635406495063,0.41913782048344717,2,43,25
和谐,4.013364546725931,0.41675057288137574,2,44,25
转换,3.686680316470881,0.41251931021178434,4,122,25
大事,3.9474065789341335,0.4099014515161742,2,47,25
不可或缺,3.9474065789341335,0.4099014515161742,2,47,25
作战能力,3.9474065789341335,0.4099014515161742,2,47,25
示意图,4.214035242188082,0.40820689635687607,1,18,25
换言之,3.8855311752160464,0.403476266450986,2,50,25
黄岩岛,4.159968020917806,0.4029694905638671,1,19,25
系统性,3.846310462062765,0.39940356025020474,2,52,25
衔接,3.8272622670920704,0.3974255824029471,2,53,25
专注,3.808570134079918,0.3954845782777314,2,54,25
渔业,3.808570134079918,0.3954845782777314,2,54,25
推向,3.808570134079918,0.3954845782777314,2,54,25
酝酿,3.790220995411721,0.39357919092434757,2,55,25
生成,3.790220995411721,0.39357919092434757,2,55,25
完备,3.754502912809642,0.38987020032223935,2,57,25
沱江,3.737111170097773,0.38806422963251225,2,58,25
学科,3.737111170097773,0.38806422963251225,2,58,25
细致,3.737111170097773,0.38806422963251225,2,58,25
困扰,3.737111170097773,0.38806422963251225,2,58,25
现阶段,3.737111170097773,0.38806422963251225,2,58,25
关联,3.7200167367384727,0.38628913175325713,2,59,25
复杂性,3.7200167367384727,0.38628913175325713,2,59,25
等级,3.7032096184220915,0.38454386886839137,2,60,25
有机,3.7032096184220915,0.38454386886839137,2,60,25
刑事,3.7032096184220915,0.38454386886839137,2,60,25
海上自卫队,3.9689127841550973,0.38446227343125994,1,23,25
叙事,3.9689127841550973,0.38446227343125994,1,23,25
一体化,3.520888061628137,0.38168171402751666,3,108,25
联合演习,3.6544194542526593,0.3794774642017196,2,63,25
数字,3.360802646281064,0.3760553859817572,4,169,25
注重,3.3490378047014775,0.37473896472562623,4,171,25
国际化,3.6078994386177667,0.374646793341753,2,66,25
马祖岛,3.846310462062765,0.3725859813475063,1,26,25
看着,3.846310462062765,0.3725859813475063,1,26,25
又称,3.5780464754680854,0.3715468408330815,2,68,25
属性,3.5634476760469327,0.3700308913220636,2,69,25
实弹射击,3.5634476760469327,0.3700308913220636,2,69,25
此种,3.549058938594833,0.3685367547923795,2,70,25
全局,3.549058938594833,0.3685367547923795,2,70,25
人工智能,3.5208880616281366,0.36561147128579674,2,72,25
海上,2.7493020229766296,0.36411248894176684,16,1246,25
协作,3.4934890874400226,0.3627663427019571,2,74,25
个别,3.4934890874400226,0.3627663427019571,2,74,25
前哨,3.737111170097773,0.3620080194901555,1,29,25
多种,3.073120573829283,0.3602077197347544,6,338,25
领域,2.8819624352348305,0.3593156769580875,10,682,25
法理,3.4537487587905082,0.35863967926574114,2,77,25
紧密,3.192383994656101,0.35721026244752163,4,200,25
国台办,3.428106328177171,0.3559769513914699,2,79,25
军警,3.6704197955991007,0.35554773203804074,1,31,25
巡查,3.6704197955991007,0.35554773203804074,1,31,25
短板,3.6704197955991007,0.35554773203804074,1,31,25
任内,3.4155275459703107,0.3546707618764567,2,80,25
灾难,3.4155275459703107,0.3546707618764567,2,80,25
飞弹,3.390834933379939,0.35210666376795813,2,82,25
备忘录,3.390834933379939,0.35210666376795813,2,82,25
处长,3.390834933379939,0.35210666376795813,2,82,25
场景,3.390834933379939,0.35210666376795813,2,82,25
任职,3.378713572847594,0.35084797323856737,2,83,25
活跃,3.378713572847594,0.35084797323856737,2,83,25
交流合作,3.3549029241538757,0.34837545887605337,2,85,25
置于,3.3432068843906846,0.3471609339518898,2,86,25
体系,2.861283301836799,0.3470813184677103,8,557,25
缺少,3.3316460619896087,0.34596045009288956,2,87,25
发展趋势,3.3316460619896087,0.34596045009288956,2,87,25
伙伴关系,3.2977445103139273,0.3424400893287687,2,90,25
输送,3.286694674127342,0.34129266663457025,2,91,25
办事处,3.286694674127342,0.34129266663457025,2,91,25
常态化,3.1404242557253896,0.34043755203753223,3,158,25
年年,3.275765603595152,0.34015778433012894,2,92,25
