Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
日本广播公司,9.851568331303083,0.8027721104530884,4,4,45
宣示活动,9.851568331303083,0.7843843589584253,3,3,45
公务船,8.935277599428927,0.7281065729591282,4,10,45
副发言人,9.158421150743138,0.7063912123269909,2,4,45
潜艇驱逐舰,9.158421150743138,0.7063912123269909,2,4,45
中日海空,9.158421150743138,0.7063912123269909,2,4,45
中国军舰,8.598805362807715,0.70068854991776,4,14,45
飞行速度,8.935277599428927,0.6891800968801974,2,5,45
巡航舰,8.752956042634972,0.6751175916276871,2,6,45
半月礁,9.158421150743138,0.670542273792337,1,2,45
第天,8.19334025469955,0.6676485232331937,4,21,45
巡航,6.958884433648539,0.6640044762418494,24,433,45
中华人民共和国渔业法,8.598805362807715,0.6632279128487887,2,7,45
海洋局,7.339262707326967,0.6568557928524366,12,148,45
喊话,8.17759189773141,0.6511019324856294,3,16,45
上岛,8.059808862075027,0.6417240174357026,3,18,45
坐滩,8.752956042634972,0.6408557709487499,1,3,45
公务飞机,8.242130418868982,0.6357174891732953,2,10,45
巡逻船,7.31588935614166,0.6318354345701355,8,101,45
保安厅,7.711502167806811,0.6283851120783935,4,34,45
电子信息系统,8.146820239064658,0.6283661922247359,2,11,45
编队,6.822038678165801,0.6267006223635417,16,331,45
飞入,8.059808862075027,0.6216549839207851,2,12,45
事发现场,8.465273970183192,0.6197928619804878,1,4,45
日本海上保安厅,7.836665310760818,0.6044438684739917,2,15,45
朝日新闻,6.913730036167994,0.5971030190930374,8,151,45
诉状,7.484444717171466,0.5959133788865258,3,32,45
军地,7.711502167806811,0.5947900053424886,2,17,45
林芳正,7.711502167806811,0.5947900053424886,2,17,45
中国海监,7.2488786458586985,0.5906874330317514,4,54,45
海上保安厅,7.654343753966863,0.5903813632214815,2,18,45
机动作战,7.548983238309037,0.5822548814663933,2,20,45
保安,6.532435902695231,0.5801279966027241,11,304,45
驶向,7.110728307377881,0.5794300133953609,4,62,45
总览,7.4536730585047115,0.5749035845178337,2,22,45
尖阁诸岛,7.033170073032007,0.5731100463226038,4,67,45
换防,7.772126789623247,0.5690434501686387,1,8,45
书面声明,7.366661681515082,0.568192376213883,2,24,45
海洋综合管理,7.366661681515082,0.568192376213883,2,24,45
偶发性,7.3258396869948275,0.5650437660195998,2,25,45
美国海岸警卫队,7.286618973841546,0.5620186630398764,2,26,45
不远处,7.2488786458586985,0.5591077425221779,2,27,45
公务,6.346010934316684,0.5588419264106455,10,333,45
有天,7.212511001687824,0.5563026974349844,2,28,45
无解,7.212511001687824,0.5563026974349844,2,28,45
领海,5.921705407746606,0.5553769017041759,20,1018,45
艘次,7.177419681876554,0.5535960955507038,2,29,45
领海基线,6.749226322690833,0.5499723979760893,4,89,45
驶入,6.608975979817566,0.5485176838817403,5,128,45
日语,6.347513564201219,0.548201837950165,8,266,45
舰船,6.3252078066869215,0.5462754053175239,8,272,45
及其附属岛屿,6.439321113454342,0.5426483511842776,6,182,45
民间人士,6.775793350075555,0.5394903780392065,3,65,45
拉塞尔,6.9893674503736145,0.539091581988191,2,35,45
拖走,7.286618973841546,0.5334965464633208,1,13,45
远海,6.5465148101938295,0.5334540992415331,4,109,45
巡逻舰,6.907129352136642,0.5327485378153024,2,38,45
日本防卫省,6.5934717932816005,0.5249738896344398,3,78,45
毗连,6.783515396169466,0.5232141638463674,2,43,45
坐下来,6.694567910152969,0.5163536229904216,2,47,45
两艘,6.032287377573551,0.5150377578019437,7,319,45
监测预警,6.652895213752402,0.5131393979567822,2,49,45
还曾,6.296220269813669,0.5130584150561615,4,140,45
联合演练,6.632692506434882,0.5115811583126977,2,50,45
仁爱,6.268049392846972,0.5107628623486792,4,144,45
透明性,6.254256070714637,0.5096388896018069,4,146,45
两手,6.220582855608049,0.506894969339795,4,151,45
依然在,6.207424771030538,0.505822760025442,4,153,45
毗连区,6.501664244028478,0.5014749171159988,2,57,45
常态化,5.691123967376458,0.5011713207381849,10,641,45
钓鱼岛,5.136348640171033,0.5007635658508548,30,3349,45
海域,5.09881274867471,0.4986982841842868,31,3593,45
九段,6.258832737742049,0.4983298435054795,3,109,45
军舰,5.5966005747481065,0.49701898764512825,11,775,45
悬挂,6.231681748676098,0.4961680748979459,3,112,45
装载,6.171057126859663,0.4913411271956716,3,119,45
三艘,6.3252078066869215,0.4878647899286845,2,68,45
美济礁,6.3252078066869215,0.4878647899286845,2,68,45
放任,5.970004533359645,0.48647616069731997,4,194,45
自古,5.632060626126976,0.4864118769438347,8,544,45
战略要求,6.296220269813669,0.48562897428128887,2,70,45
风险防控,6.296220269813669,0.48562897428128887,2,70,45
海洋法,6.632692506434882,0.4856187154343038,1,25,45
维权,5.612041759236484,0.4846829511980213,8,555,45
海警,6.200910090009344,0.4782776773327294,2,77,45
阻拦,6.188006685173436,0.4772824346336706,2,78,45
近海防御,6.175267659396006,0.4762998705306807,2,79,45
天数,6.113898713019714,0.4715664690287787,2,84,45
