Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
联合执法,5.82880798692603,0.5539251057635044,23,41,1410
查缉,6.027396215996284,0.5433375359461782,13,19,1410
执法行动,5.791700198610955,0.5431841488933541,20,37,1410
执法人员,5.569489048296696,0.5412034040755753,29,67,1410
执法合作,5.422386855800499,0.5351812347712858,34,91,1410
渔政,5.595955621484859,0.5339562133766499,24,54,1410
海监,5.5218476493311375,0.5309400339502877,26,63,1410
严格执法,5.713738657141243,0.524887609317365,16,32,1410
年月日日日月日日日日日月日日日日,6.406885837701188,0.5220761905513858,4,4,1410
韩海警,6.406885837701188,0.5220761905513858,4,4,1410
休渔令,6.406885837701188,0.5220761905513858,4,4,1410
内部调查,6.406885837701188,0.5220761905513858,4,4,1410
中国海监,5.462424228860336,0.5146574629306184,21,54,1410
执法不严,5.896060213935198,0.514445249269197,9,15,1410
日本福岛第一,6.406885837701188,0.5101178687211455,3,3,1410
安哥拉开发区,6.406885837701188,0.5101178687211455,3,3,1410
国委员会,6.406885837701188,0.5101178687211455,3,3,1410
中美大国,6.406885837701188,0.5101178687211455,3,3,1410
中美执法合作联合联络小组,6.406885837701188,0.5101178687211455,3,3,1410
得梅因纪事报,6.406885837701188,0.5101178687211455,3,3,1410
每公斤毫克,6.406885837701188,0.5101178687211455,3,3,1410
三海局势,6.406885837701188,0.5101178687211455,3,3,1410
偷渡贩卖,6.406885837701188,0.5101178687211455,3,3,1410
宣示活动,6.406885837701188,0.5101178687211455,3,3,1410
恐毒合流,6.406885837701188,0.5101178687211455,3,3,1410
联控,6.406885837701188,0.5101178687211455,3,3,1410
缅泰金四角,6.406885837701188,0.5101178687211455,3,3,1410
昂梭,6.406885837701188,0.5101178687211455,3,3,1410
四版,6.406885837701188,0.5101178687211455,3,3,1410
缉私警察,6.406885837701188,0.5101178687211455,3,3,1410
博彩法,6.406885837701188,0.5101178687211455,3,3,1410
十多条,6.406885837701188,0.5101178687211455,3,3,1410
创三优,6.406885837701188,0.5101178687211455,3,3,1410
抄牌,6.406885837701188,0.5101178687211455,3,3,1410
慢如牛步,6.406885837701188,0.5101178687211455,3,3,1410
十一游行,6.406885837701188,0.5101178687211455,3,3,1410
克鲁伦苏木,6.406885837701188,0.5101178687211455,3,3,1410
赤塔红石,6.406885837701188,0.5101178687211455,3,3,1410
诺边境口岸,6.406885837701188,0.5101178687211455,3,3,1410
法性,6.406885837701188,0.5101178687211455,3,3,1410
无法可循,6.406885837701188,0.5101178687211455,3,3,1410
第八十四次,6.406885837701188,0.5101178687211455,3,3,1410
澜湄执法中心,6.406885837701188,0.5101178687211455,3,3,1410
无形链接,6.406885837701188,0.5101178687211455,3,3,1410
陆琦,6.406885837701188,0.5101178687211455,3,3,1410
林优娜,6.406885837701188,0.5101178687211455,3,3,1410
