Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
拜登月,12.271936459953512,0.9465373922930979,2,4,2
西方媒体,10.522736605144253,0.8116211894123593,2,23,2
机敏,10.102882759583988,0.779237761954298,2,35,2
战略纵深,9.650897635840932,0.7443760413302453,2,55,2
海警,9.314425399219719,0.7184238572988364,2,77,2
核潜艇,8.667798234294667,0.6685493495166835,2,147,2
印澳,8.335220841934994,0.6428975757540808,2,205,2
胁迫,8.13277788194162,0.6272831018635477,2,251,2
国际争端,8.07850099508718,0.6230967126076518,2,265,2
军事化,8.059808862075027,0.6216549839207851,2,270,2
做准备,7.817589163700004,0.602972520691768,2,344,2
海事,7.8146864040420425,0.6027486301455558,2,345,2
四方,7.766586609247631,0.5990386814766473,2,362,2
虚拟,7.589805232829292,0.5854034916606764,2,432,2
领导权,7.362964819633756,0.5679072363733829,2,542,2
太空,7.228511343034265,0.5575368075873048,2,620,2
感知,7.196762644719684,0.5550880228979896,2,640,2
岛礁,7.054286996472929,0.5440988420953649,2,738,2
六个,7.0529329001252,0.5439944003204196,2,739,2
安全对话,7.042165635940584,0.5431639186603576,2,747,2
台海,6.971122213206888,0.5376843224846956,2,802,2
单边,6.938010665938108,0.535130420929806,2,829,2
级别,6.884006934715788,0.5309651002331027,2,875,2
口号,6.836033430452912,0.5272648923830764,2,918,2
军人,6.81875438284456,0.5259321553111489,2,934,2
挑衅,6.8112876814880225,0.5253562468508899,2,941,2
法治,6.710293752458433,0.517566560966103,2,1041,2
披露,6.70933359876009,0.5174925040818619,2,1042,2
封锁,6.628257909367016,0.5112391167809325,2,1130,2
船只,6.603781162940462,0.5093512194788226,2,1158,2
出资,6.591763850936444,0.508424321331674,2,1172,2
资源开发,6.557378912129352,0.505772202783079,2,1213,2
训练,6.516985698722911,0.5026566645785879,2,1263,2
首脑,6.470573656958447,0.49907689270427197,2,1323,2
元首,6.213397547181208,0.47924083788904415,2,1711,2
印太,6.1914313460548005,0.4775465795459844,2,1749,2
宣称,6.178366689908376,0.4765388994948045,2,1772,2
卫生,6.147253069059307,0.4741390984821951,2,1828,2
国际秩序,6.047378030678152,0.4664357129005499,2,2020,2
四国,6.032635748940948,0.46529863718658104,2,2050,2
新冠肺炎疫情,5.982684818535554,0.4614459099855542,2,2155,2
月底,5.979441822874249,0.46119577695508374,2,2162,2
气候变化,5.9271776770662745,0.4571646308971702,2,2278,2
危险,5.8638196153468005,0.45227780845342663,2,2427,2
动机,5.744344106217321,0.4430626338782206,2,2735,2
联合声明,5.692338085988874,0.4390513971079511,2,2881,2
美日,5.623599788150296,0.4337495957664014,2,3086,2
会晤,5.534672986011752,0.4268906502629058,2,3373,2
海域,5.471488033959884,0.4220171798091999,2,3593,2
人权,5.445120123476727,0.4199834165713938,2,3689,2
声明,5.411010768328173,0.41735255385624953,2,3817,2
尊重,5.391295473462947,0.41583190845110773,2,3893,2
