Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
韩海警,9.314425399219719,0.7590020881883708,4,4,77
海空基地,8.908960291111555,0.6871502365995329,2,3,77
疑遭,8.908960291111555,0.6871502365995329,2,3,77
疯狗,8.908960291111555,0.6871502365995329,2,3,77
越南造船厂,8.908960291111555,0.6871502365995329,2,3,77
凶器,8.467127538832514,0.6741548333642722,3,7,77
海上钻井平台,8.621278218659773,0.6649612495919343,2,4,77
拜登月,8.621278218659773,0.6649612495919343,2,4,77
河野克俊,8.621278218659773,0.6649612495919343,2,4,77
拉森号,8.621278218659773,0.6649612495919343,2,4,77
舰型,8.621278218659773,0.6649612495919343,2,4,77
动不动,8.621278218659773,0.6649612495919343,2,4,77
中国战机,8.621278218659773,0.6649612495919343,2,4,77
联合国维和行,8.621278218659773,0.6649612495919343,2,4,77
柏贝拉,8.621278218659773,0.6649612495919343,2,4,77
告状,8.398134667345563,0.6477501341451408,2,5,77
盘查,7.928131038099828,0.6460374908207324,4,16,77
中弹身亡,8.21581311055161,0.6336876288926307,2,6,77
橡皮,8.21581311055161,0.6336876288926307,2,6,77
半月礁,8.621278218659773,0.6312148572974714,1,2,77
应急演习,8.621278218659773,0.6312148572974714,1,2,77
官访,8.621278218659773,0.6312148572974714,1,2,77
中国驻韩大使馆,8.621278218659773,0.6312148572974714,1,2,77
猎捕,8.621278218659773,0.6312148572974714,1,2,77
邦特兰,8.06166243072435,0.6217979501137321,2,7,77
外交蓝皮书,8.06166243072435,0.6217979501137321,2,7,77
朱姆沃尔,8.06166243072435,0.6217979501137321,2,7,77
军用舰船,8.06166243072435,0.6217979501137321,2,7,77
刺死,8.06166243072435,0.6217979501137321,2,7,77
人命,7.928131038099828,0.6114986418850322,2,8,77
方舟号医院,7.928131038099828,0.6114986418850322,2,8,77
栽赃,7.928131038099828,0.6114986418850322,2,8,77
中国海警局,7.640448965648047,0.6083344765555412,3,16,77
巡逻舰,7.2862771519274325,0.6047308811078478,5,38,77
中韩渔业协定,7.810348002443445,0.6024140081933271,2,9,77
社会安,8.21581311055161,0.6015283544538843,1,3,77
国际反恐合,8.21581311055161,0.6015283544538843,1,3,77
中年男子,8.21581311055161,0.6015283544538843,1,3,77
红珊瑚,8.21581311055161,0.6015283544538843,1,3,77
溃疡,8.21581311055161,0.6015283544538843,1,3,77
权宁世,8.21581311055161,0.6015283544538843,1,3,77
切下,8.21581311055161,0.6015283544538843,1,3,77
辅助治疗,8.21581311055161,0.6015283544538843,1,3,77
马里尼日利亚,8.21581311055161,0.6015283544538843,1,3,77
入药,8.21581311055161,0.6015283544538843,1,3,77
缉私警察,8.21581311055161,0.6015283544538843,1,3,77
机关枪,7.522665929991663,0.5989565615056143,3,18,77
越界,7.080833177712624,0.596709246393747,6,56,77
持续发生,7.704987486785618,0.5942875264382388,2,10,77
