Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
海上民兵,8.037704722959287,0.7355095598974152,2,4,18
定量预测,8.037704722959287,0.6916401367995305,1,2,18
执法机构,8.037704722959287,0.6916401367995305,1,2,18
钻井船,8.037704722959287,0.6916401367995305,1,2,18
西卡佩拉,8.037704722959287,0.6916401367995305,1,2,18
地位权利,8.037704722959287,0.6916401367995305,1,2,18
天数,8.037704722959287,0.6916401367995305,1,2,18
巡回演讲,8.037704722959287,0.6916401367995305,1,2,18
格雷戈里波林,8.037704722959287,0.6916401367995305,1,2,18
活动时间,8.037704722959287,0.6916401367995305,1,2,18
驶过,8.037704722959287,0.6916401367995305,1,2,18
撞击事件,8.037704722959287,0.6916401367995305,1,2,18
简语,8.037704722959287,0.6916401367995305,1,2,18
随行,7.264514834725805,0.6903718646818329,3,13,18
日本大选,7.632239614851122,0.6567500839168566,1,3,18
占理,7.632239614851122,0.6567500839168566,1,3,18
坐滩,7.632239614851122,0.6567500839168566,1,3,18
印度斯坦时报,7.632239614851122,0.6567500839168566,1,3,18
武装团体,7.632239614851122,0.6567500839168566,1,3,18
落水,7.632239614851122,0.6567500839168566,1,3,18
同调,7.632239614851122,0.6567500839168566,1,3,18
动不动就,7.344557542399341,0.6319951974407502,1,4,18
千吨,7.344557542399341,0.6319951974407502,1,4,18
科考船,7.344557542399341,0.6319951974407502,1,4,18
海上保安厅,7.344557542399341,0.6319951974407502,1,4,18
护宪派,7.344557542399341,0.6319951974407502,1,4,18
换防,7.344557542399341,0.6319951974407502,1,4,18
刚过,7.344557542399341,0.6319951974407502,1,4,18
简氏,7.344557542399341,0.6319951974407502,1,4,18
存立,7.344557542399341,0.6319951974407502,1,4,18
研究协会,7.121413991085132,0.6127938157433057,1,5,18
他国,7.121413991085132,0.6127938157433057,1,5,18
队列,7.121413991085132,0.6127938157433057,1,5,18
打井,7.121413991085132,0.6127938157433057,1,5,18
将至,7.121413991085132,0.6127938157433057,1,5,18
海洋科考,7.121413991085132,0.6127938157433057,1,5,18
线下会议,7.121413991085132,0.6127938157433057,1,5,18
澳大利亚广播公司,6.939092434291177,0.5971051445580762,1,6,18
不吝,6.939092434291177,0.5971051445580762,1,6,18
驶离,6.939092434291177,0.5971051445580762,1,6,18
事演习,6.939092434291177,0.5971051445580762,1,6,18
历史新低,6.939092434291177,0.5971051445580762,1,6,18
西方媒体,6.939092434291177,0.5971051445580762,1,6,18
交通规则,6.939092434291177,0.5971051445580762,1,6,18
新加坡海峡时报,6.939092434291177,0.5971051445580762,1,6,18
分心,6.939092434291177,0.5971051445580762,1,6,18
国际海事组织,6.4795601049127365,0.5929277779364073,2,19,18
登岛,6.784941754463919,0.5838405620736115,1,7,18
执法活动,6.784941754463919,0.5838405620736115,1,7,18
辽宁号,6.784941754463919,0.5838405620736115,1,7,18
不无关联,6.784941754463919,0.5838405620736115,1,7,18
要领,6.784941754463919,0.5838405620736115,1,7,18
撞击,6.332956630720862,0.5795124733813279,2,22,18
代行,6.651410361839396,0.5723502580819697,1,8,18
大容量,6.651410361839396,0.5723502580819697,1,8,18
彭博,6.651410361839396,0.5723502580819697,1,8,18
电话会议,6.533627326183013,0.5622150916754024,1,9,18
分身,6.533627326183013,0.5622150916754024,1,9,18
疲惫,6.533627326183013,0.5622150916754024,1,9,18
刷新,6.428266810525186,0.5531488763845253,1,10,18
补给舰,6.428266810525186,0.5531488763845253,1,10,18
控制范围,6.428266810525186,0.5531488763845253,1,10,18
毫米,6.428266810525186,0.5531488763845253,1,10,18
保安,5.735119629965241,0.5450281709366116,3,60,18
杜撰,6.332956630720862,0.5449474870488418,1,11,18
狂妄,6.332956630720862,0.5449474870488418,1,11,18
倒地,6.332956630720862,0.5449474870488418,1,11,18
缝隙,6.332956630720862,0.5449474870488418,1,11,18
巡逻船,5.927491522612697,0.5424094105670728,2,33,18
船只,5.247416423620105,0.5423510480478592,7,228,18
驶往,6.245945253731231,0.5374602051992958,1,12,18
保安厅,6.245945253731231,0.5374602051992958,1,12,18
射击,6.245945253731231,0.5374602051992958,1,12,18
葛莱仪,6.245945253731231,0.5374602051992958,1,12,18
海警,5.840480145623068,0.5344472246195219,2,36,18
无中生有,6.165902546057695,0.530572573568963,1,13,18
渔船,5.389758445926782,0.5266043650903546,4,113,18
