Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
渔政,5.598987455640661,0.5867863450853802,8,12,275
执法合作,5.6477776198100935,0.5837307093558398,7,10,275
海监,5.552467440005768,0.5738798471917799,7,11,275
反海外,6.004452563748825,0.5706238072518645,3,3,275
海监执法船,6.004452563748825,0.5706238072518645,3,3,275
执法行动,5.39831676017851,0.5491974592541069,6,11,275
执法人员,5.598987455640661,0.5470470084711777,4,6,275
领海基点,5.716770491297044,0.5432843890921428,3,4,275
高级别对话机制,5.4166658988467065,0.5410289467488709,5,9,275
职能组织,5.444836775813402,0.5319857730386274,4,7,275
执法活动,5.444836775813402,0.5319857730386274,4,7,275
审批制,5.598987455640661,0.512348853473834,2,3,275
自贸园区,5.598987455640661,0.512348853473834,2,3,275
贸易便利化协定,5.598987455640661,0.512348853473834,2,3,275
机场跑道,5.598987455640661,0.512348853473834,2,3,275
民船,5.598987455640661,0.512348853473834,2,3,275
暂定,5.311305383188881,0.5047516433938378,3,6,275
多艘,5.311305383188881,0.5047516433938378,3,6,275
中国海警,4.905840275080716,0.49909539107736695,6,18,275
海岸警卫队,4.4918644773046426,0.49599474646472985,13,59,275
美国海岸警卫队,4.85177305381044,0.49359486528947616,6,19,275
抓捕,4.905840275080716,0.4900065181258885,5,15,275
搜查,4.992851652070345,0.4878247328905525,4,11,275
国公司,5.311305383188881,0.4860238114633977,2,4,275
执法者,5.311305383188881,0.4860238114633977,2,4,275
船体,5.311305383188881,0.4860238114633977,2,4,275
海上保安厅,5.311305383188881,0.4860238114633977,2,4,275
千吨,5.311305383188881,0.4860238114633977,2,4,275
海上民兵,5.311305383188881,0.4860238114633977,2,4,275
巡航,4.0585424146935125,0.4782785546918825,23,161,275
船旗国,5.0236233107371,0.47741222523411614,3,8,275
海警,4.500375166972551,0.47164933243070883,8,36,275
违法行为,4.82579756740718,0.47150277503801097,4,13,275
违禁,4.82579756740718,0.47150277503801097,4,13,275
滋扰,5.08816183187467,0.4656045225148687,2,5,275
澳大利,5.08816183187467,0.4656045225148687,2,5,275
护渔,4.682696723766506,0.45752115978283364,4,15,275
股比,5.311305383188881,0.45703495070174,1,2,275
卡尔文森号航空母舰,5.311305383188881,0.45703495070174,1,2,275
准入前国民待遇加负面清单管理制度,5.311305383188881,0.45703495070174,1,2,275
闹大,5.311305383188881,0.45703495070174,1,2,275
逃走,5.311305383188881,0.45703495070174,1,2,275
活动时间,5.311305383188881,0.45703495070174,1,2,275
海上联合作战,5.311305383188881,0.45703495070174,1,2,275
综合防御作战,5.311305383188881,0.45703495070174,1,2,275
关外,5.311305383188881,0.45703495070174,1,2,275
禁限,5.311305383188881,0.45703495070174,1,2,275
安检,5.311305383188881,0.45703495070174,1,2,275
禁止性,5.311305383188881,0.45703495070174,1,2,275
罗安达,5.311305383188881,0.45703495070174,1,2,275
质检,5.311305383188881,0.45703495070174,1,2,275
手榴弹,5.311305383188881,0.45703495070174,1,2,275
多型,5.311305383188881,0.45703495070174,1,2,275
擅入,5.311305383188881,0.45703495070174,1,2,275
行政执法,5.311305383188881,0.45703495070174,1,2,275
有关方,5.311305383188881,0.45703495070174,1,2,275
中资公司,5.311305383188881,0.45703495070174,1,2,275
休渔期,5.311305383188881,0.45703495070174,1,2,275
适航,5.311305383188881,0.45703495070174,1,2,275
监督管理,5.311305383188881,0.45703495070174,1,2,275
查处,5.311305383188881,0.45703495070174,1,2,275
常态化执法巡航,5.311305383188881,0.45703495070174,1,2,275
倨傲,5.311305383188881,0.45703495070174,1,2,275
调整空间,5.311305383188881,0.45703495070174,1,2,275
进一,5.311305383188881,0.45703495070174,1,2,275
常做,5.311305383188881,0.45703495070174,1,2,275
查获,5.311305383188881,0.45703495070174,1,2,275
硬件设施,5.311305383188881,0.45703495070174,1,2,275
经理人,5.311305383188881,0.45703495070174,1,2,275
探路者,5.311305383188881,0.45703495070174,1,2,275
补情,5.311305383188881,0.45703495070174,1,2,275
何波,5.311305383188881,0.45703495070174,1,2,275
导语,5.311305383188881,0.45703495070174,1,2,275
非对称战争,5.311305383188881,0.45703495070174,1,2,275
水面战舰,5.311305383188881,0.45703495070174,1,2,275
宏观叙事,5.311305383188881,0.45703495070174,1,2,275
居住场所,5.311305383188881,0.45703495070174,1,2,275
涅姆佐夫,5.311305383188881,0.45703495070174,1,2,275
管区,5.311305383188881,0.45703495070174,1,2,275
维安,5.311305383188881,0.45703495070174,1,2,275
胡伟,5.311305383188881,0.45703495070174,1,2,275
清关,5.311305383188881,0.45703495070174,1,2,275
认缴,5.311305383188881,0.45703495070174,1,2,275
万笔,5.311305383188881,0.45703495070174,1,2,275
法国兴业银行,5.311305383188881,0.45703495070174,1,2,275
商业惯例,5.311305383188881,0.45703495070174,1,2,275
强植,5.311305383188881,0.45703495070174,1,2,275
地位权利,5.311305383188881,0.45703495070174,1,2,275
乔治布什政府,5.311305383188881,0.45703495070174,1,2,275
做基础,5.311305383188881,0.45703495070174,1,2,275
行政管理机构,5.311305383188881,0.45703495070174,1,2,275
海保厅,5.311305383188881,0.45703495070174,1,2,275
