Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
活动时间,9.541782119735561,0.8210651819236587,1,2,4
武装团体,9.136317011627396,0.7861751290409847,1,3,4
海警船,8.848634939175616,0.7614202425648784,1,4,4
海上保安厅,8.848634939175616,0.7614202425648784,1,4,4
暗战,8.848634939175616,0.7614202425648784,1,4,4
德尔芬洛伦扎纳,8.848634939175616,0.7614202425648784,1,4,4
线下会议,8.625491387861405,0.7422188608674338,1,5,4
中国海警,8.037704722959287,0.7355095598974152,2,18,4
执法活动,8.289019151240193,0.7132656071977397,1,7,4
要领,8.289019151240193,0.7132656071977397,1,7,4
登岛,8.289019151240193,0.7132656071977397,1,7,4
代行,8.15548775861567,0.7017753032060979,1,8,4
电话会议,8.037704722959287,0.6916401367995305,1,9,4
补给舰,7.93234420730146,0.6825739215086535,1,10,4
声索方,7.93234420730146,0.6825739215086535,1,10,4
缝隙,7.837034027497135,0.67437253217297,1,11,4
海警,7.344557542399341,0.6720814550727237,2,36,4
射击,7.750022650507506,0.666885250323424,1,12,4
保安厅,7.750022650507506,0.666885250323424,1,12,4
查明,7.595871970680247,0.6536206678389592,1,14,4
任用,7.462340578055725,0.6421303638473176,1,16,4
警卫,7.462340578055725,0.6421303638473176,1,16,4
用到,7.401715956239291,0.6369136479847944,1,17,4
四方机制,7.344557542399341,0.6319951974407502,1,18,4
调用,7.290490321129066,0.6273427423426017,1,19,4
线下,7.290490321129066,0.6273427423426017,1,19,4
美国海岸警卫队,7.290490321129066,0.6273427423426017,1,19,4
船上,7.290490321129066,0.6273427423426017,1,19,4
国际海事组织,7.290490321129066,0.6273427423426017,1,19,4
暗指,7.290490321129066,0.6273427423426017,1,19,4
可由,7.2391970267415156,0.6229289821498731,1,20,4
维护国际法,7.190406862572083,0.6187306149562853,1,21,4
美版,7.099435084366356,0.6109025427277326,1,23,4
十项,7.056875469947561,0.6072403109646436,1,24,4
器材,7.056875469947561,0.6072403109646436,1,24,4
警备,7.016053475427306,0.6037276004524287,1,25,4
改装,7.016053475427306,0.6037276004524287,1,25,4
航空自卫队,6.939092434291177,0.5971051445580762,1,27,4
骚扰,6.76919339749578,0.5824854244885371,1,32,4
巡逻船,6.738421738829026,0.5798375399315158,1,33,4
印澳,6.191878032460956,0.566602735925971,2,114,4
灰色,5.958263181279451,0.5662342711535343,3,216,4
退役,6.54604984618157,0.5632840427910927,1,40,4
广岛,6.521357233591198,0.5611592568554812,1,41,4
护卫舰,6.406287903806411,0.5512576033689521,1,46,4
访印,6.363728289387615,0.5475953716058632,1,48,4
搅局,6.303103667571181,0.5423786557433401,1,51,4
正当权益,6.303103667571181,0.5423786557433401,1,51,4
指挥官,6.245945253731231,0.5374602051992958,1,54,4
捕鱼,6.060542030399869,0.521506358278086,1,65,4
领空,6.0154215951194,0.5176237692672336,1,68,4
中年,5.958263181279451,0.5127053187231894,1,72,4
海上自卫队,5.944469859147115,0.5115184108265509,1,73,4
美日印澳,5.891123878441823,0.5069280180882706,1,77,4
船只,5.498730851901011,0.5031746311012796,2,228,4
法律依据,5.8282100530312535,0.5015143174967008,1,82,4
具体化,5.792278043805189,0.4984223875697891,1,85,4
适用范围,5.769021181640922,0.4964211471804931,1,87,4
出动,5.746292930563366,0.4944653934888214,1,89,4
自发,5.724069793778656,0.4925531046083918,1,91,4
执法,5.311305383188881,0.4860238114633977,2,275,4
岸田文雄,5.639809450160916,0.4853025476900614,1,99,4
登上,5.619808783454247,0.48358150115577303,1,101,4
无人机,5.5621004658336,0.4786157316893227,1,107,4
舰船,5.53444893450309,0.4762363323991844,1,110,4
军官,5.516430429000412,0.4746858497626181,1,112,4
渔船,5.507541481583166,0.4739209606531555,1,113,4
渔民,5.44743755751346,0.4687490505496384,1,120,4
美菲,5.4391387546987655,0.4680349430635009,1,121,4
侵害,5.406615562993205,0.4652363400374235,1,125,4
相互间,5.382899036375889,0.4631955457709763,1,128,4
跨部门,5.375116895933834,0.4625258968020908,1,129,4
海洋权益,5.022714632800882,0.45961561868641887,2,367,4
地带,4.7612590462696085,0.45247884556497875,3,715,4
近海,5.258195557874932,0.4524648790069422,1,145,4
弥合,5.24449671351677,0.4512861008715859,1,147,4
开采,5.22429400619925,0.449547668852194,1,150,4
警察,5.172334267268539,0.44507656146758806,1,158,4
四方,5.153524935311043,0.4434580286430331,1,161,4
巡航,5.153524935311043,0.4434580286430331,1,161,4
熟悉,5.147332965063122,0.4429252129578416,1,162,4
军事化,5.141179099488744,0.44239567615916425,1,163,4
不合理,5.128983826394926,0.4413462795165105,1,165,4
巡逻,5.099130863245245,0.4387774482110088,1,170,4
舰艇,5.0816377057977276,0.4372721714899697,1,173,4
澄清,5.053145750003421,0.434820454130041,1,178,4
公报,5.0419724494052955,0.4338589976669645,1,180,4
七国集团,5.019993542686521,0.4319677246513914,1,184,4
公然,5.0145734752171816,0.43150133078210073,1,185,4
延长,5.009182626582305,0.4310374511776857,1,186,4
高官,4.926661602894302,0.42393656179699263,1,202,4
后勤,4.868953285273655,0.4189707923305423,1,214,4
互补,4.850434237506417,0.4173772383032909,1,218,4
低于,4.823283248440466,0.41504091040383767,1,224,4
海空,4.814394301023221,0.4142760212943751,1,226,4
海岸,4.814394301023221,0.4142760212943751,1,226,4
炒作,4.74599157413882,0.4083900037047205,1,242,4
事态,4.440392462370841,0.40632882375501517,2,657,4
莫迪,4.69366575513708,0.4038873953283349,1,255,4
着重,4.685853215400287,0.4032151305166066,1,257,4
韧性,4.674247669279978,0.4022164795605252,1,260,4
侵蚀,4.640217920693667,0.3992882381310709,1,269,4
门槛,4.607308186604869,0.396456373342334,1,278,4
原来,4.547953943955687,0.3913489729188959,1,295,4
训练,4.524502282920636,0.3893309701923057,1,302,4
多边合作,4.521196494786137,0.38904650891431874,1,303,4
指挥,4.508081552708309,0.3879179752538427,1,307,4
别是,4.466608304501734,0.3843492247147515,1,320,4
通信,4.4572769770728495,0.3835462690449569,1,323,4
高调,4.454185784503177,0.38328027359906114,1,324,4
定期,4.417818140332302,0.38015085752116373,1,336,4
指责,4.147018854919272,0.37948296410482685,2,881,4
胁迫,4.403046823011989,0.3788797936684512,1,341,4
感知,4.388490525237782,0.3776272321311893,1,346,4
军舰,4.3827268205210315,0.3771312684629323,1,348,4
附近,4.3827268205210315,0.3771312684629323,1,348,4
海上,3.8375830651941434,0.37494964084249643,4,2401,4
安全对话,4.357193518515867,0.37493414165864064,1,357,4
渲染,4.346051341962625,0.3739753634027642,1,361,4
修订,4.3350319467130145,0.3730271504115456,1,365,4
当下,4.329567452240936,0.3725569336227387,1,367,4
支援,4.321426294657236,0.37185639142332033,1,370,4
仍有,4.313350880651691,0.3711615064231842,1,373,4
高度重视,4.300035104675919,0.3700156911145964,1,378,4
自卫队,4.289508691688931,0.369109898979992,1,382,4
广阔,4.284286747707779,0.36866055352952204,1,384,4
着眼,4.253515089041025,0.3660126689725006,1,396,4
尽快,4.240967872988937,0.36493298782896083,1,401,4
日本政府,4.231042233188967,0.36407889190161674,1,405,4
现存,4.211481707334474,0.36239571924920166,1,413,4
侵犯,4.211481707334474,0.36239571924920166,1,413,4
单边,4.204244040034243,0.36177292189918925,1,416,4
提议,4.1970583803733685,0.36115459977836717,1,419,4
非法,4.194674589018092,0.36094947582371933,1,420,4
连续,4.192296466613125,0.3607448396791743,1,421,4
迄今,4.187557121249228,0.3603370215782602,1,423,4
认定,4.136855018129266,0.35597413307381615,1,445,4
自卫,4.132370705681938,0.3555882604172028,1,447,4
团队,4.132370705681938,0.3555882604172028,1,447,4
四国,4.0886000426266085,0.3518218185750536,1,467,4
履行,4.048720676395012,0.34839022071638726,1,486,4
军事同盟,4.040523909190834,0.34768489333925456,1,490,4
操作,4.030371537726816,0.34681128727505617,1,495,4
派遣,4.016329180603777,0.34560295005238817,1,502,4
海域,3.7664544779162643,0.3446585027579735,2,1289,4
同年,4.004447852717024,0.3445805682247153,1,508,4
第二次,4.000518574577135,0.3442424559695545,1,510,4
从事,3.975347836230583,0.34207652757165924,1,523,4
单方面,3.975347836230583,0.34207652757165924,1,523,4
协作,3.973437615974464,0.3419121541535259,1,524,4
各自,3.7306411267588606,0.3413813156683568,2,1336,4
邀请,3.947070740133722,0.33964329877229055,1,538,4
重申,3.8963352220923233,0.3352775349319602,1,566,4
美日,3.65013790790979,0.3340146744309806,2,1448,4
