Term,PMI,NPMI,CoocCount,TermFreq,InTermFreq
海上民兵,7.344557542399341,0.6720814550727237,2,4,36
救起,7.344557542399341,0.6720814550727237,2,4,36
警卫,6.651410361839396,0.6498736011442067,4,16,36
海岸警卫队,6.039608820733403,0.6329644446860189,8,59,36
环境移民,7.344557542399341,0.6319951974407502,1,2,36
西沙中建岛,7.344557542399341,0.6319951974407502,1,2,36
联合干预,7.344557542399341,0.6319951974407502,1,2,36
顿失,7.344557542399341,0.6319951974407502,1,2,36
签合同,7.344557542399341,0.6319951974407502,1,2,36
简语,7.344557542399341,0.6319951974407502,1,2,36
地位权利,7.344557542399341,0.6319951974407502,1,2,36
重伤,7.344557542399341,0.6319951974407502,1,2,36
木制,7.344557542399341,0.6319951974407502,1,2,36
下午时,7.344557542399341,0.6319951974407502,1,2,36
木质,7.344557542399341,0.6319951974407502,1,2,36
上美,7.344557542399341,0.6319951974407502,1,2,36
两栖部队,7.344557542399341,0.6319951974407502,1,2,36
缉私警察,7.344557542399341,0.6319951974407502,1,2,36
琼海,7.344557542399341,0.6319951974407502,1,2,36
选择题,7.344557542399341,0.6319951974407502,1,2,36
缉私,7.344557542399341,0.6319951974407502,1,2,36
琼海市,7.344557542399341,0.6319951974407502,1,2,36
合作行动,7.344557542399341,0.6319951974407502,1,2,36
配上,6.784941754463919,0.6208724624457232,2,7,36
监视系统,6.533627326183013,0.5978753294442134,2,9,36
廖内群岛,6.939092434291177,0.5971051445580762,1,3,36
一空,6.939092434291177,0.5971051445580762,1,3,36
英属印度,6.939092434291177,0.5971051445580762,1,3,36
竹岛争端,6.939092434291177,0.5971051445580762,1,3,36
登舰,6.939092434291177,0.5971051445580762,1,3,36
又具,6.939092434291177,0.5971051445580762,1,3,36
文气,6.939092434291177,0.5971051445580762,1,3,36
特遣舰队,6.939092434291177,0.5971051445580762,1,3,36
暗沙,6.939092434291177,0.5971051445580762,1,3,36
美日中,6.939092434291177,0.5971051445580762,1,3,36
菲越马,6.939092434291177,0.5971051445580762,1,3,36
达次,6.939092434291177,0.5971051445580762,1,3,36
暴民,6.939092434291177,0.5971051445580762,1,3,36
工细,6.939092434291177,0.5971051445580762,1,3,36
印度总统,6.939092434291177,0.5971051445580762,1,3,36
海监,6.332956630720862,0.5795124733813279,2,11,36
洗劫,6.332956630720862,0.5795124733813279,2,11,36
苏禄海,6.651410361839396,0.5723502580819697,1,4,36
逼退,6.651410361839396,0.5723502580819697,1,4,36
走人,6.651410361839396,0.5723502580819697,1,4,36
违法活动,6.651410361839396,0.5723502580819697,1,4,36
晚间,6.651410361839396,0.5723502580819697,1,4,36
生产工具,6.651410361839396,0.5723502580819697,1,4,36
殴打,6.651410361839396,0.5723502580819697,1,4,36
盘查,6.651410361839396,0.5723502580819697,1,4,36
德尔芬洛伦扎纳,6.651410361839396,0.5723502580819697,1,4,36
贵重,6.651410361839396,0.5723502580819697,1,4,36
渔政,6.245945253731231,0.571550287433777,2,12,36
排头兵,6.428266810525186,0.5531488763845253,1,5,36
侵渔,6.428266810525186,0.5531488763845253,1,5,36
九龙,6.428266810525186,0.5531488763845253,1,5,36
巡防,6.428266810525186,0.5531488763845253,1,5,36
访华团,6.428266810525186,0.5531488763845253,1,5,36
哨兵,6.428266810525186,0.5531488763845253,1,5,36
停办,6.428266810525186,0.5531488763845253,1,5,36
预报,6.428266810525186,0.5531488763845253,1,5,36
上照,6.428266810525186,0.5531488763845253,1,5,36
线下会议,6.428266810525186,0.5531488763845253,1,5,36
捕捞,5.804112501452193,0.5515848011344765,3,28,36
巡逻艇,5.769021181640922,0.5482499521537231,3,29,36
停靠,5.532178785968551,0.5405194919918815,4,49,36
遭袭击,6.245945253731231,0.5374602051992958,1,6,36
菲律宾南部,6.245945253731231,0.5374602051992958,1,6,36
不治,6.245945253731231,0.5374602051992958,1,6,36
驶离,6.245945253731231,0.5374602051992958,1,6,36
岂料,6.245945253731231,0.5374602051992958,1,6,36
信息网,6.245945253731231,0.5374602051992958,1,6,36
厉行,6.245945253731231,0.5374602051992958,1,6,36
演训,6.245945253731231,0.5374602051992958,1,6,36
非得,6.245945253731231,0.5374602051992958,1,6,36
破绽,6.245945253731231,0.5374602051992958,1,6,36
交通规则,6.245945253731231,0.5374602051992958,1,6,36
杀人,6.245945253731231,0.5374602051992958,1,6,36
冰川期,6.245945253731231,0.5374602051992958,1,6,36
准入权,6.245945253731231,0.5374602051992958,1,6,36
水陆机动团,6.245945253731231,0.5374602051992958,1,6,36
不菲,6.245945253731231,0.5374602051992958,1,6,36
中国海警,5.840480145623068,0.5344472246195219,2,18,36
国际海事组织,5.786412924352792,0.5294996731117159,2,19,36
美国海岸警卫队,5.786412924352792,0.5294996731117159,2,19,36
联合演练,5.786412924352792,0.5294996731117159,2,19,36
印太司令部,5.735119629965241,0.5248059564748118,2,20,36
阮晋勇,6.091794573903973,0.5241956227148311,1,7,36
万安滩,6.091794573903973,0.5241956227148311,1,7,36
综合保障,6.091794573903973,0.5241956227148311,1,7,36
致死,6.091794573903973,0.5241956227148311,1,7,36
发力点,6.091794573903973,0.5241956227148311,1,7,36
凌晨,6.091794573903973,0.5241956227148311,1,7,36
各邦,6.091794573903973,0.5241956227148311,1,7,36
首脑互访,6.091794573903973,0.5241956227148311,1,7,36
巡逻,4.981347827588861,0.522056337598171,8,170,36
海上意外相遇规则,5.686329465795809,0.5203412948067766,2,21,36
巡逻机,5.686329465795809,0.5203412948067766,2,21,36
大不一样,5.958263181279451,0.5127053187231894,1,8,36
专责,5.958263181279451,0.5127053187231894,1,8,36
穿行,5.958263181279451,0.5127053187231894,1,8,36
海洋科学,5.958263181279451,0.5127053187231894,1,8,36
登船,5.958263181279451,0.5127053187231894,1,8,36
通讯设备,5.958263181279451,0.5127053187231894,1,8,36
船只,4.805583671341066,0.5099304051779437,9,228,36
越界,5.552798073171286,0.5081221826090855,2,24,36
越南政府,5.552798073171286,0.5081221826090855,2,24,36
不息,5.840480145623068,0.5025701523166219,1,9,36
治海,5.840480145623068,0.5025701523166219,1,9,36
电话会议,5.840480145623068,0.5025701523166219,1,9,36
焚烧,5.840480145623068,0.5025701523166219,1,9,36
海南省,5.840480145623068,0.5025701523166219,1,9,36
监控系统,5.840480145623068,0.5025701523166219,1,9,36
信息发布,5.840480145623068,0.5025701523166219,1,9,36
皇家,5.47275536549775,0.5007976815577101,2,26,36
互派,5.398647393344028,0.4940162527963403,2,28,36
实战化,5.735119629965241,0.4935039370257449,1,10,36
福号,5.735119629965241,0.4935039370257449,1,10,36
焕然一新,5.735119629965241,0.4935039370257449,1,10,36
海岸,4.696611265366837,0.4922153122373955,8,226,36
渔船,4.9197548166810465,0.4913963342834852,5,113,36
渔民,4.8596508926113415,0.4853930172352932,5,120,36
搜查,5.639809450160916,0.4853025476900614,1,11,36
吹填,5.639809450160916,0.4853025476900614,1,11,36
专业能力,5.639809450160916,0.4853025476900614,1,11,36
蓝色经济,5.639809450160916,0.4853025476900614,1,11,36
站台,5.639809450160916,0.4853025476900614,1,11,36
护送,5.639809450160916,0.4853025476900614,1,11,36
唾弃,5.639809450160916,0.4853025476900614,1,11,36
应急计划,5.639809450160916,0.4853025476900614,1,11,36
缝隙,5.639809450160916,0.4853025476900614,1,11,36
外交议题,5.639809450160916,0.4853025476900614,1,11,36
东经,5.639809450160916,0.4853025476900614,1,11,36
阻截,5.639809450160916,0.4853025476900614,1,11,36
美国军机,5.639809450160916,0.4853025476900614,1,11,36
驱逐舰,5.075874001080977,0.4823777882956963,3,58,36
厘定,5.552798073171286,0.4778152658405154,1,12,36
渔场,5.552798073171286,0.4778152658405154,1,12,36
礼乐滩,5.552798073171286,0.4778152658405154,1,12,36
以点带面,5.552798073171286,0.4778152658405154,1,12,36
择机,5.552798073171286,0.4778152658405154,1,12,36
培训中心,5.552798073171286,0.4778152658405154,1,12,36
跨边界,5.552798073171286,0.4778152658405154,1,12,36
棉兰老岛,5.552798073171286,0.4778152658405154,1,12,36
仁爱,5.204491378903071,0.4762495383355573,2,34,36
船员,5.175503842029818,0.47359696384781147,2,35,36
作业,4.839031605408605,0.4727958018497393,4,98,36
执法,4.500375166972551,0.47164933243070883,8,275,36
懈怠,5.47275536549775,0.47092763421018263,1,13,36
随行,5.47275536549775,0.47092763421018263,1,13,36
打死,5.47275536549775,0.47092763421018263,1,13,36
日本陆上自卫队,5.47275536549775,0.47092763421018263,1,13,36
强盗,5.47275536549775,0.47092763421018263,1,13,36
原为,5.47275536549775,0.47092763421018263,1,13,36
央地,5.47275536549775,0.47092763421018263,1,13,36
奔走,5.47275536549775,0.47092763421018263,1,13,36
近海,4.670408892972813,0.4664910946029812,5,145,36
油轮,5.093265743792847,0.46607156828702434,2,38,36
一艘,4.770038733921654,0.46605487873608775,4,105,36
残忍,5.398647393344028,0.46455068335605065,1,14,36
农业部,5.398647393344028,0.46455068335605065,1,14,36
扫描,5.398647393344028,0.46455068335605065,1,14,36
