word,similarity,source
威慑能力,0.6526211500167847,CNKI
拒止,0.6381790637969971,CNKI
核力量,0.5959541201591492,CNKI
战略安全,0.5939843058586121,CNKI
近海防御,0.5905652642250061,CNKI
战略威慑,0.5890364646911621,CNKI
蓝水,0.5805047154426575,CNKI
有限性,0.567941427230835,CNKI
保护伞,0.5643856525421143,CNKI
均势,0.562601625919342,CNKI
应对能力,0.5553576946258545,CNKI
威慑力,0.5550965070724487,CNKI
军事竞争,0.5550870299339294,CNKI
作战能力,0.5517104864120483,CNKI
阻遏,0.5480751395225525,CNKI
投射,0.5472987294197083,CNKI
核威慑,0.5460981130599976,CNKI
相应地,0.54517662525177,CNKI
遏华,0.5411719679832458,CNKI
中国潜艇,0.5398212671279907,CNKI
