word,similarity,source
虚张声势,0.7680807709693909,CNKI
袖手旁观,0.6993690133094788,CNKI
示弱,0.688628613948822,CNKI
驳斥,0.6859049797058105,CNKI
混淆视听,0.6704184412956238,CNKI
北韩,0.6694113612174988,CNKI
无情,0.6638919115066528,CNKI
软弱,0.6613215804100037,CNKI
公开场合,0.6602706909179688,CNKI
置之不理,0.6557164192199707,CNKI
此意,0.6549439430236816,CNKI
谴责,0.6516494154930115,CNKI
歪曲,0.6515500545501709,CNKI
保台,0.6480904221534729,CNKI
指使,0.647034764289856,CNKI
凡此种种,0.6467943787574768,CNKI
潘尼迦,0.6430197358131409,CNKI
坐视不管,0.642397403717041,CNKI
荒谬,0.6421453356742859,CNKI
颜面,0.6408964395523071,CNKI
