word,similarity,source
海警,0.6988636255264282,CNKI
保安厅,0.6105561852455139,CNKI
维权,0.6012934446334839,CNKI
海警法,0.5753122568130493,CNKI
台湾海巡署,0.5401808619499207,CNKI
海上搜救,0.536806583404541,CNKI
海岸巡防署,0.5358410477638245,CNKI
暂定,0.5281622409820557,CNKI
护渔,0.5218343138694763,CNKI
勘测,0.5106761455535889,CNKI
学术交流,0.5046302676200867,CNKI
海洋资源,0.5043466091156006,CNKI
法治建设,0.5025941729545593,CNKI
合法权益,0.49396589398384094,CNKI
巡防,0.4916948676109314,CNKI
规程,0.4885425567626953,CNKI
海巡署,0.4869861602783203,CNKI
勘探,0.48524942994117737,CNKI
刑事,0.4838755428791046,CNKI
公共服务,0.48298799991607666,CNKI
