word,similarity,source
人身自由,0.5573373436927795,CNKI
国内法,0.5338985323905945,CNKI
法规,0.5254620313644409,CNKI
刑事诉讼法,0.5239943265914917,CNKI
明文规定,0.5143600106239319,CNKI
条文,0.514188289642334,CNKI
第九条,0.5074144601821899,CNKI
战罪,0.5048354268074036,CNKI
法理依据,0.5012370347976685,CNKI
本法,0.500444769859314,CNKI
宪章,0.4994032382965088,CNKI
违宪,0.4969606101512909,CNKI
法令,0.49504992365837097,CNKI
基本法,0.4899628460407257,CNKI
审判法,0.48935186862945557,CNKI
第一项,0.4877454340457916,CNKI
触犯,0.48631516098976135,CNKI
规章,0.48617130517959595,CNKI
行为人,0.4856857359409332,CNKI
追诉,0.4846284091472626,CNKI
