word,similarity,source
公务船,0.7696078419685364,Pishu
公务飞机,0.7274124026298523,Pishu
渔政船,0.7222740650177002,Pishu
海监船,0.7186151742935181,Pishu
中国海监,0.7170792818069458,Pishu
巡航,0.7120124101638794,Pishu
海监,0.7027990818023682,Pishu
中国军舰,0.6952196955680847,Pishu
日本海上保安厅,0.6879114508628845,Pishu
海监飞机,0.6767637729644775,Pishu
中国西沙群岛,0.6696876287460327,Pishu
导弹巡洋舰,0.6692477464675903,Pishu
拉森号导弹驱逐舰,0.6663897633552551,Pishu
测量船,0.6652166843414307,Pishu
赤瓜礁,0.6638829708099365,Pishu
中建岛,0.65776127576828,Pishu
总队,0.6539682745933533,Pishu
飞入,0.6525319218635559,Pishu
英舰,0.6524563431739807,Pishu
刘为民,0.6512113809585571,Pishu
