word,similarity,source
嫁祸,0.7484422326087952,Pishu
不理会,0.7428008317947388,Pishu
威压,0.7342519760131836,Pishu
谩骂,0.7321498990058899,Pishu
规劝,0.7256973385810852,Pishu
把戏,0.7218509316444397,Pishu
口诛笔伐,0.7146672010421753,Pishu
反诬,0.7107637524604797,Pishu
莽撞,0.7072557210922241,Pishu
肆意妄为,0.706998348236084,Pishu
措词,0.7059265971183777,Pishu
迎击,0.705808699131012,Pishu
忍无可忍,0.7028055191040039,Pishu
铁证,0.6974616050720215,Pishu
火中取栗,0.6962665915489197,Pishu
毫不留情,0.6960688233375549,Pishu
玩火,0.6928651928901672,Pishu
诱迫,0.6916770339012146,Pishu
鼓劲,0.6884750127792358,Pishu
单边制裁,0.6876039505004883,Pishu
