word,similarity,source
渔政,0.6773909330368042,Pishu
渔政船,0.6475456953048706,Pishu
击伤,0.6353245973587036,Pishu
台菲,0.6351915597915649,Pishu
巡逻队,0.6314030289649963,Pishu
保安厅,0.6304373741149902,Pishu
越线,0.6281315684318542,Pishu
中国海警局,0.6165280342102051,Pishu
海监,0.6117820143699646,Pishu
日本海上保安厅,0.6050440073013306,Pishu
渔船,0.603644073009491,Pishu
公务船,0.6032412052154541,Pishu
船艇,0.6001612544059753,Pishu
海监飞机,0.5935477614402771,Pishu
海监船,0.5917671322822571,Pishu
公务飞机,0.591697096824646,Pishu
火控雷达,0.591141402721405,Pishu
飞入,0.5867642760276794,Pishu
巡视,0.585712730884552,Pishu
海岸警卫队,0.5849416255950928,Pishu
