word,similarity,source
核威慑,0.687250018119812,Renda
拒止,0.6673730611801147,Renda
性威慑,0.6336432695388794,Renda
有限核,0.6113712191581726,Renda
慑止,0.5945543050765991,Renda
吓阻,0.5925305485725403,Renda
战略威慑,0.5873257517814636,Renda
实战,0.5853745937347412,Renda
实战性,0.5770913362503052,Renda
遏制力,0.5735610127449036,Renda
可信度,0.5713856816291809,Renda
威慑能力,0.5692779421806335,Renda
核反击能力,0.5560675859451294,Renda
核反击,0.5554041862487793,Renda
常规,0.5497819185256958,Renda
施威,0.547143280506134,Renda
威慑力,0.5466439127922058,Renda
量身定制,0.5408848524093628,Renda
可信,0.5315775275230408,Renda
反应能力,0.5310212969779968,Renda
