word,similarity,source
渔政,0.6757954359054565,Renda
海监,0.6680794358253479,Renda
海警,0.6243059635162354,Renda
警卫,0.6155460476875305,Renda
联合执法,0.6130479574203491,Renda
管理部门,0.5917306542396545,Renda
执法行动,0.5756569504737854,Renda
搜救,0.5731542706489563,Renda
执法合作,0.56998211145401,Renda
警务,0.567314624786377,Renda
护渔,0.5642296075820923,Renda
警备,0.564039409160614,Renda
科考,0.5583851933479309,Renda
保安,0.555041491985321,Renda
侦查,0.553396999835968,Renda
保安厅,0.550616979598999,Renda
监察,0.5504814982414246,Renda
特遣队,0.5448997616767883,Renda
海上搜救,0.5402572751045227,Renda
海岸警卫队,0.5369156002998352,Renda
